feature,gain_sum,gain_mean
piPC1,58.71023416891694,11.742046833783387
AATS7are,58.69564776495099,11.739129552990198
JGI1,58.45365236699581,11.690730473399162
AATS8dv,58.41104435548186,11.682208871096373
AATS4v,58.160018069669604,11.632003613933922
ATSC1are,58.06773367896676,11.613546735793353
ATSC5c,57.98531650006771,11.597063300013541
AATSC7i,57.90612933039665,11.58122586607933
SpMAD_Dzpe,57.87816322594881,11.575632645189762
ATSC7are,57.71718663349748,11.543437326699495
AATSC5s,57.48605330847204,11.497210661694407
NsssCH,57.461156237870455,11.492231247574091
IC5,57.45073281228542,11.490146562457085
ATSC6se,57.18798600137234,11.437597200274467
AATSC7dv,57.07814463600516,11.415628927201032
SIC0,56.952164713293314,11.390432942658663
AXp-4dv,56.76872910000384,11.353745820000768
SRW04,56.73381811380386,11.346763622760772
SIC5,56.71426611952484,11.342853223904967
GATS8v,56.527607284486294,11.305521456897258
ATSC0pe,56.39864567294717,11.279729134589434
ATSC2s,56.37073749490082,11.274147498980165
ATSC7Z,56.309789242222905,11.261957848444581
ATS6p,56.15442271158099,11.230884542316199
AATS7v,56.00942172110081,11.201884344220161
AATSC3c,55.84312560968101,11.168625121936202
GATS2are,55.713298805058,11.1426597610116
SMR_VSA1,55.66251679509878,11.132503359019756
GATS6m,55.573256593197584,11.114651318639517
GATS4pe,55.56597283296287,11.113194566592574
MWC04,55.55771005526185,11.11154201105237
AATSC6s,55.41180841997266,11.082361683994531
MATS5i,55.21336580812931,11.042673161625862
ATS3i,55.0338279530406,11.00676559060812
ATSC5i,55.00280045159161,11.000560090318322
GATS2dv,54.90162971802056,10.980325943604111
AATSC4Z,54.86501981690526,10.973003963381052
MDEC-11,54.85746254213154,10.971492508426309
ATSC2m,54.79696178436279,10.95939235687256
GATS4se,54.78808659501374,10.957617319002747
MPC8,54.59481452777982,10.918962905555963
AATSC5Z,54.5680831912905,10.9136166382581
SIC1,54.39296601712704,10.878593203425407
AETA_beta,54.269408632069826,10.853881726413965
AATSC7v,54.23062631115317,10.846125262230634
ETA_epsilon_5,54.224768836051226,10.844953767210246
ATSC8are,54.212942875921726,10.842588575184346
Xch-7d,53.940579421818256,10.788115884363652
AATSC2d,53.89206977747381,10.778413955494761
AATS0d,53.65383352711797,10.730766705423594
GATS7m,53.60661901533604,10.721323803067207
MATS8s,53.604949628934264,10.720989925786853
GATS3pe,53.52728607133031,10.705457214266062
MATS6Z,53.186719845980406,10.637343969196081
ATS7dv,53.03533383458853,10.607066766917706
MAXssNH,53.003169037401676,10.600633807480335
AATSC4d,52.96057585533708,10.592115171067416
VE3_A,52.680469654500484,10.536093930900098
ATSC5Z,52.67355912178755,10.53471182435751
AATS8se,52.50645819120109,10.501291638240218
ATSC0are,52.466354705393314,10.493270941078663
AETA_eta_F,52.465417455881834,10.493083491176368
MAXsssCH,52.41734364069998,10.483468728139997
GATS8se,52.30328583531082,10.460657167062163
GATS3m,52.29956750292331,10.459913500584662
MATS1p,52.288959411904216,10.457791882380842
nN,52.26501953601837,10.453003907203675
ATSC6s,52.17366691492498,10.434733382984996
CIC3,52.08607165701687,10.417214331403375
AATS1p,52.05153423734009,10.410306847468018
ATS1s,51.979253385216,10.3958506770432
