feature,gain_sum,rank
GGI8,107.20383706269786,300
GATS3dv,106.9337546583265,301
AATS4i,106.84402686706744,302
BCUTp-1l,106.39533552224748,303
MATS3i,106.12742643733509,304
plddt_ligand_std,105.80035439622588,305
AATS0s,105.52687825541943,306
SMR_VSA7,105.46054282411933,307
SpMAD_Dt,105.31852328544483,308
Xpc-5d,104.93641252955422,309
ATSC3c,104.86723134154454,310
GATS8dv,104.70101897860877,311
GATS4dv,104.51225063716993,312
EState_VSA1,104.34910682076588,313
piPC8,103.72948286111932,314
ATSC1s,103.68101853877306,315
plddt_res281,103.52933738625143,316
AATS6i,102.63987775833812,317
Xp-7d,102.54065763624385,318
VE1_A,102.1239761991892,319
AETA_eta_BR,101.97865910711698,320
GATS1s,101.74444058875088,321
JGI4,100.7109562503174,322
SMR_VSA9,100.53786379075609,323
ATSC7p,100.39898060099222,324
ATS7s,99.88240159209818,325
MATS3s,99.53999781119637,326
ATSC5dv,99.38047125027515,327
ATS7dv,99.20295661571436,328
GATS1i,99.08438461215701,329
ATSC1v,99.05324792396277,330
MATS7se,98.8858968722634,331
MID_h,98.77875017281622,332
Xp-0dv,98.70985351409763,333
MPC2,98.41577147692442,334
GATS2v,98.30045659700409,335
MDEN-23,97.8287323564291,336
AMID_h,97.64189019892365,337
ATSC0dv,97.4960934696719,338
AMID_O,97.46550769417081,339
MATS8d,96.76438816450536,340
Xpc-4dv,96.68239078926854,341
ATSC3i,96.02223691134714,342
ATS5i,96.00771772442386,343
AATSC1i,95.79858132440131,344
ATS6p,95.59007381205447,345
plddt_protein_std,95.18546279834118,346
VE1_Dzse,94.92020201683044,347
BCUTare-1l,94.3522801832296,348
GATS2d,94.19742962904274,349
SpAbs_Dzp,94.14512062910944,350
MATS8dv,93.65346241230145,351
JGI10,93.58329258509912,352
MATS5s,93.35499017103575,353
AATS8s,93.35237399570178,354
MATS2pe,93.27868231222965,355
GATS8i,93.18734270473942,356
JGI9,93.17227760364767,357
ATSC2s,93.15135202556849,358
SpDiam_DzZ,93.10621422808617,359
ZMIC1,92.96969006583095,360
AATS5i,92.86109634977765,361
ATS0Z,92.76842011604458,362
GATS7v,92.4316087323241,363
MWC04,91.94808185845613,364
MATS1s,91.84708424343262,365
Xch-7dv,91.82016368955374,366
AXp-5d,91.78730604960583,367
AETA_eta_FL,91.50340887065977,368
ATS4s,91.28052581334487,369
GATS5are,91.10063488257583,370
AETA_beta_ns_d,90.30559996666852,371
BCUTi-1l,89.96443997335155,372
TIC2,89.74034236604348,373
ATSC7se,89.39648726326413,374
ATSC7Z,89.3531818962656,375
ETA_dEpsilon_C,89.29624465410598,376
AXp-4d,89.20340644731186,377
MATS2are,88.87365107168444,378
AATSC6d,88.4906485104002,379
GATS5i,88.4004575368017,380
ATS4m,88.05216101882979,381
AATS8d,87.71961761917919,382
MATS8c,87.51437795558013,383
ptm,87.50768377969507,384
complex_iplddt,87.39719607285224,385
GATS5se,87.39493564562872,386
plddt_ligand_mean,87.24483748688363,387
GATS3d,87.01514512347057,388
ATSC2se,86.90296308137476,389
ATSC4dv,86.79257859103382,390
TSRW10,86.6467240912607,391
AATSC4s,86.1686662810389,392
plddt_res247,86.1449130885303,393
AATSC2d,86.1387573586544,394
MATS2s,86.08985210303217,395
MDEC-33,86.03937546606176,396
SIC1,85.69825750286691,397
ATSC1pe,85.6912145621609,398
SpDiam_D,85.58406583988108,399
GATS6p,85.5322255587671,400
ATSC8i,85.44090357236564,401
AATSC8c,85.41916538588703,402
BCUTv-1l,84.99781777965836,403
AATS8p,84.99714355682954,404
plddt_res407,84.9545660946751,405
AATS3v,84.87239394313656,406
GATS5Z,84.82795944670215,407
ATSC7m,84.73794867563993,408
AATS1s,84.44274320220575,409
MATS4dv,84.30073421599809,410
ATSC5pe,84.17320232803468,411
BCUTi-1h,83.92694073845632,412
ATSC6c,83.8267892410513,413
MATS3dv,83.8112316224724,414
GATS2pe,83.7492104008561,415
plddt_pocket_p10,83.59609459829517,416
ATS2d,83.33171721338294,417
GGI10,83.2709141918458,418
ATSC7c,83.18387115420774,419
AATSC1dv,83.1832985272631,420
MAXaaN,83.15156918927096,421
ATSC2p,83.08574770297855,422
AATSC8d,83.04158146306872,423
plddt_ligand_p10,83.02781125437468,424
GATS5v,83.00581860099919,425
GATS5m,82.99570205481723,426
ATSC0Z,82.82433575356845,427
ATSC5p,82.74714014586061,428
SM1_Dzi,82.67778820847161,429
ATSC7are,82.46301741525531,430
MATS6s,82.45167359581683,431
AATS5v,82.25391987338662,432
GATS6i,82.23342481278814,433
MATS8are,82.14886097772978,434
GATS5pe,82.08717555459589,435
ATSC8v,81.89087102073245,436
ATSC3p,81.83225731155835,437
Xp-5dv,81.6981129841879,438
ATSC2m,81.60218407539651,439
GATS4v,81.42797277891077,440
AMID,81.35583350039087,441
AATSC6c,80.93111140467227,442
MAXsCH3,80.57929154671729,443
SpMAD_A,80.52435574191622,444
GATS6are,80.48936768062413,445
AATS6v,80.01471217419021,446
AATSC3i,79.9350378762465,447
GGI7,79.7055872855708,448
Xch-6d,79.22988752811216,449
ATSC3s,79.19305483577773,450
pde_intra_ligand_min,78.96310288831592,451
AATS6are,78.72120915492997,452
BCUTZ-1l,78.62820352613926,453
ATSC5se,78.57932119094767,454
IC4,78.55731973843649,455
AATS4v,78.30705072684214,456
Xc-6dv,78.29620293527842,457
nN,78.21950018405914,458
AATSC1d,77.92170177563094,459
Xch-6dv,77.7649844752159,460
piPC6,77.51781455124728,461
ATS8Z,77.5093506211415,462
ATSC6s,77.4498127666302,463
pae_protein_ligand_std,77.35350116179325,464
plddt_res288,77.07586411305238,465
MDEN-22,76.93003524118103,466
GATS2dv,76.76024051802233,467
AATS6d,76.53914055472706,468
AATSC4d,76.52771935681812,469
SRW06,76.52299229591154,470
SpAD_Dzp,76.36278161150403,471
SpMax_A,76.33824279415421,472
ATS4v,75.8148576146923,473
SpMAD_Dzv,75.22733393404633,474
MATS8s,74.71174903900828,475
GATS6pe,74.68279207497835,476
SM1_Dzv,74.6310873097973,477
MATS7p,74.47199798631482,478
ATS6dv,74.30440899869427,479
BCUTdv-1h,74.18932177184615,480
GATS8p,74.08287713234313,481
ATSC2pe,73.99364317953587,482
MINsCH3,73.70311908680014,483
ATSC5s,73.66926593659446,484
GATS7pe,73.57188721757848,485
plddt_pocket_mean,73.16475637210533,486
MATS3are,73.15548543515615,487
AATS5dv,73.0809698344674,488
MATS7c,73.02323578076903,489
BCUTse-1h,72.70500760152936,490
ATSC1are,72.5797107773833,491
MATS8se,72.57769892388023,492
ATS2dv,72.57549654552713,493
AATSC2m,72.41973549639806,494
MINssNH,72.21392706711777,495
MATS7d,72.16566197806969,496
MATS6d,72.05036981264129,497
MATS1c,72.00654010428116,498
GATS2p,71.70048929611221,499
AATSC7c,71.49883839813992,500
nHBAcc,71.14934219594579,501
AATSC4c,70.62662106426433,502
AATS5p,70.52314563072287,503
Xp-3dv,70.31323010288179,504
MINaasC,70.24493110924959,505
MID_O,70.08113085245714,506
ATSC5v,70.04405825678259,507
Kier2,69.94529788941145,508
MATS3Z,69.90073976619169,509
AMID_C,69.56925887521356,510
CIC0,69.42542457673699,511
piPC7,69.22005270700902,512
MATS6c,69.15064735943452,513
Xc-3d,68.60670131456573,514
GATS4se,68.3118619065499,515
GATS4Z,68.29245309869293,516
BCUTc-1h,68.28417773218825,517
GATS8v,68.26740003959276,518
AETA_eta_R,68.19446974457242,519
AATS8m,68.1214625746943,520
ATSC4c,68.08018538355827,521
GATS3p,68.05562054994516,522
GATS6dv,67.75554718985222,523
AATS8dv,67.68027537292801,524
GATS3Z,67.65250679617748,525
