feature,gain_sum,gain_mean
AATS5v,54.878268986940384,10.975653797388077
AATS1are,54.84095337241888,10.968190674483775
AATSC4c,54.83313439041376,10.966626878082753
ATS6p,54.706284165382385,10.941256833076476
AATSC5Z,54.66969894617796,10.933939789235591
BCUTpe-1l,54.54732057452202,10.909464114904404
Xc-6dv,54.45932171493769,10.891864342987537
AATS2s,54.384754698723555,10.876950939744711
AATSC1v,54.28377138823271,10.85675427764654
SMR_VSA7,54.274101823568344,10.85482036471367
AATS7se,54.186424396932125,10.837284879386425
MATS5dv,54.17594785243273,10.835189570486545
MPC5,54.07200229167938,10.814400458335877
AATSC0Z,53.9752004891634,10.795040097832679
ATS4dv,53.97017824649811,10.794035649299621
ATS6v,53.92941875755787,10.785883751511573
ATSC4v,53.832261607050896,10.76645232141018
AATS5dv,53.7658257111907,10.75316514223814
AATSC7Z,53.65486966073513,10.730973932147027
MWC09,53.21677069365978,10.643354138731956
AATS7d,53.21561224758625,10.64312244951725
BCUTv-1h,53.214498087763786,10.642899617552757
MATS1p,53.09825694933534,10.619651389867068
ETA_eta_L,52.78231728076935,10.55646345615387
SpDiam_Dzse,52.562596052885056,10.512519210577011
GATS6dv,52.46713349223137,10.493426698446275
ATSC5are,52.399150520563126,10.479830104112626
piPC3,52.312835201621056,10.462567040324211
MINsssCH,52.27938075363636,10.455876150727272
AATSC2dv,51.81013009697199,10.362026019394397
AATS4v,51.786239214241505,10.3572478428483
AATSC0m,51.663911148905754,10.33278222978115
MATS8are,51.58080642297864,10.316161284595728
MATS5pe,51.569035939872265,10.313807187974453
SaasN,51.56837125867605,10.313674251735211
AETA_beta,51.522893108427525,10.304578621685504
PetitjeanIndex,51.47479144111276,10.294958288222551
AETA_eta_F,51.31514744088054,10.263029488176107
Xp-5dv,51.072888895869255,10.214577779173851
MATS4i,50.95627707615495,10.191255415230989
MATS2v,50.94225109741092,10.188450219482183
AATS8dv,50.77016607671976,10.154033215343953
MATS7dv,50.69167611375451,10.138335222750902
AATSC5dv,50.622305516153574,10.124461103230715
AATS1pe,50.613686092197895,10.122737218439578
AETA_eta_RL,50.55188177153468,10.110376354306936
ATSC2m,50.502537712454796,10.10050754249096
Xp-4dv,50.50167419016361,10.100334838032722
ETA_epsilon_2,50.37627749145031,10.075255498290062
n9FaRing,50.3196702003479,10.06393404006958
AETA_alpha,50.14377577230334,10.028755154460669
AATSC1m,49.72101505100727,9.944203010201454
GATS1p,49.49564927816391,9.899129855632783
AATSC3are,49.49302550405264,9.898605100810528
n6AHRing,49.44701588153839,9.889403176307678
AATSC0se,49.31417379528284,9.862834759056568
MATS7c,49.22367196157575,9.84473439231515
ATSC6se,49.180193435400724,9.836038687080144
BertzCT,49.15123800933361,9.830247601866722
AATSC8dv,49.10497761517763,9.820995523035526
SM1_Dzv,48.78322456777096,9.756644913554192
MATS7are,48.68145003914833,9.736290007829666
CIC4,48.52273868769407,9.704547737538814
MATS3m,48.48512709885836,9.697025419771672
MATS4pe,48.40354414284229,9.68070882856846
ATS1i,48.35466365516186,9.670932731032371
MDEO-11,48.231522515416145,9.646304503083229
SpMAD_Dzare,48.04126767069101,9.608253534138203
AATSC4i,47.744594257324934,9.548918851464986
ATS0i,47.53352899476886,9.50670579895377
MATS4v,47.51016038283706,9.502032076567412
VSA_EState9,47.48506332933903,9.497012665867805
ATSC5se,47.37814753502607,9.475629507005214
ATSC6p,47.331304624676704,9.46626092493534
SsOH,47.086866691708565,9.417373338341713
AATS1dv,47.08232297003269,9.416464594006538
BCUTv-1l,47.05479834973812,9.410959669947625
MATS6v,47.01409923657775,9.40281984731555
AATSC7s,46.81598901748657,9.363197803497314
AATSC1are,46.44987381622195,9.289974763244391
ATSC7pe,46.198692694306374,9.239738538861275
BCUTp-1h,46.10416813194752,9.220833626389503
ATS0are,46.10097435116768,9.220194870233536
MATS8pe,46.059433683753014,9.211886736750603
AATSC6dv,46.04685977473855,9.20937195494771
ATSC0s,45.90352662652731,9.180705325305462
ATSC3pe,45.69766607880592,9.139533215761185
MPC3,45.67458874732256,9.134917749464512
GATS8are,45.62924321368337,9.125848642736674
AETA_eta_L,45.59584992006421,9.119169984012842
n6Ring,45.58700989186764,9.117401978373527
ATS1d,45.52576008439064,9.105152016878128
JGT10,45.302504528313875,9.060500905662774
MINssO,45.146080046892166,9.029216009378434
AATSC4p,45.01815462857485,9.003630925714969
n9FRing,44.72318606078625,8.94463721215725
PEOE_VSA13,44.70673180744052,8.941346361488105
AATSC5c,44.69359439983964,8.938718879967928
AXp-4dv,44.63141732662916,8.926283465325833
PEOE_VSA11,44.573335856199265,8.914667171239852
