slice,model,n_true,mae_true,mae_false,mean_residual_true,mean_residual_false,ensemble_mae_true,ensemble_mae_false,ensemble_mean_residual_true,delta_true_mae_vs_ensemble,delta_false_mae_vs_ensemble
near_potent46_t04,gatedgcn_embed,73,1.0290013735261685,0.46404249047693846,0.9257715195172453,-0.04944391399828468,0.7639489643528419,0.3878764364905057,0.7113577832388015,0.2650524091733266,0.07616605398643278
near_potent46_t04,attentivefp_embed,73,0.9460202935623797,0.4760850938465676,0.8901436677697587,-0.03401988702550671,0.7639489643528419,0.3878764364905057,0.7113577832388015,0.18207132920953784,0.08820865735606193
near_potent46_t04,boltz_allpairs,73,0.9076337999840306,0.47844043201189207,0.8205229996981688,-0.04140614226633984,0.7639489643528419,0.3878764364905057,0.7113577832388015,0.14368483563118872,0.09056399552138639
near_potent46_t04,boltz_core,73,0.9158782262671484,0.478357754798672,0.8444855790595487,-0.042768792438599455,0.7639489643528419,0.3878764364905057,0.7113577832388015,0.15192926191430656,0.0904813183081663
counter_above_main,ensemble,391,0.6109843181700637,0.3719303476127365,-0.35899060608173033,0.023953676851952908,0.6109843181700637,0.3719303476127365,-0.35899060608173033,0.0,0.0
counter_above_main,cheme_seed10_top500,391,0.575964417664901,0.37806741849719344,-0.3397350479086951,0.030372390440924334,0.6109843181700637,0.3719303476127365,-0.35899060608173033,-0.03501990050516268,0.006137070884456919
counter_above_main,cheme_seed10_default,391,0.6240232069595999,0.38280747429826756,-0.36302991140224133,0.021884744416368403,0.6109843181700637,0.3719303476127365,-0.35899060608173033,0.013038888789536185,0.010877126685531036
counter_above_main,chemprop_family_meta,391,0.6127668926112182,0.37515718263612,-0.35444217174559295,0.023144081038858736,0.6109843181700637,0.3719303476127365,-0.35899060608173033,0.001782574441154483,0.003226835023383501
counter_above_main,mordred_singleconc,391,0.64485267871266,0.4021706938087079,-0.4550687420704867,0.04306685318961597,0.6109843181700637,0.3719303476127365,-0.35899060608173033,0.03386836054259634,0.03024034619597138
counter_above_main,chemprop_embed,391,0.6979186871716434,0.410072180168889,-0.3558520340980471,0.01716044408577569,0.6109843181700637,0.3719303476127365,-0.35899060608173033,0.08693436900157969,0.0381418325561525
counter_above_main,kermt_embed,391,0.7009751466960857,0.4222066699924978,-0.3867989467659875,0.019428804681092156,0.6109843181700637,0.3719303476127365,-0.35899060608173033,0.08999082852602203,0.05027632237976126
counter_above_main,molformer_c3_embed,391,0.7373268476227666,0.4479530808935183,-0.3810260311234028,0.04472954848417596,0.6109843181700637,0.3719303476127365,-0.35899060608173033,0.12634252945270286,0.0760227332807818
counter_above_main,gatedgcn_embed,391,0.7778175234245827,0.442318286843987,-0.4021465080290499,0.006330276695943904,0.6109843181700637,0.3719303476127365,-0.35899060608173033,0.16683320525451895,0.07038793923125047
counter_above_main,attentivefp_embed,391,0.7762583806996456,0.4539291894506488,-0.3939399490697914,0.021512970739062436,0.6109843181700637,0.3719303476127365,-0.35899060608173033,0.16527406252958188,0.08199884183791228
counter_above_main,boltz_allpairs,391,0.8375473442467888,0.44934475667930246,-0.3820796668499022,0.010907588188603332,0.6109843181700637,0.3719303476127365,-0.35899060608173033,0.22656302607672507,0.07741440906656594
counter_above_main,boltz_core,391,0.8445904922485352,0.44868103942772036,-0.3872200982466988,0.010432069041883775,0.6109843181700637,0.3719303476127365,-0.35899060608173033,0.2336061740784715,0.07675069181498384
single_hi_low,ensemble,216,0.610275331333853,0.3826305479196055,-0.18513143671294063,-0.0026948527344520727,0.610275331333853,0.3826305479196055,-0.18513143671294063,0.0,0.0
single_hi_low,cheme_seed10_top500,216,0.6067374505378582,0.38519917174739476,-0.0911665357042242,0.00018390921071303337,0.610275331333853,0.3826305479196055,-0.18513143671294063,-0.003537880795994819,0.0025686238277892737
single_hi_low,cheme_seed10_default,216,0.6141261296802095,0.39410984991194786,-0.18824970580913405,-0.004902357820218728,0.610275331333853,0.3826305479196055,-0.18513143671294063,0.0038507983463564877,0.011479301992342372
single_hi_low,chemprop_family_meta,216,0.609870366019967,0.385913387781215,-0.1721761050636386,-0.003728259593297531,0.610275331333853,0.3826305479196055,-0.18513143671294063,-0.00040496531388600765,0.003282839861609488
single_hi_low,mordred_singleconc,216,0.5659292319851377,0.4173380770531871,-0.16188709724909014,0.004712886713586505,0.610275331333853,0.3826305479196055,-0.18513143671294063,-0.04434609934871536,0.034707529133581605
single_hi_low,chemprop_embed,216,0.689864404378114,0.42335272650142836,-0.2522298679528413,-0.005178896273432637,0.610275331333853,0.3826305479196055,-0.18513143671294063,0.079589073044261,0.040722178581822865
single_hi_low,kermt_embed,216,0.688269151405052,0.4353384178023834,-0.2777437906795078,-0.004690912499824911,0.610275331333853,0.3826305479196055,-0.18513143671294063,0.07799382007119893,0.052707869882777925
single_hi_low,molformer_c3_embed,216,0.7030563003045542,0.46274483609187517,-0.3053673138441863,0.021577278004146147,0.610275331333853,0.3826305479196055,-0.18513143671294063,0.0927809689707012,0.08011428817226968
single_hi_low,gatedgcn_embed,216,0.7821475951759903,0.4570423110293336,-0.42672720962100563,-0.010533639150898989,0.610275331333853,0.3826305479196055,-0.18513143671294063,0.17187226384213727,0.07441176310972814
single_hi_low,attentivefp_embed,216,0.7276593934606623,0.4709793907024824,-0.40043929740234663,0.0033426339075849857,0.610275331333853,0.3826305479196055,-0.18513143671294063,0.1173840621268093,0.08834884278287691
single_hi_low,boltz_allpairs,216,0.8053842081405498,0.46842801106851184,-0.4857019580293585,-0.0009146224986993966,0.610275331333853,0.3826305479196055,-0.18513143671294063,0.19510887680669675,0.08579746314890635
single_hi_low,boltz_core,216,0.809661514626609,0.46826024773811253,-0.5140910300060555,-0.000318442684793317,0.610275331333853,0.3826305479196055,-0.18513143671294063,0.19938618329275593,0.08562969981850704
single_lo_low,ensemble,108,0.6266308261352835,0.3882900824360202,-0.1214983763681045,-0.009286003921683987,0.6266308261352835,0.3882900824360202,-0.1214983763681045,0.0,0.0
single_lo_low,cheme_seed10_top500,108,0.6189290980056479,0.3908066708006807,-0.07448275733877109,-0.0027098646271545663,0.6266308261352835,0.3882900824360202,-0.1214983763681045,-0.007701728129635654,0.0025165883646605103
single_lo_low,cheme_seed10_default,108,0.6253989926973977,0.3997011914320659,-0.12545309976295188,-0.011495499446158835,0.6266308261352835,0.3882900824360202,-0.1214983763681045,-0.0012318334378857987,0.011411108996045694
single_lo_low,chemprop_family_meta,108,0.6245156876834821,0.39151995001090883,-0.12273119773393798,-0.009564672614727219,0.6266308261352835,0.3882900824360202,-0.1214983763681045,-0.002115138451801446,0.003229867574888634
single_lo_low,mordred_singleconc,108,0.5997867647435035,0.42041129907569386,-0.18555410436340883,0.0008843248337197721,0.6266308261352835,0.3882900824360202,-0.1214983763681045,-0.026844061391780083,0.032121216639673655
single_lo_low,chemprop_embed,108,0.6980888811747232,0.4302711336732161,-0.20410086561132365,-0.013085502720421735,0.6266308261352835,0.3882900824360202,-0.1214983763681045,0.0714580550394397,0.04198105123719592
single_lo_low,kermt_embed,108,0.6913287787967257,0.44203139386160656,-0.12170013745625813,-0.016184569590974883,0.6266308261352835,0.3882900824360202,-0.1214983763681045,0.06469795266144218,0.05374131142558636
single_lo_low,molformer_c3_embed,108,0.7248703468287432,0.4685974454942455,-0.19968975323217888,0.009989184634672755,0.6266308261352835,0.3882900824360202,-0.1214983763681045,0.09823952069345965,0.08030736305822528
single_lo_low,gatedgcn_embed,108,0.7969383115238613,0.46535430838108677,-0.29708797251736674,-0.025154160782338605,0.6266308261352835,0.3882900824360202,-0.1214983763681045,0.17030748538857776,0.07706422594506657
single_lo_low,attentivefp_embed,108,0.7377372074127195,0.477584806474075,-0.27777271871213566,-0.010758665467418846,0.6266308261352835,0.3882900824360202,-0.1214983763681045,0.111106381277436,0.08929472403805477
single_lo_low,boltz_allpairs,108,0.8007350286731012,0.47757815508296236,-0.3825832987714697,-0.01666210450196408,0.6266308261352835,0.3882900824360202,-0.1214983763681045,0.17410420253781766,0.08928807264694216
single_lo_low,boltz_core,108,0.8234606045263784,0.4770353060503105,-0.39834224806891544,-0.017180622218500523,0.6266308261352835,0.3882900824360202,-0.1214983763681045,0.19682977839109483,0.08874522361429033
