id,submission_name,file_path,lb_mae,lb_delta_mae_vs_base,lb_spearman,mean_abs_delta_vs_base,p90_abs_delta_vs_base,max_abs_delta_vs_base,pearson_delta,spearman_delta,projection_on_id_delta,id_projection_on_candidate
20,ens_caruana_bag20_calibrated_blend,track1_activity/submissions/ens_caruana_bag20_calibrated_blend.csv,0.4168366368422205,0.009447917959894692,0.8464345164717298,0.0838351209992117,0.17370648480094406,0.3801169910624749,-0.3946430731468705,-0.47230331543861154,-0.0515683639341836,-3.8439902611276895
21,ens_caruana_bag20_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_calibrated_importance.csv,0.4154008268960474,0.008012108013721597,0.8464345164717298,0.05583923930289955,0.11693005860951225,0.4242923904869107,0.1741355352865449,0.26430098412172587,0.017926859352596365,0.6849189658661788
22,ens_caruana_bag20_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_calibrated_importance.csv,0.4152122396657471,0.0078235207834213,0.8467518623786056,0.05583923930289955,0.11693005860951225,0.4242923904869107,0.1741355352865449,0.26430098412172587,0.017926859352596365,0.6849189658661788
23,ens_caruana_bag20_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_calibrated_importance.csv,0.4148648161452291,0.00747609726290327,0.8447206388567249,0.05583923930289955,0.11693005860951225,0.4242923904869107,0.1741355352865449,0.26430098412172587,0.017926859352596365,0.6849189658661788
24,ens_caruana_bag20_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_calibrated_importance.csv,0.4200188468957465,0.012630128013420672,0.8412394532087393,0.05583923930289955,0.11693005860951225,0.4242923904869107,0.1741355352865449,0.26430098412172587,0.017926859352596365,0.6849189658661788
25,ens_caruana_bag20,track1_activity/submissions/ens_caruana_bag20.csv,0.4290789893593625,0.0216902704770367,0.8467294563910583,0.09528133443023083,0.17402660119656713,0.41585361925503417,-0.32478589817550335,-0.36284818505087796,-0.05977074318013508,-5.032260780393783
26,ens_caruana_bag20_calibrated_best,track1_activity/submissions/ens_caruana_bag20_calibrated_best.csv,0.4243494844698721,0.016960765587546278,0.8368665780916542,0.07568288412843573,0.14745509500396495,0.3953618985687921,-0.07224878776320447,-0.04708672938189528,-0.051384926602585465,-3.025522915209936
27,ens_caruana_bag20_calibrated_best,track1_activity/submissions/ens_caruana_bag20_calibrated_best.csv,0.4225677355758737,0.015179016693547875,0.8447206388567249,0.07568288412843573,0.14745509500396495,0.3953618985687921,-0.07224878776320447,-0.04708672938189528,-0.051384926602585465,-3.025522915209936
28,ens_caruana_bag20_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_calibrated_importance.csv,0.4148648161452291,0.00747609726290327,0.8447206388567249,0.05583923930289955,0.11693005860951225,0.4242923904869107,0.1741355352865449,0.26430098412172587,0.017926859352596365,0.6849189658661788
29,ens_caruana_bag20_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_calibrated_importance.csv,0.4189477353901447,0.011559016507818876,0.8400634714255957,0.05583923930289955,0.11693005860951225,0.4242923904869107,0.1741355352865449,0.26430098412172587,0.017926859352596365,0.6849189658661788
30,ens_caruana_bag20_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_calibrated_importance.csv,0.408442464692175,0.0010537458098491825,0.8459121612013577,0.05583923930289955,0.11693005860951225,0.4242923904869107,0.1741355352865449,0.26430098412172587,0.017926859352596365,0.6849189658661788
31,ens_caruana_bag20_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_calibrated_importance.csv,0.4078471063458229,0.0004583874634970786,0.8454463307068544,0.05583923930289955,0.11693005860951225,0.4242923904869107,0.1741355352865449,0.26430098412172587,0.017926859352596365,0.6849189658661788
32,ens_caruana_bag20_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_calibrated_importance.csv,0.4078471063458229,0.0004583874634970786,0.8454463307068544,0.05583923930289955,0.11693005860951225,0.4242923904869107,0.1741355352865449,0.26430098412172587,0.017926859352596365,0.6849189658661788
