inchikey,smiles,mol_chembl_id,chembl_pxr_pchembl,n_chembl_pxr_rows,assays,overlaps_challenge_exact
KJQFBTHRWLTPCF-DEOSSOPVSA-N,CC(=O)N1CCC(C(=O)N2CC[C@](c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,CHEMBL3907148,5.11,2,"CHEMBL4339771,CHEMBL4701268",False
KMWDADSUZQXCTH-UHFFFAOYSA-N,CC(C)(C)c1nc(C23CCC(CN(C(=O)C45CC(F)(C4)C5)c4cccc(-c5nc(C6CC6)no5)c4)(CC2)CC3)no1,CHEMBL5170740,4.3,1,CHEMBL5148492,False
KNSCGQXSALZQIG-UHFFFAOYSA-N,COc1ccc(S(=O)(=O)c2nnn(-c3cc(OC)ccc3OC)c2C)cc1,CHEMBL4877391,5.78,1,CHEMBL4834541,False
KUTWRPJPBIBXQX-UHFFFAOYSA-N,CN1CCC(C(=O)N(CC23CCC(c4nc(C5CC5)no4)(CC2)CC3)c2cccc(-c3nc(C4CC4)no3)c2)CC1,CHEMBL5205416,4.3,1,CHEMBL5148492,False
KUWFOILULGFGAF-UHFFFAOYSA-N,COc1cc(OC)c(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)cc1OC,CHEMBL4872907,5.98,1,CHEMBL4834541,False
LCXAXLLXBJPQFP-UHFFFAOYSA-N,O=C(C1CCCCC1)N(CC12CCC(c3nc(C4CC4)no3)(CC1)CC2)c1cccc(-c2nc(C3CC3)no2)c1,CHEMBL5189418,5.22,1,CHEMBL5148492,False
LFDKDSDZUDCKSM-UHFFFAOYSA-N,O=S(=O)(c1ccc(F)cc1)C1(c2ccc(C(OCc3ccccc3-c3ccccc3)(C(F)(F)F)C(F)(F)F)cc2)CCCC1,CHEMBL4747951,5.84,1,CHEMBL4701268,False
LGFLFKROQCMBLV-QHCPKHFHSA-N,CC(=O)N1CCN(C(=O)N2CC[C@](c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,CHEMBL3918723,5.31,2,"CHEMBL4339771,CHEMBL4701268",False
LJRDEIDZVNCYAA-UHFFFAOYSA-N,COc1ccc(Cl)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C(C)=O,CHEMBL4870712,6.7,1,CHEMBL4834541,False
LKEFVRSHLPQXBX-UHFFFAOYSA-N,O=S(=O)(c1ccc(F)cc1)C1(c2ccc(C(OCc3ccccc3OC(F)(F)F)(C(F)(F)F)C(F)(F)F)cc2)CCCC1,CHEMBL4800479,5.89,1,CHEMBL4701268,False
LOEKGZIWKVJYER-YTTGMZPUSA-N,CC(=O)N1CCC(C)(C(=O)N2CC[C@](c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,CHEMBL3894847,6.2,1,CHEMBL4701268,False
LPTQAIRPRNDOIX-OAHLLOKOSA-N,Cc1ccc(-c2cc(C(=O)N[C@H](C)c3ccc(F)cn3)cc(C(C)(C)O)c2)nc1,CHEMBL4226706,5.7,1,CHEMBL4222599,False
LUPTXVASMFPNNE-PPHPATTJSA-N,CN[C@H](CNc1cc(F)c(S(=O)(=O)Nc2ncc(F)s2)cc1Cl)CC(C)(C)C.Cl,CHEMBL4747709,5.0,1,CHEMBL4715645,False
LWYHAUSQQMAJRN-UHFFFAOYSA-N,CC1(C)CCc2cc(S(=O)(=O)N(CC(=O)O)C3(c4cccc(-c5cc(Cl)cc(Cl)c5)c4)CCC3)ccc2O1,CHEMBL3764017,5.52,1,CHEMBL3768884,False
LYPAFUINURXJSG-AWEZNQCLSA-N,CN1C(=O)[C@@H](NC(=O)c2n[nH]c(Cc3ccccc3)n2)COc2ccccc21,CHEMBL4071864,4.89,1,CHEMBL3999260,False
LYZGJWXNOGIVQA-UHFFFAOYSA-M,C=CCC1(C(C)CCC)C(=O)[N-]C(=S)NC1=O.[Na+],CHEMBL1201065,5.29,2,"CHEMBL3531531,CHEMBL3531532",False
LZAAIKZDZIQENI-UHFFFAOYSA-N,CCOc1ccc(-c2cccc(N(CC34CCC(c5noc(C(C)(C)C)n5)(CC3)CC4)C(=O)C34CC(F)(C3)C4)c2)cn1,CHEMBL5182204,4.3,1,CHEMBL5148492,False
MAGWKSLCLGTVDQ-UHFFFAOYSA-N,COc1cc(C)c(C)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,CHEMBL4878253,6.16,1,CHEMBL4834541,False
MBDMAPPPOSTTSN-UHFFFAOYSA-N,Clc1ccc(Oc2cccn3c(C4(c5ccc(Cl)cc5)CC4)nnc23)cc1,CHEMBL3318964,5.92,1,CHEMBL3364417,False
MBRBOTNFDXVHHT-UHFFFAOYSA-N,C=CCOC(c1ccc(C2(S(=O)(=O)c3ccc(F)cc3)CCCC2)cc1)(C(F)(F)F)C(F)(F)F,CHEMBL4748976,6.43,1,CHEMBL4701268,False
MTYFTMGELMJBAZ-UHFFFAOYSA-N,COc1ccc(OC)c(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C(C)=O)c1,CHEMBL4877224,5.72,1,CHEMBL4834541,False
MVSGEHDEGWQBQJ-UHFFFAOYSA-N,Oc1ccccc1Oc1cccn2c(C3(c4ccc(Cl)cc4)CC3)nnc12,CHEMBL3318968,5.58,1,CHEMBL3364417,False
