feature,src,gain,gain_frac,cum_gain,split
mordred:MWC06,mordred,16.10699898004532,0.0003854472590517702,0.8907615390047137,4
mordred:ATS6dv,mordred,16.090975284576416,0.0003850638052807716,0.8911466028099945,9
mordred:SssCH2,mordred,15.944888159632683,0.00038156787894700353,0.8915281706889415,7
rdkit:HallKierAlpha,rdkit,15.93149796128273,0.0003812474458695232,0.8919094181348111,10
mordred:AXp-4dv,mordred,15.86291915178299,0.00037960632611882,0.8922890244609298,5
mordred:AATS8i,mordred,15.85500168800354,0.0003794168578810551,0.8926684413188108,8
mordred:AETA_beta,mordred,15.837092012166977,0.00037898827180674906,0.8930474295906176,3
mordred:AATS4i,mordred,15.780605852603912,0.0003776365342543398,0.8934250661248719,6
mordred:Kier3,mordred,15.688175112009048,0.0003754246277621029,0.893800490752634,6
mordred:AATSC5pe,mordred,15.668961226940155,0.0003749648314124095,0.8941754555840464,6
mordred:RNCG,mordred,15.565820097923279,0.00037249662082120547,0.8945479522048676,7
mordred:ATSC7p,mordred,15.346639215946198,0.0003672515301435889,0.8949152037350112,14
mordred:ATS3dv,mordred,15.23667699098587,0.00036462008785798983,0.8952798238228692,7
mordred:MATS8s,mordred,15.232978105545044,0.00036453157197390246,0.8956443553948431,8
mordred:AATSC1dv,mordred,15.225358724594116,0.0003643492369835765,0.8960087046318267,9
mordred:BCUTc-1h,mordred,15.219779163599014,0.00036421571574259685,0.8963729203475693,8
mordred:ATSC1p,mordred,15.167067468166351,0.00036295430270409955,0.8967358746502734,5
mordred:AETA_beta_ns_d,mordred,15.163124084472656,0.00036285993587400247,0.8970987345861474,10
mordred:AATS0se,mordred,15.150110244750977,0.0003625485092167664,0.8974612830953642,2
mordred:ATS6d,mordred,15.144596219062805,0.00036241655626324104,0.8978236996516274,3
mordred:AATS3pe,mordred,15.142917841672897,0.00036237639198649424,0.8981860760436139,6
mordred:MATS7v,mordred,15.07217988371849,0.0003606836029052865,0.8985467596465192,8
mordred:fragCpx,mordred,14.98613953590393,0.00035862462119962737,0.8989053842677188,2
mordred:ATSC1v,mordred,14.895665913820267,0.00035645954937638845,0.8992618438170952,9
mordred:ATS1d,mordred,14.876308888196945,0.0003559963276130328,0.8996178401447082,7
mordred:ATS4dv,mordred,14.804340898990631,0.0003542741033667032,0.899972114248075,7
mordred:SpDiam_D,mordred,14.69809114933014,0.0003517315021762325,0.9003238457502513,6
mordred:TpiPC10,mordred,14.53989028930664,0.00034794568906782944,0.9006717914393191,2
mordred:GATS1dv,mordred,14.537588775157928,0.00034789061286639745,0.9010196820521855,8
rdkit:fr_aryl_methyl,rdkit,14.45883023738861,0.00034600588793733285,0.9013656879401228,6
mordred:AATS4se,mordred,14.439109683036804,0.0003455339667786302,0.9017112219069015,4
mordred:GATS2v,mordred,14.408315032720566,0.0003447970378465208,0.902056018944748,6
mordred:ATSC5Z,mordred,14.352319896221161,0.0003434570506825144,0.9023994759954305,4
mordred:MATS8se,mordred,14.289843827486038,0.00034196197208468765,0.9027414379675152,4
mordred:ATSC6i,mordred,14.278425812721252,0.0003416887341897606,0.9030831267017049,7
mordred:Xch-7d,mordred,14.275317788124084,0.0003416143578541361,0.903424741059559,4
mordred:GATS5se,mordred,14.119397014379501,0.0003378831081692298,0.9037626241677282,6
mordred:MATS4m,mordred,14.032759189605713,0.00033580982858868,0.904098433996317,3
