id,name,submission_path,oof_mae,oof_spearman,oof_residual_r,test_pearson_vs_id48,test_spearman_vs_id48,mean_abs_shift_vs_id48,p90_abs_shift_vs_id48,max_abs_shift_vs_id48,projection_on_id50_direction,cosine_vs_id50_direction,orthogonal_score
2244,tabpfn_unimol_v2_log2fc_filtered_embed_umap_default,track1_activity/submissions/tabpfn_unimol_v2_log2fc_filtered_embed_umap_default.csv,0.5031,0.7351,0.6272833221137459,0.8942436844673652,0.8920105467950032,0.26444110395346054,0.5878756010855354,1.2423555274638187,2.8126091654367107,0.22878501108235064,0.0634850862665637
525,chemprop_pretrain_finetune_frozen_aggrlr_umap,track1_activity/submissions/chemprop_pretrain_finetune_frozen_aggrlr_umap.csv,0.4863,0.7708,0.5616418326120368,0.9445650402490057,0.9410483081894102,0.19140165888143174,0.39301655213237585,1.1509707376088816,0.22616231245091184,0.02558710323002327,0.06304530344885657
1290,tabpfn_cheme_2d_full_boltz_log2fc_pred_ens4_umap_default,track1_activity/submissions/tabpfn_cheme_2d_full_boltz_log2fc_pred_ens4_umap_default.csv,0.4249,0.8179,0.5628782673372041,0.9846922673329477,0.9822346377454664,0.13099505540108553,0.25361854625694136,0.5269580247161874,2.787844862439461,0.4970639609553628,0.059909382934636005
1510,tabpfn_cheme_2d_full_boltz_log2fc_emax_pred_umap_default,track1_activity/submissions/tabpfn_cheme_2d_full_boltz_log2fc_emax_pred_umap_default.csv,0.426,0.8168,0.5764925209977642,0.9754136997010303,0.9761638486415457,0.15259155426412943,0.3007429953657814,0.617687024716187,3.577140478065825,0.5333998912302259,0.059763064433028854
569,tabpfn_2d_full_boltz_log2fc_pred_umap_default,track1_activity/submissions/tabpfn_2d_full_boltz_log2fc_pred_umap_default.csv,0.4427,0.801,0.5986870143766667,0.9465781151472868,0.9458143239702782,0.20431498509043594,0.41269779988392513,0.9088288381553085,4.750466517786054,0.5156316039211024,0.059130919973043906
728,tabpfn_cheme_2d_full_boltz_log2fc_pred_umap_default,track1_activity/submissions/tabpfn_cheme_2d_full_boltz_log2fc_pred_umap_default.csv,0.4212,0.8236,0.5665309959471968,0.9815512544931511,0.9830837606947006,0.14182779748427896,0.2694648705284961,0.5640584143463014,3.5953812887746803,0.5907621389089308,0.05845837666941654
487,tabpfn_desc_top2000_umap_default,track1_activity/submissions/tabpfn_desc_top2000_umap_default.csv,0.4837,0.7541,0.6100867596649783,0.8930085251437151,0.8870178496256858,0.2654804372312031,0.5602850428703688,1.1890894530480924,5.428635110420581,0.4439454184358578,0.05670404015117011
2249,tabpfn_unimol_v2_log2fc_layer04_embed_umap_default,track1_activity/submissions/tabpfn_unimol_v2_log2fc_layer04_embed_umap_default.csv,0.4998,0.7364,0.6252822290572766,0.8644324115835886,0.8701462308291809,0.30005442689185047,0.6338831674843313,1.365424227463818,3.789225288865884,0.27074930989854507,0.05630665857350413
755,tabpfn_pooled_boltz_ab_sonly_umap_default,track1_activity/submissions/tabpfn_pooled_boltz_ab_sonly_umap_default.csv,0.5075,0.7335,0.6194685642389429,0.8558040469772167,0.8288435501854508,0.31403541861041706,0.6390664514863251,1.1986871381553081,3.0390426157683654,0.21773780407048757,0.055828865470108055
744,tabpfn_cheme_2d_full_boltz_log2fc_pred_umap_s43_default,track1_activity/submissions/tabpfn_cheme_2d_full_boltz_log2fc_pred_umap_s43_default.csv,0.4241,0.8085,0.5831523598158854,0.9815512544931511,0.9830837606947006,0.14182779748427896,0.2694648705284961,0.5640584143463014,3.5953812887746803,0.5907621389089308,0.055558376669416584
