mode,amount,full_delta_mae,full_delta_sp,test_shift_mean,test_abs_shift_mean,test_abs_shift_p90,test_abs_shift_max,n_gt_005,id57_spearman,umap_canonical_mae,umap_canonical_delta_mae,public_adv_top513_mae,public_adv_top513_delta_mae,public_testnn_top513_mae,public_testnn_top513_delta_mae,public_log2fc_top513_mae,public_log2fc_top513_delta_mae,public_hybrid_nolabel_top513_mae,public_hybrid_nolabel_top513_delta_mae,public_hybrid_with_y_top513_mae,public_hybrid_with_y_top513_delta_mae,public_chembl_ext_nn_ge025_mae,public_chembl_ext_nn_ge025_delta_mae,public_stress_mean_delta_mae,id56_minus_id55_projection,id56_minus_id55_pearson,id56_minus_id51_projection,id56_minus_id51_pearson
center_test_mean,0.03,-0.0004229324944443058,-7.649519679797656e-06,-4.5014890667062875e-17,0.008337915364435277,0.016756929068408512,0.022384228050195354,0,0.9999021370912693,0.38977416444134383,-0.000423324098967226,0.3681683240742745,-0.0007531917214638195,0.3622796891192159,-0.0014940051126498544,0.2768722647992046,-0.0008066296804952744,0.32874883691284645,-0.0005284687937116006,0.3064792158586607,-0.0018311058718651352,0.39494449102846724,-0.00044936333222128644,-0.0009771274187344952,0.029350559410249704,0.21376606621953045,0.04731266623022911,0.3073407476047963
center_train_mean,0.025,-0.00040195479567800563,1.3822660499540618e-06,0.0006931624419453074,0.006785217620304559,0.014657269998952316,0.019346685817107634,0,0.9999296027032564,0.38979519161752,-0.00040229692279103446,0.3681472760271278,-0.0007742397686105185,0.3624114697958622,-0.001362224436003534,0.276891997601594,-0.0007868968781059027,0.3287211516405029,-0.0005561540660551367,0.30651120346712385,-0.0017991182634020109,0.39497240094152297,-0.0004214534191655517,-0.0009500144718904424,0.024073783099606953,0.2137660662195281,0.039130005053267435,0.30734074760479524
center_each_mean,0.025,-0.00040195479567800563,1.3822660499540618e-06,3.635818092339694e-17,0.006948262803695967,0.013964107557007032,0.01865352337516235,0,0.9999296027032564,0.38979519161752,-0.00040229692279103446,0.3681472760271278,-0.0007742397686105185,0.3624114697958622,-0.001362224436003534,0.276891997601594,-0.0007868968781059027,0.3287211516405029,-0.0005561540660551367,0.30651120346712385,-0.0017991182634020109,0.39497240094152297,-0.0004214534191655517,-0.0009500144718904424,0.024458799508540807,0.21376606621952846,0.03942722185852367,0.3073407476047962
center_test_mean,0.025,-0.00037245199303848064,1.3822660499540618e-06,3.635818092339694e-17,0.006948262803695967,0.013964107557007032,0.01865352337516235,0,0.9999296027032564,0.3898247309634495,-0.00037275757686155986,0.3682513179531118,-0.0006701978426265631,0.3624830830695914,-0.0012906111622743022,0.27689954054738974,-0.0007793539323101562,0.3287935518908083,-0.0004837538157497767,0.30674034220332713,-0.0015699795271987282,0.39499046039446273,-0.0004033939662257957,-0.0008662150410642203,0.024458799508540807,0.21376606621952846,0.03942722185852367,0.3073407476047962
center_train_mean,0.02,-0.00033702565087112557,2.2940526045456267e-07,0.0005545299535562399,0.005428174096243643,0.011725815999162137,0.015477348653686107,0,0.9999505796755185,0.3898602119786617,-0.0003372765616493356,0.3682720968074396,-0.0006494189882987333,0.36265257972233084,-0.0011211145095348929,0.27695286517822676,-0.0007260293014731412,0.3288078647431946,-0.0004694409633634322,0.30684567563369963,-0.0014646460968262276,0.39503378617111445,-0.00036006818957406983,-0.0007984530081784161,0.019259026479685616,0.2137660662195287,0.03130400404261404,0.3073407476047964
center_each_mean,0.02,-0.00033702565087112557,2.2940526045456267e-07,1.367760139499218e-16,0.005558610242956684,0.011171286045605378,0.014922818700130236,0,0.9999505796755185,0.3898602119786617,-0.0003372765616493356,0.3682720968074396,-0.0006494189882987333,0.36265257972233084,-0.0011211145095348929,0.27695286517822676,-0.0007260293014731412,0.3288078647431946,-0.0004694409633634322,0.30684567563369963,-0.0014646460968262276,0.39503378617111445,-0.00036006818957406983,-0.0007984530081784161,0.01956703960683194,0.2137660662195229,0.03154177748681805,0.3073407476047903
center_test_mean,0.02,-0.0003127456245541338,2.2940526045456267e-07,1.367760139499218e-16,0.005558610242956684,0.011171286045605378,0.014922818700130236,0,0.9999505796755185,0.38988451200952856,-0.0003129765307824939,0.3683596541685274,-0.0005618616272109467,0.3627163560717652,-0.0010573381601005072,0.27696907950435423,-0.0007098149753456684,0.328871641092629,-0.0004056646139290465,0.30703484277185233,-0.001275478958673526,0.39505203652401627,-0.0003418178366722535,-0.000725329361988658,0.01956703960683194,0.2137660662195229,0.03154177748681805,0.3073407476047903
center_train_mean,0.015,-0.00026407463229882744,1.6560049551417322e-05,0.000415897465167164,0.00407113057218273,0.008794361999371248,0.01160801149026458,0,0.9999693345108882,0.3899332286405388,-0.0002642598997722456,0.3684198566205761,-0.0005016591751622612,0.3629218118739952,-0.000851882357870537,0.27706444739436964,-0.0006144470853302608,0.3289130779133051,-0.00036422779325295807,0.3071986478676943,-0.0011116738628315637,0.39510770851155286,-0.0002861458491356661,-0.0006216726872638745,0.014444269859764151,0.21376606621952837,0.023478003031960418,0.3073407476047958
center_each_mean,0.015,-0.00026407463229882744,1.6560049551417322e-05,-8.483575548792619e-17,0.004168957682217657,0.008378464534204611,0.011192114025097233,0,0.9999693345108882,0.3899332286405388,-0.0002642598997722456,0.3684198566205761,-0.0005016591751622612,0.3629218118739952,-0.000851882357870537,0.27706444739436964,-0.0006144470853302608,0.3289130779133051,-0.00036422779325295807,0.3071986478676943,-0.0011116738628315637,0.39510770851155286,-0.0002861458491356661,-0.0006216726872638745,0.014675279705124843,0.2137660662195312,0.02365633311511464,0.307340747604799
center_test_mean,0.015,-0.0002453057544531956,1.6560049551417322e-05,-8.483575548792619e-17,0.004168957682217657,0.008378464534204611,0.011192114025097233,0,0.9999693345108882,0.38995201067015356,-0.00024547787015749556,0.36848714607400457,-0.00043436972173377386,0.3629712655686837,-0.000802428663182031,0.27708151133527914,-0.00059738314442076,0.3289609101753809,-0.00031639553117712715,0.30734052322130884,-0.0009697985092170236,0.3951224491812043,-0.0002714051794842076,-0.0005652967915358206,0.014675279705124843,0.2137660662195312,0.02365633311511464,0.307340747604799
