gate,amount,full_mae,full_delta_mae,full_spearman,full_delta_spearman,train_gate_mean,test_gate_mean,test_shift_mean,test_abs_shift_mean,test_abs_shift_p90,test_abs_shift_max,test_n_shift_gt_005,id57_spearman,umap_canonical_mae,umap_canonical_delta_mae,public_adv_top513_mae,public_adv_top513_delta_mae,public_testnn_top513_mae,public_testnn_top513_delta_mae,public_log2fc_top513_mae,public_log2fc_top513_delta_mae,public_hybrid_nolabel_top513_mae,public_hybrid_nolabel_top513_delta_mae,public_hybrid_with_y_top513_mae,public_hybrid_with_y_top513_delta_mae,public_chembl_ext_nn_ge025_mae,public_chembl_ext_nn_ge025_delta_mae,public_stress_mean_delta_mae,id56_minus_id55_projection,id56_minus_id55_pearson,id56_minus_id51_projection,id56_minus_id51_pearson
lf_max_soft_q70_AND_pred_soft_q60,0.05,0.39004152340580567,-0.0002853598911347066,0.8502074591525505,-0.00031347319851593447,0.08059693152668986,0.10583907527672458,0.005291953763836221,0.005291953763836221,0.021203809390666357,0.04999999999999982,0,0.9998457836996839,0.38991144897574365,-0.00028603956456740853,0.3678643070581382,-0.0010572087376001238,0.3623246791925727,-0.0014490150392930112,0.2769315680699931,-0.0007473264097068166,0.3287204503331431,-0.0005568553734149329,0.3056753476075521,-0.0026349741229737544,0.39477614682295753,-0.0006177075377309937,-0.001177181203453272,0.013911281930928717,0.10503848319410374,0.02130742006490382,0.13107830000030898
log2fc_33_pred_soft_q70,0.05,0.3902169710075449,-0.00010991228939549735,0.8498134182008186,-0.0007075141502478344,0.14449642906902613,0.12154233047500228,0.0060771165237501045,0.0060771165237501045,0.02404116341147411,0.04999999999999982,0,0.9997495207295152,0.39008628233347875,-0.00011120620683230387,0.3687954663279392,-0.00012604946779914972,0.3625340701516284,-0.0012396240802373115,0.2784911389861375,0.0008122445064375761,0.33005861935879843,0.0007813136522403785,0.3057346600079386,-0.0025756617225872747,0.3955080252492786,0.00011417088859005942,-0.0003722677038926203,0.016459103974652795,0.1115181962718489,0.022309052162046594,0.1249394788846928
log2fc_33_pred_soft_q70_AND_pred_soft_q50,0.05,0.3901117663518932,-0.00021511694504716683,0.8501024405021956,-0.0004184918488707723,0.08910353989854745,0.10568544211633572,0.0052842721058167785,0.0052842721058167785,0.021614327483590583,0.04999999999999982,0,0.9998218735067241,0.3899814651136122,-0.00021602342669885255,0.36808980776390154,-0.0008317080318367975,0.36242273258446495,-0.0013509616474007835,0.27729155489775653,-0.0003873395819433689,0.3290167204602318,-0.00026058524632627256,0.30574032056549866,-0.0025700011650272025,0.39493510937581083,-0.00045874498487769033,-0.0009765567762353525,0.0133821059509454,0.10072447199888698,0.018523893501374285,0.11446077287382259
lf_max_soft_q70_AND_pred_soft_q70,0.05,0.39001767317555835,-0.00030921012138201975,0.8503023090532492,-0.0002186232978171887,0.06801563459783139,0.10036279447767882,0.005018139723883925,0.005018139723883925,0.020548345185720688,0.04999999999999982,0,0.9998643607641025,0.3898880004414564,-0.0003094880988546711,0.367680119169267,-0.001241396626471325,0.3623371349452514,-0.0014365592866143473,0.2764814559527732,-0.0011974385269267196,0.3285072906527038,-0.0007700150538542672,0.30574077242460224,-0.002569549305923624,0.3947816728101113,-0.0006121815505772399,-0.0013045233917279204,0.01287389233463373,0.09945037580506567,0.020049342261086654,0.125740350808862
lf_mean_soft_q70_AND_pred_soft_q70,0.03,0.38994399697866905,-0.0003828863182713249,0.8504417133790186,-7.921897204776762e-05,0.08236859183011795,0.14692795111633114,0.0044078385334899465,0.0044078385334899465,0.018267353899817176,0.03000000000000025,0,0.9999438243793662,0.3898146225163193,-0.00038286602399173475,0.3674414748228384,-0.001480040972899943,0.3621887490786725,-0.0015849451531932401,0.2763376164851492,-0.0013412779945506936,0.3280734710324623,-0.0012038346740957384,0.30574968322250995,-0.002560638508015911,0.39481511128056246,-0.0005787430801260651,-0.0014582467304802653,0.01317857606115735,0.13347711370005275,0.024625586819404213,0.20200194639490357
log2fc_33_pred_soft_q60,0.03,0.39003722658490886,-0.00028965671203151633,0.8501871697666155,-0.0003337625844509473,0.18363335988203974,0.16366338163423075,0.004909901449026942,0.004909901449026942,0.01742511029491478,0.03000000000000025,0,0.9998877376442079,0.3899070436827207,-0.0002904448575903329,0.3683662062159488,-0.0005553095797895535,0.36258434442617526,-0.001189349805690465,0.2773429480101265,-0.00033594646957341157,0.3292343366569103,-4.296904964773418e-05,0.3057633443943426,-0.0025469773361832537,0.3952684384359501,-0.00012541592473841456,-0.0007993280276038054,0.014049718409810187,0.14562401874422015,0.020968675753313012,0.17863367253495313
log2fc_33_pred_soft_q70_AND_pred_soft_q60,0.05,0.3900903342689488,-0.00023654902799158384,0.8501776936297453,-0.0003432387213211374,0.07921391245243288,0.10215443238254045,0.005107721619127018,0.005107721619127018,0.020751358300318407,0.04999999999999982,0,0.9998421393951806,0.38996028870987376,-0.00023719983043729576,0.36795354626362925,-0.000967969532109092,0.36240855051413895,-0.00136514371772678,0.27700185717001674,-0.0006770373096831594,0.32881731456739266,-0.00045999113916539436,0.30577195373418536,-0.002538367996340496,0.3948686956711727,-0.0005251586895158034,-0.0010889447307567874,0.012699420896237733,0.09737199562964372,0.017682686698455286,0.11108621530801963
log2fc_33_pred_soft_q50_AND_pred_soft_q60,0.03,0.3899895352830521,-0.0003373480138882945,0.8503600281101655,-0.00016090424090087208,0.10766563861583511,0.16318599073337056,0.0048955797220011235,0.0048955797220011235,0.017229596054951203,0.03000000000000025,0,0.9999360913429814,0.38986003290270527,-0.000337455637605788,0.367680886932371,-0.0012406288633673435,0.3623846400161815,-0.001389054215684249,0.27683595106966946,-0.0008429434100304389,0.3284170133481866,-0.0008602923583714284,0.3057998598222504,-0.0025104619082754742,0.3948851293827242,-0.0005087249779643366,-0.001225350955615545,0.012607927297433498,0.14039719315508706,0.021376049693807204,0.1917899866088536
potent46_x_lf_mean_soft_q60,0.08,0.38987640015105635,-0.0004504831458840286,0.8507875323810344,0.0002666000299680338,0.006830084499264937,0.09598557353867851,0.007678845883094283,0.007678845883094283,0.03139678262602708,0.08000000000000007,32,0.9996249032926027,0.38974685633111933,-0.00045063220919172586,0.36641957691023186,-0.002501938885506483,0.36114789105934514,-0.002625803172520591,0.27581766004949065,-0.0018612344302092465,0.32682678948154154,-0.002450516225016519,0.30580971015403585,-0.0025006115764900083,0.3946782060591499,-0.0007156483015386406,-0.0021092920985469146,0.02349198597668255,0.11001098970439184,0.05481782993227708,0.2054161950256665
lf_max_soft_q50_AND_pred_soft_q70,0.03,0.38996420589693664,-0.0003626774000037303,0.8504095625657625,-0.00011136978530390529,0.08977847504248485,0.15793481901205894,0.004738044570361773,0.004738044570361773,0.016993049576979936,0.03000000000000025,0,0.9999490686224317,0.3898348500245317,-0.00036263851577933437,0.3674658625864184,-0.0014556532093199515,0.36227501021860853,-0.001498684013257201,0.2765642300481018,-0.001114664431598078,0.32816334764258304,-0.001113958063975018,0.3058115853991652,-0.0024987363313606625,0.3948629216324752,-0.000530932728213307,-0.0013687714629540364,0.012500962976822134,0.13947836884335188,0.022558632181288417,0.20214974346198852
