gate,amount,full_mae,full_delta_mae,full_spearman,full_delta_spearman,train_gate_mean,test_gate_mean,test_shift_mean,test_abs_shift_mean,test_abs_shift_p90,test_abs_shift_max,test_n_shift_gt_005,id57_spearman,umap_canonical_mae,umap_canonical_delta_mae,public_adv_top513_mae,public_adv_top513_delta_mae,public_testnn_top513_mae,public_testnn_top513_delta_mae,public_log2fc_top513_mae,public_log2fc_top513_delta_mae,public_hybrid_nolabel_top513_mae,public_hybrid_nolabel_top513_delta_mae,public_hybrid_with_y_top513_mae,public_hybrid_with_y_top513_delta_mae,public_chembl_ext_nn_ge025_mae,public_chembl_ext_nn_ge025_delta_mae,public_stress_mean_delta_mae,id56_minus_id55_projection,id56_minus_id55_pearson,id56_minus_id51_projection,id56_minus_id51_pearson
lf_max_soft_q50_AND_pred_soft_q60,0.02,0.39005262633183596,-0.00027425696510441355,0.850431400204672,-8.953214639439988e-05,0.10946570418816623,0.16904915889574634,0.003380983177914916,0.003380983177914916,0.011519791462040808,0.019999999999999574,0,0.9999679123432774,0.3899231615602007,-0.00027432698011037315,0.36792111822160106,-0.0010003975741372795,0.36266513784177135,-0.001108556390094384,0.27692881443914547,-0.000750080040554435,0.3285321340247092,-0.0007451716818488441,0.30647266220033986,-0.0018376595301859977,0.3950017901903336,-0.00039206417035492214,-0.0009723215645293104,0.009138294366790674,0.15043407584394367,0.016077597730256882,0.21347532508543812
lf_mean_soft_q70_AND_pred_soft_q60,0.02,0.39004563420120625,-0.00028124909573412626,0.8504558631935736,-6.506915749282527e-05,0.09451475234963241,0.15280164271231503,0.0030560328542462902,0.0030560328542462902,0.012440922878341887,0.019999999999999574,0,0.999967734572326,0.3899161382998089,-0.00028135024050213175,0.3679106136581666,-0.0010109021375717675,0.36261908177879515,-0.0011546124530705804,0.2767414029188451,-0.0009374915608548196,0.3284644754595885,-0.0008128302469695425,0.30648237132289674,-0.0018279504076291198,0.39497078135835173,-0.00042307300233679346,-0.0010278099680721038,0.009359613827061866,0.1401158237674408,0.017205666618258435,0.20927391705246404
log2fc_33_pred_soft_q70,0.03,0.39016880233337303,-0.00015808096356734191,0.850142454089856,-0.00037847826121040207,0.14449642906902613,0.12154233047500228,0.0036462699142500803,0.0036462699142500803,0.01442469804688411,0.03000000000000025,0,0.99989964829795,0.390038538964919,-0.00015894957539203114,0.36867208209874025,-0.0002494336969980915,0.362906673706114,-0.0008670205257517161,0.2774423299978387,-0.00023656448186121226,0.3295243728451789,0.00024706713862082674,0.3064838869594616,-0.0018264347710642559,0.39532977469328545,-6.407966740307192e-05,-0.0004994110007429201,0.009875462384791677,0.11151819627184836,0.01338543129722799,0.12493947888469238
potent46_x_lf_mean_soft_q50,0.05,0.39000694510217204,-0.0003199381947683322,0.8507098751912061,0.0001889428401397053,0.007625596573051905,0.11140156804898345,0.005570078402449173,0.005570078402449173,0.023501237997618326,0.04999999999999982,0,0.9998203624536376,0.3898775387517063,-0.00031994978860477863,0.3671169457216718,-0.001804570074066536,0.3618821314525331,-0.0018915627793326117,0.27648099004942883,-0.0011979044302710684,0.3274953156221182,-0.001781990084439855,0.3064896115317049,-0.0018207101988209629,0.3949112779914438,-0.0004825763692447027,-0.001496552322695956,0.016334199944759698,0.1168598777296949,0.039219112102080435,0.2232168004521182
log2fc_33_pred_soft_q50_AND_pred_soft_q50,0.02,0.39007468168106907,-0.00025220161587130585,0.850391631919135,-0.0001293004319313784,0.12454958672423738,0.17074425976493812,0.0034148851952987623,0.0034148851952987623,0.011692744304595949,0.019999999999999574,0,0.9999661346337635,0.3899451845755018,-0.0002523039648092418,0.36805363975206606,-0.0008678760436722777,0.36275253739898006,-0.0010211568328856724,0.2770461156155502,-0.0006327788641496968,0.3286955200341967,-0.0005817856723613346,0.30649014211325565,-0.0018201796172702123,0.39505731172547137,-0.0003365426352171519,-0.0008767199442593909,0.00899734995025948,0.14780090317881298,0.015005483107113445,0.199292420168547
log2fc_33_pred_soft_q80_AND_pred_soft_q70,0.05,0.3901713261633397,-0.00015555713360065893,0.8502713680081692,-0.00024956434289724605,0.05456636146422803,0.06907540995563172,0.00345377049778158,0.00345377049778158,0.012486094718604342,0.04999999999999982,0,0.9998779602418825,0.3900415089278799,-0.00015597961243113412,0.36813326022248605,-0.0007882555732522945,0.36274448440730067,-0.0010292098245650583,0.27675348797027033,-0.0009254065094295716,0.328945191688837,-0.0003321140177210413,0.3065175643153467,-0.001792757415179147,0.39492595455834545,-0.0004678998023430747,-0.0008892738570816979,0.007841494323348483,0.06841244130348788,0.008535627470210479,0.06262225278628104
log2fc_33_pred_soft_q60,0.02,0.39009825265918596,-0.00022863063775441228,0.8502994250410045,-0.00022150731006187474,0.18363335988203974,0.16366338163423075,0.0032732676326846,0.0032732676326846,0.0116167401966095,0.019999999999999574,0,0.9999487130805289,0.38996839691127894,-0.00022909162903211877,0.3684627121649529,-0.0004588036307854315,0.362886059463161,-0.000887634768704737,0.27720584190649056,-0.0004730525732093427,0.3291568383168815,-0.00012046738967658177,0.3065191258571835,-0.001791195873342366,0.3952577623957829,-0.0001360919649056047,-0.0006445410334373439,0.009366478939873524,0.1456240187442224,0.013979117168875333,0.178633672534955
lf_max_soft_q80_AND_pred_soft_q70,0.05,0.3901372712688217,-0.00018961202811867972,0.8502847816626806,-0.00023615068838578335,0.055444195240511134,0.07004425537477055,0.003502212768738531,0.003502212768738531,0.012532739672736963,0.04999999999999982,0,0.9998831155994722,0.3900075296201006,-0.00018995892021045346,0.36810568524027465,-0.0008158305554636924,0.3627411851617134,-0.0010325090701523432,0.27668256871362296,-0.0009963257660769442,0.32890983727109074,-0.0003674684354673108,0.3065328059122848,-0.0017775158182410378,0.39485116892393657,-0.0005426854367519551,-0.0009220558470255472,0.008255497858001313,0.07151549818695406,0.010406613209149946,0.07446227354976132
potent46_x_lf_mean_soft_q50_AND_pred_soft_q50,0.05,0.3900522118212044,-0.00027467147573595474,0.8506082193192533,8.728696818693926e-05,0.00646929661171594,0.0999689404005121,0.004998447020025605,0.004998447020025605,0.020462946142902717,0.04999999999999982,0,0.9998811601190072,0.3899230338027719,-0.00027445473753917593,0.36720927108564455,-0.001712244710093791,0.3619358861613778,-0.0018378080704879451,0.27661522519061127,-0.0010636692890886312,0.32754298956717454,-0.0017343161393835183,0.30653728547676123,-0.001773036253764626,0.39501132342731804,-0.00038253093337048405,-0.0014172675660314993,0.012169509762979204,0.09473162973736832,0.033564748403076994,0.20186407713372276
potent46_x_lf_mean_soft_q50_AND_pred_soft_q60,0.05,0.3900587751223579,-0.00026810817458244873,0.8505894165436702,6.848419260374605e-05,0.006281888313938084,0.0975231090871643,0.004876155454358213,0.004876155454358213,0.020098516181271727,0.04999999999999982,0,0.9998888042699162,0.3899296550931074,-0.0002678334472036581,0.36722430135339856,-0.0016972144423397784,0.3619420581214763,-0.0018316361103894452,0.27662345065948557,-0.0010554438202143301,0.3275480310857943,-0.0017292746207637766,0.3065423269953809,-0.0017679947351449399,0.39503370409931543,-0.00036015026137309336,-0.0014069523317042272,0.011386967532086735,0.08995112444536796,0.0324502256001465,0.19660033072422559
log2fc_33_pred_soft_q80_AND_pred_soft_q60,0.05,0.39022315037180216,-0.00010373292513821131,0.850142123976278,-0.00037880837478843077,0.06399023104069093,0.07238007115851566,0.003619003557925778,0.003619003557925778,0.01292100689617293,0.04999999999999982,0,0.9998632941383943,0.39009304583072674,-0.00010444270958431812,0.36832217040600007,-0.0005993453897382706,0.3627569839921175,-0.001016710239748253,0.27721839323990066,-0.00046050123979923807,0.32917090158032747,-0.00010640412623058593,0.306542852104089,-0.0017674696264368683,0.39496854194760367,-0.0004253124130848551,-0.0007292905058396785,0.008399228671000526,0.07143235230177432,0.00921547008831881,0.06590129674787626
lf_mean_soft_q70_AND_pred_soft_q70,0.02,0.3900508987581246,-0.00027598453881577667,0.8504685172655361,-5.241508553033292e-05,0.08236859183011795,0.14692795111633114,0.002938559022326613,0.002938559022326613,0.01217823593321157,0.019999999999999574,0,0.9999705789075478,0.38992155095795533,-0.0002759375823557231,0.3678725292509563,-0.0010489865447820268,0.3626439909618411,-0.0011297032700246512,0.276625623777356,-0.0010532707023439003,0.3284166035304786,-0.0008607021760794753,0.3065436940391908,-0.0017666276913350654,0.39498704449736266,-0.0004068098633258632,-0.0010443500413151636,0.008785717374104916,0.13347711370005422,0.01641705787960275,0.2020019463949049
potent46_x_lf_mean_soft_q50_AND_pred_soft_q70,0.05,0.3900671974938593,-0.0002596858030810556,0.8505671445314383,4.6212180371929534e-05,0.006020406955129498,0.0938573861482172,0.004692869307410857,0.004692869307410857,0.01966873151851569,0.04999999999999982,0,0.9998962706498739,0.3899381614264547,-0.00025932711385634466,0.3672321817218117,-0.0016893340739266294,0.36194531680218095,-0.00182837742968478,0.2766200547271495,-0.001058839752550389,0.3275502959945746,-0.0017270097119834737,0.3065445919041612,-0.001765729826364637,0.3950707913362602,-0.00032306302442830503,-0.0013987256364897023,0.010480048086070467,0.084176901669917,0.031051130046586488,0.18968375452545921
lf_max_soft_q80_AND_pred_soft_q60,0.05,0.3901830559858486,-0.00014382731109174873,0.8501756597614332,-0.0003452725896332387,0.06476330848163837,0.07320682777355102,0.003660341388677542,0.003660341388677542,0.013002250370615979,0.04999999999999982,0,0.9998669384428972,0.39005295311363186,-0.00014453542667919317,0.3682960630807607,-0.000625452714977659,0.36275592221499725,-0.001017772016868479,0.27714043051016785,-0.0005384639695320548,0.3291342370693168,-0.0001430686372412282,0.3065622429559536,-0.0017480787745722814,0.39486883209797685,-0.0005250222627116718,-0.0007663097293172291,0.008781250309537036,0.07428026353327628,0.01104473365457458,0.0772774371075989
log2fc_33_pred_soft_q50_AND_pred_soft_q60,0.02,0.3900767262253218,-0.00025015707161857303,0.8504189359649286,-0.00010199638613783701,0.10766563861583511,0.16318599073337056,0.003263719814667397,0.003263719814667397,0.011486397369967528,0.019999999999999574,0,0.9999679123432774,0.3899473047215225,-0.0002501838187885519,0.3680217419078545,-0.0008997738878838146,0.3627688324551186,-0.0010048617767471346,0.27694252465981245,-0.0007363698198874502,0.32864282580830556,-0.0006344798982524935,0.30657433917302856,-0.0017359825574972954,0.39502892375536425,-0.00036493060532427624,-0.0008960664242654107,0.008405284864955669,0.14039719315508808,0.014250699795871449,0.19178998660885474
log2fc_33_pred_soft_q80_AND_pred_soft_q50,0.05,0.39025708664402947,-6.979665291090287e-05,0.8500547253918199,-0.0004662069592464846,0.07117221207811585,0.07444508647570308,0.003722254323785149,0.003722254323785149,0.01292100689617293,0.04999999999999982,0,0.9998476502946733,0.39012675337117,-7.073516914107847e-05,0.3684585286924075,-0.00046298710333081416,0.3627794293191666,-0.0009942649126991054,0.27751180114807816,-0.00016709333162173712,0.32937630136543056,9.899565887250272e-05,0.30657641132380203,-0.0017339104067238265,0.39504075139873385,-0.0003531029619546766,-0.0006020605095762762,0.008749540189094384,0.0730872954159583,0.009657662233502761,0.06781853228002492
lf_max_soft_q70_AND_pred_soft_q50,0.03,0.390130184235465,-0.00019669906147534721,0.8503027306583465,-0.0002182016927199104,0.0903800437076428,0.10927211789871405,0.0032781635369614087,0.0032781635369614087,0.013013487125829571,0.03000000000000025,0,0.9999336914351379,0.39000028332345893,-0.00019720521685212544,0.36823798113721545,-0.0006835346585228885,0.36279971357448615,-0.0009739806573795806,0.2771197795011953,-0.0005591149785045824,0.3289442410561276,-0.0003330646504304813,0.3065808614634585,-0.0017294602670673842,0.3950091849334066,-0.0003846694272819362,-0.0007773041065311422,0.008742175247032927,0.10817991470143129,0.013271379350486745,0.1340651550213379
