label,k,alpha,gamma,clip,oof_mae,oof_delta_mae,oof_spearman,oof_delta_spearman,oof_resid_std,test_resid_std,test_mean_shift,test_mean_abs_shift,test_p90_abs_shift,test_max_abs_shift,test_gt_005,test_gt_010,test_gt_020
k32_a0p85_gm0p25_c0p03,32,0.85,-0.25,0.03,0.3917110167527898,0.00026702216530050116,0.8487182440826843,-0.00031248471805322975,0.06348609563854,0.06818919544916067,-0.008870626350638084,0.014839532279031106,0.029999999999999805,0.03000000000000025,0,0,0
k16_a0p5_gm0p25_c0p03,16,0.5,-0.25,0.03,0.3917452640884115,0.0003012695009221855,0.8489193012624691,-0.0001114275382684271,0.04812028375386364,0.04459693384553734,-0.009146919526511324,0.01168434542284814,0.02342259078853175,0.03000000000000025,0,0,0
k32_a0p5_gm0p5_c0p03,32,0.5,-0.5,0.03,0.39176168157306174,0.0003176869855724407,0.8486382249403529,-0.0003925038603845854,0.035377036856983464,0.035704261395009894,-0.008399916529208835,0.014972960665033674,0.029999999999999805,0.03000000000000025,0,0,0
k8_a0p85_g0p5_c0p03,8,0.85,0.5,0.03,0.39179372912495064,0.00034973453746134364,0.8481417085826521,-0.0008890202180853457,0.11980529604452175,0.14798174257800073,0.024973324209316652,0.02735983010847865,0.03000000000000025,0.03000000000000025,0,0,0
k32_a0p85_g0p5_c0p03,32,0.85,0.5,0.03,0.3917968205505141,0.0003528259630248276,0.8487333296136464,-0.00029739918709104085,0.06348609563854,0.06818919544916067,0.011906478467030376,0.021393025616202897,0.03000000000000025,0.03000000000000025,0,0,0
k32_a0p85_gm0p25_c0p06,32,0.85,-0.25,0.06,0.3918026312478039,0.00035863666031460406,0.8486489294481111,-0.00038179935262638853,0.06348609563854,0.06818919544916067,-0.009666150913086936,0.0157610163715896,0.031803985244287694,0.05999999999999961,5,0,0
k16_a0p5_gm0p25_c0p06,16,0.5,-0.25,0.06,0.3918104489417887,0.00036645435429938367,0.8489112130570201,-0.00011951574371737994,0.04812028375386364,0.04459693384553734,-0.009341333739419729,0.011878759635756546,0.02342259078853175,0.05999999999999961,1,0,0
k16_a0p85_g0p5_c0p06,16,0.85,0.5,0.06,0.39182654522097604,0.00038255063348674456,0.8481321516085432,-0.0008985771921943275,0.08762491176603114,0.09867011773650172,0.03397224093830958,0.04313654840995664,0.05999999999999961,0.06000000000000005,268,0,0
k32_a0p85_gm0p5_c0p03,32,0.85,-0.5,0.03,0.39186928971401697,0.00042529512652766943,0.8485267253588546,-0.0005040034418828387,0.06348609563854,0.06818919544916067,-0.011906478467030373,0.021393025616202897,0.03000000000000025,0.03000000000000025,0,0,0
k32_a0p5_gm0p5_c0p06,32,0.5,-0.5,0.06,0.39188629457460245,0.00044229998711314833,0.8485353283520759,-0.0004954004486615871,0.035377036856983464,0.035704261395009894,-0.009227187947666587,0.016003944190194724,0.031522533411735235,0.05999999999999961,7,0,0
k8_a0p5_gm0p25_c0p03,8,0.5,-0.25,0.03,0.39193761434546004,0.0004936197579707424,0.8489934987706776,-3.723003005984271e-05,0.06343311123286723,0.05321498591302426,-0.012544004959369913,0.013710585711243173,0.02852490458887491,0.03000000000000025,0,0,0
k16_a0p85_gm0p25_c0p03,16,0.85,-0.25,0.03,0.39195029785831914,0.0005063032708298443,0.8487216334967876,-0.00030909530394984674,0.08762491176603114,0.09867011773650172,-0.01698612046915493,0.021568274204978467,0.03000000000000025,0.03000000000000025,0,0,0
k32_a0p85_g0p5_c0p06,32,0.85,0.5,0.06,0.3919698070708876,0.0005258124833982802,0.8485138744363774,-0.0005168543643601087,0.06348609563854,0.06818919544916067,0.01774125270127608,0.02967906455806211,0.05999999999999961,0.06000000000000005,108,0,0
k8_a0p5_gm0p5_c0p03,8,0.5,-0.5,0.03,0.3919743493897911,0.0005303548023017912,0.8489924812023383,-3.8247598399210325e-05,0.06343311123286723,0.05321498591302426,-0.01942851132765527,0.021359858406241366,0.03000000000000025,0.03000000000000025,0,0,0
k16_a0p5_gm0p5_c0p03,16,0.5,-0.5,0.03,0.39198504634879566,0.0005410517613063659,0.8487151119779094,-0.000315616822828102,0.04812028375386364,0.04459693384553734,-0.014816147919868424,0.019607931195272103,0.03000000000000025,0.03000000000000025,0,0,0
k8_a0p85_gm0p25_c0p03,8,0.85,-0.25,0.03,0.3920076983536683,0.0005637037661789801,0.8488768732119232,-0.00015385558881431116,0.11980529604452175,0.14798174257800073,-0.022887914486600516,0.024944180363126515,0.03000000000000025,0.03000000000000025,0,0,0
