compound,template_pdb,template_ccd,template_chain,mcs_atoms,posit_probability,posit_method,ca_rmsd,out_pdb,error
x02790-1,6S41,KUB,A,9.0,0.23999999463558197,FRED,0.6632713412044884,structures/boltz2_track2/redock_posit/x02790-1/x02790-1_posit.pdb,
x02792-1,1NRL,SRL,A,6.0,0.14000000059604645,HYBRID,0.5924912029032133,structures/boltz2_track2/redock_posit/x02792-1/x02792-1_posit.pdb,
x02793-1,5X0R,4WH,A,10.0,0.18000000715255737,HYBRID,0.6102110546137958,structures/boltz2_track2/redock_posit/x02793-1/x02793-1_posit.pdb,
x02797-1,2O9I,444,A,6.0,0.14000000059604645,HYBRID,0.7558242689987104,structures/boltz2_track2/redock_posit/x02797-1/x02797-1_posit.pdb,
x02800-1,7AXD,S6W,A,11.0,0.019999999552965164,FRED,0.37034902232519756,structures/boltz2_track2/redock_posit/x02800-1/x02800-1_posit.pdb,
x02806-1,8SVR,WT1,B,10.0,0.019999999552965164,FRED,0.6736799043281451,structures/boltz2_track2/redock_posit/x02806-1/x02806-1_posit.pdb,
x02813-1,9FZG,A1IHA,A,12.0,,,,,receptor_build_failed
x02819-1,8EQZ,WQB,A,13.0,0.05000000074505806,FRED,0.6782214349133441,structures/boltz2_track2/redock_posit/x02819-1/x02819-1_posit.pdb,
x02828-1,2O9I,444,A,9.0,0.17000000178813934,HYBRID,0.7285789783267884,structures/boltz2_track2/redock_posit/x02828-1/x02828-1_posit.pdb,
x02843-1,1NRL,SRL,A,6.0,0.05000000074505806,FRED,0.6450932477809094,structures/boltz2_track2/redock_posit/x02843-1/x02843-1_posit.pdb,
x02848-1,6HJ2,P06,A,8.0,0.23999999463558197,FRED,0.38497037222303004,structures/boltz2_track2/redock_posit/x02848-1/x02848-1_posit.pdb,
x02858-1,7N2A,07F,A,8.0,0.14000000059604645,HYBRID,0.7597929499405278,structures/boltz2_track2/redock_posit/x02858-1/x02858-1_posit.pdb,
x02859-1,6HJ2,P06,A,8.0,0.05000000074505806,FRED,0.3846844300849183,structures/boltz2_track2/redock_posit/x02859-1/x02859-1_posit.pdb,
x02861-1,1M13,HYF,A,7.0,0.019999999552965164,FRED,0.7342351595755395,structures/boltz2_track2/redock_posit/x02861-1/x02861-1_posit.pdb,
x02865-1,2O9I,444,A,12.0,0.019999999552965164,FRED,0.758548859520495,structures/boltz2_track2/redock_posit/x02865-1/x02865-1_posit.pdb,
x02872-1,2O9I,444,A,11.0,0.42,SHAPEFIT,0.7886398868701021,structures/boltz2_track2/redock_posit/x02872-1/x02872-1_posit.pdb,
x02877-1,6XP9,QCG,A,7.0,0.05000000074505806,FRED,0.6510297136348233,structures/boltz2_track2/redock_posit/x02877-1/x02877-1_posit.pdb,
x02878-1,2O9I,444,A,11.0,0.51,SHAPEFIT,0.79807196227892,structures/boltz2_track2/redock_posit/x02878-1/x02878-1_posit.pdb,
x02882-1,5X0R,4WH,A,10.0,0.18000000715255737,HYBRID,0.6267568197944849,structures/boltz2_track2/redock_posit/x02882-1/x02882-1_posit.pdb,
x02904-1,7RIO,5YX,A,9.0,0.23999999463558197,FRED,0.321387085295252,structures/boltz2_track2/redock_posit/x02904-1/x02904-1_posit.pdb,
x02906-1,6BNS,XGH,A,8.0,0.019999999552965164,FRED,0.5958362312678557,structures/boltz2_track2/redock_posit/x02906-1/x02906-1_posit.pdb,
x02909-1,4NY9,2Q4,A,8.0,0.009999999776482582,FRED,0.7893835463376513,structures/boltz2_track2/redock_posit/x02909-1/x02909-1_posit.pdb,
x02913-1,9FZG,A1IHA,A,18.0,,,,,receptor_build_failed
x02914-1,4NY9,2Q4,A,8.0,0.019999999552965164,FRED,0.7488877007296713,structures/boltz2_track2/redock_posit/x02914-1/x02914-1_posit.pdb,
x02920-1,8SVO,WSO,A,14.0,0.18000000715255737,HYBRID,0.7335036104890463,structures/boltz2_track2/redock_posit/x02920-1/x02920-1_posit.pdb,
x02962-1,1NRL,SRL,A,12.0,0.019999999552965164,FRED,0.6289778945645677,structures/boltz2_track2/redock_posit/x02962-1/x02962-1_posit.pdb,
x02989-1,1NRL,SRL,A,7.0,0.009999999776482582,FRED,0.6125778359049945,structures/boltz2_track2/redock_posit/x02989-1/x02989-1_posit.pdb,
