compound,qha,template_pdb,template_ccd,mcs_atoms,mcs_coverage,source,template_rmsd,skipped,error
x00370-1,18,6HTY,GRH,10.0,0.5555555555555556,template_transferred,0.07385783269686153,,
x00406-1,16,,,,,,,mcs_below_threshold,
x00409-1,15,,,,,,,mcs_below_threshold,
x00433-1,15,6TFI,N6H,8.0,0.5333333333333333,boltz_model_0,7.8686402379462335,,
x00433-1,15,6TFI,N6H,8.0,0.5333333333333333,boltz_model_1,7.888044847436531,,
x00433-1,15,6TFI,N6H,8.0,0.5333333333333333,boltz_model_2,7.824097811738157,,
x00433-1,15,6TFI,N6H,8.0,0.5333333333333333,boltz_model_3,7.821512784524645,,
x00433-1,15,6TFI,N6H,8.0,0.5333333333333333,boltz_model_4,8.067919561034682,,
x00433-1,15,6TFI,N6H,8.0,0.5333333333333333,gnina_refined,7.495109037962772,,
x00433-1,15,6TFI,N6H,8.0,0.5333333333333333,template_transferred,0.06359272663892884,,
x00462-1,15,5X0R,4WH,9.0,0.6,boltz_model_0,11.215829099384857,,
x00462-1,15,5X0R,4WH,9.0,0.6,boltz_model_1,11.487769338414946,,
x00462-1,15,5X0R,4WH,9.0,0.6,boltz_model_2,11.580666198972501,,
x00462-1,15,5X0R,4WH,9.0,0.6,boltz_model_3,11.439855266714968,,
x00462-1,15,5X0R,4WH,9.0,0.6,boltz_model_4,11.510831500228267,,
x00462-1,15,5X0R,4WH,9.0,0.6,gnina_refined,11.58031863259452,,
x00462-1,15,5X0R,4WH,9.0,0.6,template_transferred,0.049371152987477414,,
x00463-1,17,6S41,KUB,8.0,0.47058823529411764,boltz_model_0,4.441321233448937,,
x00463-1,17,6S41,KUB,8.0,0.47058823529411764,boltz_model_1,4.100126126304939,,
x00463-1,17,6S41,KUB,8.0,0.47058823529411764,boltz_model_2,3.4841411900359947,,
x00463-1,17,6S41,KUB,8.0,0.47058823529411764,boltz_model_3,3.48119147415732,,
x00463-1,17,6S41,KUB,8.0,0.47058823529411764,boltz_model_4,4.157858152608483,,
x00463-1,17,6S41,KUB,8.0,0.47058823529411764,gnina_refined,4.080348111956883,,
x00463-1,17,6S41,KUB,8.0,0.47058823529411764,template_transferred,0.015372426355974035,,
x00494-1,15,,,,,,,mcs_below_threshold,
x00509-1,17,,,,,,,mcs_below_threshold,
x00512-1,16,2O9I,444,12.0,0.75,boltz_model_0,6.140430862229303,,
x00512-1,16,2O9I,444,12.0,0.75,boltz_model_1,6.229628116895236,,
x00512-1,16,2O9I,444,12.0,0.75,boltz_model_2,6.109357536384196,,
x00512-1,16,2O9I,444,12.0,0.75,boltz_model_3,6.1659669120727045,,
x00512-1,16,2O9I,444,12.0,0.75,boltz_model_4,6.23867159112411,,
x00512-1,16,2O9I,444,12.0,0.75,gnina_refined,5.984643672209483,,
x00512-1,16,2O9I,444,12.0,0.75,template_transferred,0.10641742394170715,,
x00527-1,10,,,,,,,mcs_below_threshold,
x00543-1,14,9FZG,A1IHA,11.0,0.7857142857142857,boltz_model_0,1.6292636080982188,,
x00543-1,14,9FZG,A1IHA,11.0,0.7857142857142857,boltz_model_1,4.893684003525071,,
x00543-1,14,9FZG,A1IHA,11.0,0.7857142857142857,boltz_model_2,7.941208375468383,,
x00543-1,14,9FZG,A1IHA,11.0,0.7857142857142857,boltz_model_3,5.069740966119391,,
x00543-1,14,9FZG,A1IHA,11.0,0.7857142857142857,boltz_model_4,1.6889226745993249,,
x00543-1,14,9FZG,A1IHA,11.0,0.7857142857142857,gnina_refined,0.8671929749354368,,
x00543-1,14,9FZG,A1IHA,11.0,0.7857142857142857,template_transferred,0.05527863464889043,,
x00555-1,17,,,,,,,mcs_below_threshold,
