rank,username,Submitted,model_report_link,MAE,MAE std,RAE,RAE std,R2,R2 std,Spearman ρ,Spearman ρ std,Kendall's τ,Kendall's τ std,Proprietary Data
11,Ky,2026-04-08 16:44 UTC,,0.4577310038083149,0.0301312025118286,0.5748110513749638,0.0268211675599001,0.5952657885822801,0.0364624836120371,0.8140311429746621,0.0248150775905399,0.621873225345525,0.0250031464934665,No
12,Uncertain-Tea,2026-04-16 12:27 UTC,,0.4599030772043478,0.0327658566171767,0.5772670533468588,0.0255814488596647,0.5600789337970532,0.0418296544362731,0.8374449398476764,0.0195386677186646,0.6412683876825046,0.0213814128184339,No
13,Radi,2026-04-09 17:23 UTC,exp28,0.4612712899664098,0.0336911293934201,0.5789071595083023,0.0256377578006141,0.5477237600635079,0.0422963498124246,0.823274160805262,0.0213233149489802,0.6269105717589063,0.0224993356391574,No
14,kimiai2,2026-04-14 18:34 UTC,,0.4618452993063242,0.0343702704399536,0.5797420980804204,0.0292725279450543,0.5355074760343158,0.0506493582583993,0.8049198849398519,0.0243586987591956,0.6124920001233043,0.0249572440835897,No
15,Asidsal11,2026-04-15 12:52 UTC,,0.4666856343873518,0.0340577733270998,0.5857323133200694,0.0264628652595735,0.5347440775147251,0.0460099510892326,0.8094055663089944,0.0225745385143063,0.6107021604638935,0.0231745157859706,No
16,Mirabel,2026-04-09 14:17 UTC,,0.4727367311136901,0.0340096042810558,0.5934617248786838,0.0288714499317896,0.5170141268957059,0.0474045037240174,0.7978710406887928,0.0221509901236955,0.5966699519334158,0.02344428337928,No
17,TakuyaPKPD,2026-04-12 05:53 UTC,,0.4811349441194987,0.030571646299153,0.6044241874748846,0.0309218104670165,0.5623124147823944,0.0434603061411973,0.8028529494575757,0.0235189530072714,0.6059331138756798,0.0233134118341786,No
18,N1NC1O,2026-04-01 23:28 UTC,,0.4814876602248241,0.0334174387874154,0.6046688820720472,0.0317629241476804,0.5200284743142642,0.0406688357322235,0.7894870205272405,0.0265874798949977,0.6050090299722675,0.0259532629488907,No
19,rchshtr-key,2026-04-14 21:10 UTC,,0.4836901703359684,0.035080719299766,0.6070424025933138,0.0264430878987436,0.5071425439603261,0.044328160228077,0.7960675764759805,0.023625815288156,0.5961320450141773,0.0240225517895375,No
20,karlfeyerabend,2026-04-14 21:21 UTC,,0.4837287839881423,0.0352997051152995,0.6070737698627253,0.0264956602830886,0.5065064090545902,0.0441502733345503,0.7948576665655747,0.0239654928591927,0.5950827173563782,0.0241888893328085,No
21,asidsal11,2026-04-15 14:31 UTC,,0.4840013403162055,0.0341671123589051,0.6074707468578613,0.025235373574709,0.5164987590071565,0.044160800908484,0.81757265384127,0.0214688131773791,0.6191927571785057,0.0227423512765971,No
22,soriniX,2026-04-14 21:14 UTC,,0.4889812572505929,0.0286610135878294,0.6144469136972134,0.0310655186622687,0.5849251938317991,0.0352082829766161,0.8054652926892739,0.0236706187896604,0.6067589917490034,0.0240785141366926,No
23,kritarchy,2026-04-16 20:48 UTC,,0.4930410176869566,0.0248456771731922,0.620060098507963,0.035847582422462,0.6141113776721743,0.0340705534458034,0.788309910145179,0.0270272941734432,0.5929498159940279,0.0259218092064837,No
24,MM-2092,2026-04-16 04:59 UTC,,0.4970927526771282,0.0364270453965437,0.6239994744930436,0.0308872241022007,0.4734195305662093,0.0505827309178578,0.7694206132729413,0.0273166617249407,0.5708410320036582,0.0261492463947669,No
25,TangerineTrees,2026-04-15 03:28 UTC,,0.4984002784909092,0.0288658386548498,0.6262111196225976,0.0297656315709751,0.5661517274662977,0.0334789809817334,0.7826785887127432,0.0269828683014854,0.5830645647877609,0.0258880530533297,No
26,N283T,2026-04-09 06:04 UTC,https://github.com/N283T/pxr-iduction-challenge,0.498861930443137,0.0326449043720866,0.6263293241670762,0.0258858640203612,0.5193463204765603,0.0368996245475412,0.7996684045635579,0.023311378840559,0.6002575957306198,0.0236486296964081,No
27,DMakarov,2026-04-08 13:52 UTC,,0.4990550316205534,0.0352792809167368,0.6263753137983503,0.0264661072571277,0.4888716651859076,0.0464305099761723,0.785569712604825,0.023658361193637,0.5859176189335912,0.0236771577479814,No
28,zipper,2026-04-16 02:48 UTC,,0.5036690650035573,0.0319376358949834,0.632474110676828,0.0267922754572034,0.5278630728217264,0.0379821176679395,0.7855614340464249,0.0253696352188405,0.58411421606828,0.0242928815472246,No
29,gokulalgates,2026-04-16 22:19 UTC,,0.5043438266320688,0.0346114488037309,0.6334198743780968,0.0334773228090393,0.4991025215871172,0.0455768008871411,0.7814524625408201,0.0251540323405396,0.5808447308134347,0.0245157935032774,No
30,gts,2026-04-16 22:45 UTC,,0.5075107425028911,0.0326788747229909,0.6372405355118569,0.0265955526916801,0.5068824006493333,0.0385841584978013,0.7958384470767791,0.0232693652095022,0.5955286747417252,0.0236359282082746,No
31,ubiqtuitin,2026-04-16 21:53 UTC,,0.5080327788442229,0.0327648041644234,0.6380020826454038,0.0290490376952021,0.5064194050996575,0.0392468917038473,0.7770449384164196,0.0253588148211262,0.5743628755380552,0.0252892654213328,No
32,Queimo,2026-04-03 12:46 UTC,,0.5132054746806324,0.0347575871879365,0.6444109686051583,0.030493424792823,0.4650289763125934,0.0497070718554661,0.7584285202053321,0.0288495887895488,0.564720531535556,0.0273330979906366,No
33,luke,2026-04-14 21:28 UTC,,0.5152580701719369,0.0328613409209067,0.6474226628120756,0.0358247613633648,0.4957157931907317,0.0568987425580381,0.713433752658599,0.0348145416443902,0.5280596092969996,0.0304976031389331,No
34,axelrolov,2026-04-04 07:32 UTC,https://github.com/AxelRolov/moltabfm_pxr,0.519259768331098,0.0356760263546931,0.6519047133931806,0.029494466793431,0.4557975321121896,0.0474589835255235,0.7615272265599938,0.0281166403883403,0.5630099370140454,0.0264415907653938,No
35,mp-sabrina,2026-04-16 20:34 UTC,,0.5210389026784189,0.0348917601619017,0.6542228270618052,0.0296669818629354,0.4765971536893286,0.0473936380258003,0.7527805157214628,0.030100718230455,0.561688882253344,0.0282689865596737,No
36,modeling1213,2026-04-16 22:02 UTC,,0.5254433552218154,0.0349198906105517,0.6598030067864643,0.0305327558759363,0.4757037170733961,0.0424301990125901,0.7519627423363747,0.0282374026674775,0.5520153024101767,0.02617068387779,No
37,adme-learning,2026-04-07 12:09 UTC,,0.5295422740043478,0.0357092113735512,0.6648458062251789,0.0293753058786218,0.446318252592094,0.047475020877748,0.7264235608066396,0.0300851376018927,0.5275376063279803,0.0271588099871198,No
38,FoundationAll,2026-04-16 13:32 UTC,,0.5299637083071146,0.0339921738358469,0.6655704576955819,0.0304796631352692,0.4730030004947924,0.0490572505068253,0.730314147773752,0.030971169142926,0.535875681037434,0.0278909250519875,No
39,MolTabICL,2026-04-02 16:05 UTC,,0.530763709115415,0.0352333059679614,0.6666208123987409,0.033749127176139,0.4442627119666897,0.0457805023000933,0.7484485580046137,0.0289021497664345,0.5454745354704065,0.0268523539236386,No
40,SystemsCBLab,2026-04-13 09:33 UTC,,0.5314602520695653,0.0342554656693086,0.6674371393773212,0.0306924584179889,0.4650857949333046,0.0460942153564955,0.7738163411181254,0.0254917188191929,0.5718043841391771,0.0251739278830951,No
41,North Coil,2026-04-16 13:02 UTC,,0.5337825099802372,0.0372128179576089,0.669937641303996,0.0264907105268319,0.4265745244553645,0.0478609934770129,0.7584051684987604,0.0263481307443346,0.5681141718270895,0.0254486840770066,No
42,JacksonBurns,2026-04-16 13:28 UTC,https://github.com/JacksonBurns/openadmet_pxr/tree/5727d683b58c63849890d6feca34a7acef57b860,0.5338092345096739,0.0331411846430018,0.6702261277638267,0.024579080952719,0.482641447957799,0.0341734592789846,0.7938185781590162,0.0251947837103365,0.597023438307316,0.0248262417690832,No
43,paracelsus,2026-04-16 08:27 UTC,,0.5369938851785772,0.0385840064436959,0.6741342342713911,0.0328103497351499,0.4115850251934342,0.0581083295333157,0.7433454493371694,0.0324258539709677,0.5534877691521786,0.0292189892802993,No
