cluster_rep,member,member_gain
mordred.SMR_VSA5,rdkit.SMR_VSA5,115.14516843482852
rdkit.qed,rdkit.qed,232.48410786930472
mordred.Xc-3dv,mordred.Xc-3dv,227.06384040787816
mordred.MAXdCH2,mordred.MAXdCH2,220.93514894992117
mordred.MAXdCH2,mordred.MINdCH2,80.0580731511116
mordred.ETA_eta,mordred.ETA_eta,206.07211178280411
mordred.VSA_EState1,mordred.VSA_EState1,194.58360329307612
d3_usrcat.43,d3_usrcat.43,192.7406816639006
d3_usrcat.48,d3_usrcat.48,190.17831089813265
d3_usrcat.48,d3_usrcat.51,99.01379019562155
d3_mordred3d.PNSA1,d3_mordred3d.PNSA1,188.47971693025903
d3_rdf.181,d3_rdf.181,186.85357916243373
d3_mordred3d.FPSA4,d3_mordred3d.FPSA4,177.43202523812653
d3_mordred3d.FPSA4,d3_mordred3d.FPSA5,71.23238511439413
mordred.MAXaaaC,mordred.MAXaaaC,174.17264330554752
mordred.MAXaaaC,mordred.SaaaC,81.42786721102894
mordred.Xc-5dv,mordred.Xc-5dv,172.69960992746056
mordred.Xc-6d,mordred.Xc-6d,170.8592472460121
mordred.BCUTd-1h,mordred.BCUTd-1h,170.59865895900876
mordred.ATS7m,mordred.ATS7m,168.48285593800247
mordred.ATS7m,mordred.ATS7p,105.14729284867644
mordred.TopoPSA(NO),mordred.TopoPSA(NO),167.0850729212165
mordred.TopoPSA(NO),mordred.TopoPSA,67.83585784388706
mordred.MINdssC,mordred.MINdssC,162.7981893358752
mordred.GATS1se,mordred.GATS1se,157.69222503826023
mordred.GATS1se,mordred.GATS1pe,59.06708205435425
d3_usrcat.16,d3_usrcat.16,157.2831662052311
d3_scalar.spherocity_index,d3_scalar.spherocity_index,155.04051816444843
d3_usr.4,d3_usr.4,154.93741359561682
d3_usr.4,d3_usrcat.4,63.17783548124135
d3_electroshape.7,d3_electroshape.7,153.41291019339116
d3_electroshape.7,d3_electroshape.4,110.5407483033836
mordred.nC,mordred.nC,144.22056276835502
mordred.nC,d3_getaway.93,69.59426344800741
d3_getaway.86,d3_getaway.86,141.7949576444924
mordred.VSA_EState2,mordred.VSA_EState2,141.46623355615884
mordred.BCUTd-1l,mordred.BCUTd-1l,140.37821900080888
d3_usrcat.55,d3_usrcat.55,134.2031318448484
d3_whim.66,d3_whim.66,132.6664462272078
d3_whim.66,d3_whim.33,104.3755702290684
d3_whim.66,d3_whim.11,80.99694228395819
d3_whim.66,d3_whim.55,73.28450866155326
d3_whim.66,d3_whim.0,54.97817388884723
d3_getaway.151,d3_getaway.151,129.9314718078822
d3_getaway.151,d3_getaway.187,62.021814942732455
d3_rdf.54,d3_rdf.54,126.57513083070516
mordred.PEOE_VSA6,mordred.PEOE_VSA6,126.27230093032122
mordred.MID_N,mordred.MID_N,123.69534147977828
d3_getaway.85,d3_getaway.85,120.2924450777471
rdkit.BCUT2D_LOGPHI,rdkit.BCUT2D_LOGPHI,115.55953374709934
d3_usrcat.13,d3_usrcat.13,115.18614415396004
mordred.GATS7s,mordred.GATS7s,114.31125466264784
jazzy_pose.dgtot,jazzy_pose.dgtot,113.1139167940244
mordred.PEOE_VSA2,mordred.PEOE_VSA2,110.68736381623894
d3_rdf.117,d3_rdf.117,108.78598151728512
d3_rdf.117,d3_rdf.57,57.43678976744413
boltz_tier1.pde_intra_ligand_max,boltz_tier1.pde_intra_ligand_max,102.02039137445392
boltz_tier1.pde_intra_ligand_max,boltz_tier1.pde_intra_ligand_std,56.3705944865942
mordred.ATSC1se,mordred.ATSC1se,101.5565763477236
rdkit.fr_piperzine,rdkit.fr_piperzine,97.6540993321687
d3_getaway.223,d3_getaway.223,94.90340743195266
mordred.AETA_beta_s,mordred.AETA_beta_s,94.09096943475306
jazzy_self.sa,jazzy_self.sa,93.50560952033848
jazzy_self.sa,jazzy_pose.sa,58.28788077775389
mordred.SsssN,mordred.SsssN,91.489549748227
d3_morse.204,d3_morse.204,88.64585308972747
mordred.Xpc-5d,mordred.Xpc-5d,88.48196762837469
mordred.Xpc-5d,mordred.GGI3,77.20583121087402
mordred.EState_VSA8,mordred.EState_VSA8,87.42687380556018
mordred.MATS1se,mordred.MATS1se,87.38574082385749
d3_mordred3d.RPCS,d3_mordred3d.RPCS,85.81483936198056
d3_getaway.169,d3_getaway.169,85.6525873279199
d3_getaway.154,d3_getaway.154,84.95637861527503
d3_getaway.89,d3_getaway.89,84.62769997622817
d3_usrcat.29,d3_usrcat.29,84.42394935553894
mordred.IC2,mordred.IC2,83.71423243861645
boltz_tier0.iptm,boltz_tier0.iptm,82.53512517549098
rdkit.MaxAbsEStateIndex,rdkit.MaxAbsEStateIndex,82.00973271243274
mordred.AATSC0p,mordred.AATSC0p,81.24893850758671
mordred.PEOE_VSA10,mordred.PEOE_VSA10,80.38140915557742
mordred.JGI3,mordred.JGI3,79.2494015051052
mordred.MAXsssN,mordred.MAXsssN,79.16222019512206
mordred.ATSC0p,mordred.ATSC0p,78.5201788325794
d3_morse.135,d3_morse.135,78.0712051063776
mordred.ZMIC2,mordred.ZMIC2,75.39604591578245
mordred.ATS4p,mordred.ATS4p,73.97584315240383
mordred.ATS4p,mordred.ATS6p,73.41049314923585
d3_getaway.141,d3_getaway.141,73.92803827747703
mordred.ATSC5d,mordred.ATSC5d,73.38847862631083
d3_morse.12,d3_morse.12,72.79339339975267
d3_morse.12,d3_morse.108,54.65939223561436
mordred.PEOE_VSA8,mordred.PEOE_VSA8,71.92667451482266
d3_rdf.188,d3_rdf.188,71.32604326941073
d3_usrcat.14,d3_usrcat.14,71.19498951658606
mordred.GATS5c,mordred.GATS5c,69.3184348564595
mordred.AMID_N,mordred.AMID_N,68.69859602116048
mordred.MINaaCH,mordred.MINaaCH,68.25019209608436
mordred.MATS3d,mordred.MATS3d,68.17416476309299
mordred.SlogP_VSA5,mordred.SlogP_VSA5,67.6168643226847
mordred.MAXdssC,mordred.MAXdssC,66.13676774967462
mordred.AATS6s,mordred.AATS6s,65.97021764013917
d3_whim.78,d3_whim.78,65.38872974906117
d3_whim.78,d3_usr.3,57.49112471807748
mordred.Xp-2dv,mordred.Xp-2dv,64.34042559042572
mordred.Xp-2dv,rdkit.Chi2v,54.66942497491837
mordred.AATS5s,mordred.AATS5s,64.27988064046949
d3_mordred3d.TPSA,d3_mordred3d.TPSA,64.18786245323717
mordred.AATSC3dv,mordred.AATSC3dv,63.60271261464804
d3_getaway.186,d3_getaway.186,62.835326976329085
mordred.GATS1d,mordred.GATS1d,62.00686090663076
d3_mordred3d.RASA,d3_mordred3d.RASA,61.846395851671694
mordred.MATS1i,mordred.MATS1i,61.352162062563
mordred.GATS6s,mordred.GATS6s,61.21665935628116
d3_electroshape.2,d3_electroshape.2,60.99329091329128
mordred.JGI7,mordred.JGI7,60.77455779183656
d3_rdf.190,d3_rdf.190,60.76109852809459
d3_autocorr3d.14,d3_autocorr3d.14,60.66052299961448
d3_usr.5,d3_usr.5,59.99164964305237
rdkit.SMR_VSA10,rdkit.SMR_VSA10,59.4875475615263
d3_mordred3d.RNCS,d3_mordred3d.RNCS,59.47537157218903
d3_rdf.58,d3_rdf.58,59.43268327713013
d3_usr.9,d3_usr.9,59.33993981797248
d3_getaway.217,d3_getaway.217,58.8208039438352
d3_mordred3d.TASA,d3_mordred3d.TASA,58.25871010012925
mordred.AATSC0v,mordred.AATSC0v,58.1302543355152
d3_whim.57,d3_whim.57,58.081225564330815
d3_getaway.126,d3_getaway.126,57.868004312366246
mordred.MINssCH2,mordred.MINssCH2,57.61191477831453
mordred.GATS4s,mordred.GATS4s,57.34747675079852
d3_autocorr3d.15,d3_autocorr3d.15,56.91764850616456
boltz_tier1.pae_pocket_ligand_mean,boltz_tier1.pae_pocket_ligand_mean,56.78562786951661
d3_autocorr3d.35,d3_autocorr3d.35,56.60387502424419
d3_getaway.62,d3_getaway.62,56.56921151988208
d3_autocorr3d.47,d3_autocorr3d.47,56.07840127646923
d3_usr.7,d3_usr.7,55.93112820191309
mordred.piPC10,mordred.piPC10,55.01719486489892
mordred.MAXaaNH,mordred.MAXaaNH,54.96838128622621
rdkit.FpDensityMorgan3,rdkit.FpDensityMorgan3,54.78765399698168
d3_getaway.270,d3_getaway.270,54.41921436153352
mordred.ETA_shape_x,mordred.ETA_shape_x,54.367752007208765
