feature,family,gain_mean,gain_std,nonzero_folds,rank,gain_share_pct
mordred.ATS7m,mordred,168.48285593800247,99.19028159376631,5,50,0.18403257808770263
mordred.TopoPSA(NO),mordred,167.0850729212165,98.21869523405236,5,51,0.18250579003111256
mordred.MINdssC,mordred,162.7981893358752,53.22032198286739,5,52,0.17782325878020286
boltz_tier1.pae_protein_ligand_min,boltz_tier1,158.29497614726424,15.657714457573869,5,53,0.1729044323027862
mordred.VE3_Dzm,mordred,158.281005859375,316.56201171875,1,54,0.1728891726605955
mordred.GATS1se,mordred,157.69222503826023,93.48801401028196,5,55,0.1722460517220579
d3_usrcat.16,d3_usrcat,157.2831662052311,56.52934196844798,5,56,0.1717992397825713
mordred.ATS6Z,mordred,156.87293389588595,191.06931299520727,5,57,0.17135114606357926
d3_scalar.spherocity_index,d3_scalar,155.04051816444843,86.85945476737166,5,58,0.1693496119056528
d3_usr.4,d3_usr,154.93741359561682,80.30582616628118,5,59,0.16923699154728422
d3_electroshape.7,d3_electroshape,153.41291019339116,149.90059985912177,5,60,0.16757178775041662
mordred.VE3_DzZ,mordred,152.2832536816597,304.1210812543267,2,61,0.16633787229326172
mordred.ATS2v,mordred,146.1787543643266,169.80943379175713,5,62,0.15966997281441608
mordred.nC,mordred,144.22056276835502,104.8589236606597,5,63,0.15753105460941527
d3_getaway.86,d3_getaway,141.7949576444924,116.53488795493594,5,64,0.15488158406309785
mordred.VSA_EState2,mordred,141.46623355615884,62.23408195859004,5,65,0.1545225211713944
mordred.BCUTd-1l,mordred,140.37821900080888,40.832554014003286,5,66,0.15333409091537073
mordred.ATS7v,mordred,138.11966112274678,143.45347406273822,5,67,0.1508670848408001
d3_usrcat.55,d3_usrcat,134.2031318448484,67.37417812774622,5,68,0.1465890888621895
d3_whim.66,d3_whim,132.66644622720779,89.44649941377897,5,69,0.1449105785214771
d3_getaway.151,d3_getaway,129.9314718078822,36.836997201685044,5,70,0.1419231861806349
d3_rdf.54,d3_rdf,126.57513083070516,90.27742697317947,5,71,0.13825707974189683
mordred.PEOE_VSA6,mordred,126.27230093032122,21.954982715218787,5,72,0.1379263008802766
boltz_tier1.pae_pocket_ligand_min,boltz_tier1,124.60409883446991,68.23553372950374,5,73,0.13610413606260638
mordred.MID_N,mordred,123.69534147977829,49.44628444667977,5,74,0.1351115071217627
d3_getaway.85,d3_getaway,120.2924450777471,58.89380785693042,5,75,0.1313945485366019
rdkit.BCUT2D_LOGPHI,rdkit,115.55953374709934,58.895432485148184,5,76,0.12622482447660546
mordred.VR3_Dzare,mordred,115.24639892578125,230.4927978515625,1,77,0.12588278962602453
d3_usrcat.13,d3_usrcat,115.18614415396004,35.34411730697124,5,78,0.12581697378417758
rdkit.SMR_VSA5,rdkit,115.14516843482852,52.12899573659584,5,79,0.12577221630906957
mordred.GATS7s,mordred,114.31125466264784,25.53231908820068,5,80,0.12486133846014633
jazzy_pose.dgtot,jazzy_pose,113.1139167940244,41.03001270825959,5,81,0.1235534951571702
mordred.VR3_Dzi,mordred,110.735400390625,221.47080078125,1,82,0.12095545927212707
mordred.PEOE_VSA2,mordred,110.68736381623894,64.04944314793697,5,83,0.12090298927701956
d3_electroshape.4,d3_electroshape,110.5407483033836,66.08539874928117,5,84,0.12074284223613399
boltz_tier0.affinity_pred_value_1,boltz_tier0,109.79721956839785,42.52638205659282,5,85,0.11993069129519751
d3_rdf.117,d3_rdf,108.78598151728511,157.7546324475179,5,86,0.11882612344720743
mordred.VR1_Dzp,mordred,108.4441756721586,212.33751501617533,3,87,0.11845277144926156
mordred.ATS7p,mordred,105.14729284867644,30.9326809877597,5,88,0.11485161071227983
d3_whim.33,d3_whim,104.3755702290684,40.189411005898826,5,89,0.1140086637995843
mordred.MAXdO,mordred,103.79434199184179,50.68243234109686,5,90,0.11337379249259777
boltz_tier1.pde_intra_ligand_max,boltz_tier1,102.02039137445391,46.05411874698114,5,91,0.11143611934656389
mordred.ATSC1se,mordred,101.5565763477236,62.33122852593278,5,92,0.11092949762146444
mordred.VE3_Dzse,mordred,99.21070022583008,97.048729865849,3,93,0.10836711447462775
d3_usrcat.51,d3_usrcat,99.01379019562155,40.80571340749601,5,94,0.10815203110422277
rdkit.fr_piperzine,rdkit,97.6540993321687,69.83583084355939,5,95,0.1066668508251349
mordred.MINdsCH,mordred,97.6229694839567,35.80036691690687,5,96,0.10663284792204997
mordred.ATS5Z,mordred,95.01629078164697,32.812186092039525,5,97,0.10378559204452088
d3_getaway.223,d3_getaway,94.90340743195266,124.5038526306581,5,98,0.10366229039610234
mordred.AETA_beta_s,mordred,94.09096943475306,36.466541378622175,5,99,0.10277487037743842
jazzy_self.sa,jazzy_self,93.50560952033848,38.361150496970865,5,100,0.1021354860700015
mordred.SsssN,mordred,91.489549748227,34.253867570049664,5,101,0.09993335888397431
d3_morse.204,d3_morse,88.64585308972747,41.059211017128185,5,102,0.09682721004497534
mordred.Xpc-5d,mordred,88.48196762837469,66.52387774178442,5,103,0.09664819916700837
mordred.EState_VSA8,mordred,87.42687380556018,64.65845119753654,5,104,0.09549572798377762
mordred.MATS1se,mordred,87.38574082385749,53.07761585510079,5,105,0.09545079873192565
d3_mordred3d.RPCS,d3_mordred3d,85.81483936198056,36.44977277746416,5,106,0.09373491467748314
d3_getaway.169,d3_getaway,85.6525873279199,56.37754278876287,5,107,0.09355768798007279
d3_getaway.154,d3_getaway,84.95637861527503,59.62566182258796,5,108,0.09279722434974173
d3_getaway.89,d3_getaway,84.62769997622817,29.05963106542256,5,109,0.09243821110195818
d3_usrcat.29,d3_usrcat,84.42394935553894,29.47846740958913,5,110,0.09221565580513791
mordred.IC2,mordred,83.71423243861645,24.52693230131408,5,111,0.09144043726312932
boltz_tier0.iptm,boltz_tier0,82.53512517549098,47.950591515328895,5,112,0.09015250711577495
rdkit.MaxAbsEStateIndex,rdkit,82.00973271243274,66.17268164134408,5,113,0.08957862481216516
mordred.Xpc-4dv,mordred,81.59329924993217,69.03102412827837,5,114,0.08912375761942143
mordred.SaaaC,mordred,81.42786721102894,61.795897996536645,5,115,0.08894305742622866
mordred.AATSC0p,mordred,81.24893850758671,42.29059017041362,5,116,0.08874761492612954
d3_whim.11,d3_whim,80.99694228395819,96.63579291791072,5,117,0.08847236131385823
mordred.PEOE_VSA10,mordred,80.38140915557742,53.55434547855949,5,118,0.08780001902785148
mordred.MINdCH2,mordred,80.0580731511116,28.534954555994705,5,119,0.08744684150032714
mordred.JGI3,mordred,79.2494015051052,41.663737789928945,5,120,0.08656353543923007
mordred.MAXsssN,mordred,79.16222019512206,28.23145665090801,5,121,0.08646830793879427
mordred.ATSC0p,mordred,78.5201788325794,50.08494272993709,5,122,0.08576701090456579
d3_morse.135,d3_morse,78.0712051063776,107.56471600019366,5,123,0.08527660022232425
mordred.GGI3,mordred,77.20583121087402,49.10214981302078,5,124,0.08433135871325388
mordred.ZMIC2,mordred,75.39604591578245,36.49569842343101,5,125,0.08235454361366017
mordred.AETA_eta_R,mordred,74.44493335932493,99.19973434107791,5,126,0.0813156503990243
mordred.ATS4p,mordred,73.97584315240383,54.358840120863505,5,127,0.08080326663359744
d3_getaway.141,d3_getaway,73.92803827747703,15.073827134146462,5,128,0.0807510497220965
mordred.ATS6p,mordred,73.41049314923585,104.32137105928955,5,129,0.08018573900429858
mordred.ATSC5d,mordred,73.38847862631083,20.152854399978995,5,130,0.08016169270364261
d3_whim.55,d3_whim,73.28450866155326,67.32207104431333,4,131,0.08004812707970124
d3_morse.12,d3_morse,72.79339339975267,97.87425463349803,5,132,0.07951168550964241
mordred.PEOE_VSA8,mordred,71.92667451482266,24.800425411478813,5,133,0.07856497487856394
mordred.ETA_eta_R,mordred,71.46538389790803,136.40242424755226,5,134,0.07806111054764528
d3_rdf.188,d3_rdf,71.32604326941073,10.875952772262767,5,135,0.07790890980916686
d3_mordred3d.FPSA5,d3_mordred3d,71.23238511439413,8.625445069765835,5,136,0.07780660769877892
d3_usrcat.14,d3_usrcat,71.19498951658606,25.185282634359968,5,137,0.07776576076372767
boltz_tier1.pde_pocket_ligand_mean,boltz_tier1,70.14068539142609,46.34595593256083,5,138,0.0766141521614074
d3_getaway.93,d3_getaway,69.59426344800741,87.13786384035237,5,139,0.07601729951185333
mordred.GATS5c,mordred,69.3184348564595,44.89399689399983,5,140,0.07571601398027653
mordred.VR1_Dzm,mordred,69.15811767578126,138.3162353515625,1,141,0.07554090070891302
mordred.AMID_N,mordred,68.69859602116048,20.65563358953091,5,142,0.07503896860243148
mordred.MPC3,mordred,68.69330731630325,133.6195049547228,4,143,0.07503319178921092
mordred.MINaaCH,mordred,68.25019209608436,30.96079616558403,5,144,0.07454918030974746
mordred.MATS3d,mordred,68.17416476309299,14.935629809627924,5,145,0.07446613621592771
mordred.TopoPSA,mordred,67.83585784388706,21.98121976647239,5,146,0.07409660606890024
mordred.SlogP_VSA5,mordred,67.6168643226847,47.53737957046571,5,147,0.07385740106452755
rdkit.Kappa1,rdkit,66.88592140711845,93.35080370544293,5,148,0.0730589975211065
mordred.Xp-4d,mordred,66.57900757081806,86.5386580259683,5,149,0.07272375780647387
mordred.MAXdssC,mordred,66.13676774967462,17.608100168345526,5,150,0.07224070251894942
mordred.AATS6s,mordred,65.97021764013917,40.874219978606725,5,151,0.07205878106547003
d3_whim.78,d3_whim,65.38872974906117,60.286667337165554,5,152,0.07142362614050105
mordred.Xp-2dv,mordred,64.34042559042572,24.545978813934994,5,153,0.07027857125726275
mordred.AATS5s,mordred,64.27988064046949,25.678195140427405,5,154,0.07021243845598393
d3_mordred3d.TPSA,d3_mordred3d,64.18786245323717,28.820741675126754,5,155,0.07011192767028386
mordred.AATSC3dv,mordred,63.60271261464804,36.0760108810516,5,156,0.06947277282711818
d3_usrcat.4,d3_usrcat,63.177835481241345,29.63523947343059,5,157,0.06900868267506069
d3_getaway.186,d3_getaway,62.835326976329085,18.68414627838174,5,158,0.06863456316702504
d3_getaway.187,d3_getaway,62.021814942732455,46.98470426399864,5,159,0.0677459699863441
mordred.GATS1d,mordred,62.006860906630756,31.21002911138703,5,160,0.06772963580325293
mordred.ATS5m,mordred,61.90202993750572,25.164103731645596,5,161,0.06761512971060568
d3_mordred3d.RASA,d3_mordred3d,61.846395851671694,31.50539501439334,5,162,0.06755436100990561
mordred.MATS1i,mordred,61.352162062563,26.157146853661665,5,163,0.06701451309552081
mordred.GATS6s,mordred,61.21665935628116,28.12995974090282,5,164,0.06686650449110776
d3_electroshape.2,d3_electroshape,60.993290913291276,19.794684916276164,5,165,0.0666225207920067
mordred.JGI7,mordred,60.77455779183656,26.12145428383268,5,166,0.06638360022035343
d3_rdf.190,d3_rdf,60.76109852809459,29.164156728533026,5,167,0.06636889876606121
d3_autocorr3d.14,d3_autocorr3d,60.66052299961448,28.90538366385721,5,168,0.06625904085977347
d3_usr.5,d3_usr,59.99164964305237,13.882708789390023,5,169,0.06552843543682411
mordred.ATS4m,mordred,59.90183785259724,18.505950217238734,5,170,0.06543033468201372
rdkit.SMR_VSA10,rdkit,59.4875475615263,7.772329193909619,5,171,0.06497780845957986
d3_mordred3d.RNCS,d3_mordred3d,59.47537157218903,19.330641208879324,5,172,0.06496450871643372
d3_rdf.58,d3_rdf,59.432683277130124,100.12956166835235,3,173,0.06491788060729986
d3_usr.9,d3_usr,59.33993981797248,30.02483000278815,5,174,0.0648165776124371
mordred.GATS1pe,mordred,59.06708205435425,33.96146952549133,5,175,0.064518537094247
d3_getaway.217,d3_getaway,58.8208039438352,35.22698498323178,5,176,0.06424952933465593
jazzy_pose.sa,jazzy_pose,58.28788077775389,46.91548131542459,5,177,0.06366742129980225
d3_mordred3d.TASA,d3_mordred3d,58.25871010012925,38.77176983712769,5,178,0.06363555838426738
mordred.AATSC0v,mordred,58.130254335515204,11.835518770416812,5,179,0.0634952471021459
d3_whim.57,d3_whim,58.081225564330815,42.4312719130265,5,180,0.06344169333781005
d3_getaway.126,d3_getaway,57.868004312366246,42.677541423624845,5,181,0.06320879334045622
mordred.MINssCH2,mordred,57.61191477831453,23.133123405306257,5,182,0.06292906863546807
d3_usr.3,d3_usr,57.49112471807748,76.76060505566406,5,183,0.06279713054557141
d3_rdf.57,d3_rdf,57.43678976744413,82.45680355996456,4,184,0.06273778088064763
mordred.GATS4s,mordred,57.34747675079852,23.25119764459277,5,185,0.06264022493278236
d3_autocorr3d.15,d3_autocorr3d,56.917648506164554,54.62229886672007,4,186,0.06217072671853076
boltz_tier1.pae_pocket_ligand_mean,boltz_tier1,56.78562786951661,27.869850917307904,5,187,0.062026521553038776
d3_autocorr3d.35,d3_autocorr3d,56.60387502424419,16.09566914057633,5,188,0.06182799426369507
d3_getaway.62,d3_getaway,56.56921151988208,22.945268761330023,5,189,0.061790131574118744
boltz_tier1.pde_intra_ligand_std,boltz_tier1,56.3705944865942,36.20701942163182,5,190,0.06157318365686864
d3_autocorr3d.47,d3_autocorr3d,56.07840127646923,37.630765925723935,5,191,0.06125402317339008
d3_usr.7,d3_usr,55.93112820191309,59.39929236188976,5,192,0.061093157882719545
mordred.piPC10,mordred,55.01719486489892,23.53137830610369,5,193,0.06009487525464666
d3_whim.0,d3_whim,54.97817388884723,89.08395721971176,5,194,0.060052252930954966
mordred.MAXaaNH,mordred,54.96838128622621,16.715403956271413,5,195,0.060041556543500574
rdkit.FpDensityMorgan3,rdkit,54.78765399698168,14.399314713765975,5,196,0.05984414946142505
rdkit.Chi2v,rdkit,54.669424974918364,66.37972986275724,5,197,0.05971500877459394
d3_morse.108,d3_morse,54.65939223561436,31.368970810901335,5,198,0.05970405008761587
d3_getaway.270,d3_getaway,54.41921436153352,16.37461745098616,5,199,0.059441705571192265
mordred.ETA_shape_x,mordred,54.367752007208765,46.39320373760688,5,200,0.05938549362198165
mordred.AXp-3d,mordred,54.015724915266034,15.103327751766725,5,201,0.05900097703169559
rdkit.BCUT2D_CHGLO,rdkit,53.85910376217216,20.349346198545593,5,202,0.05882990090394084
rdkit.TPSA,rdkit,52.70420733783394,13.786500809868475,5,203,0.05756841607682324
mordred.ATS4v,mordred,52.508111843280496,40.40866365428422,5,204,0.05735422241769311
mordred.ATSC2dv,mordred,52.102706663124266,7.33199251736223,5,205,0.05691140133623119
rdkit.FpDensityMorgan2,rdkit,51.976030899584295,18.0619064737136,5,206,0.05677303433612485
mordred.GATS3s,mordred,51.83593055009842,16.02537784264842,5,207,0.056620003760026585
mordred.AATSC1i,mordred,51.638663958013055,30.3122488243496,5,208,0.0564045309197193
mordred.GATS8d,mordred,51.607478889264165,14.897973743642895,5,209,0.05637046769965012
d3_autocorr3d.65,d3_autocorr3d,51.2571512369439,21.73655894967114,5,210,0.05598780739470113
mordred.MATS2se,mordred,51.248461205326024,10.249118354718258,5,211,0.05597831533740309
d3_scalar.npr1,d3_scalar,50.84636577386409,41.65222185929459,5,212,0.05553910946997373
d3_usr.2,d3_usr,50.68686432316899,11.927703044380236,5,213,0.0553648872144408
mordred.BCUTs-1l,mordred,50.66092227473855,12.85349455117198,5,214,0.055336550906708186
d3_getaway.0,d3_getaway,50.55346492435783,79.24391798436217,4,215,0.05521917603722999
d3_usr.8,d3_usr,50.37116846125573,18.072665923524042,5,216,0.05502005495814943
mordred.TIC0,mordred,50.320816149562596,31.37743797013384,5,217,0.0549650555002997
d3_getaway.102,d3_getaway,49.814475960657,16.99869871700075,5,218,0.05441198385490927
d3_getaway.205,d3_getaway,49.78626322131604,21.18140501092972,5,219,0.05438116728828041
rdkit.VSA_EState2,rdkit,49.67943879701197,19.454458745046466,5,220,0.054264483759277046
mordred.SsCH3,mordred,49.42899596765638,21.55665085882376,5,221,0.05399092690808711
mordred.BIC2,mordred,49.37719451542944,4.613889013537338,5,222,0.05393434456474459
d3_morse.199,d3_morse,48.89050354864448,39.7538680273428,5,223,0.0534027356194262
mordred.GATS8c,mordred,48.8858615805395,14.447710620400958,5,224,0.05339766523197933
rdkit.MinEStateIndex,rdkit,48.873829658702014,15.923618112151317,5,225,0.05338452285269822
mordred.EState_VSA3,mordred,48.5565418953076,15.366284870767158,5,226,0.05303795177418658
mordred.ETA_dEpsilon_D,mordred,48.4129718080163,22.00675787875672,5,227,0.052881131229132336
d3_mordred3d.DPSA3,d3_mordred3d,48.37120567113161,25.726957116591844,5,228,0.052835510386555436
mordred.ATS6s,mordred,48.27770966682583,14.651127950777127,5,229,0.05273338539219029
mordred.ATSC1i,mordred,48.07695584017783,42.409646491318505,5,230,0.05251410347134846
boltz_tier1.plddt_ligand_max,boltz_tier1,48.06195926778018,12.863073365183977,5,231,0.052497722826175666
d3_autocorr3d.48,d3_autocorr3d,47.95160478539765,36.471545103501434,5,232,0.05237718344082797
mordred.GATS4d,mordred,47.903412997350095,13.366854244643198,5,233,0.05232454390698537
boltz_tier0.confidence_score,boltz_tier0,47.81399544514716,15.529335391768251,5,234,0.05222687377570356
d3_getaway.49,d3_getaway,47.695616126433016,18.46245379183176,5,235,0.05209756892095177
boltz_tier0.ensemble_diff_prob,boltz_tier0,47.56690433789045,22.033609096826744,5,236,0.051956977985785746
d3_electroshape.1,d3_electroshape,47.38638822529465,31.276447450865998,5,237,0.051759801570402574
d3_getaway.128,d3_getaway,47.23548800069839,29.479367618263314,5,238,0.0515949743705557
rdkit.BCUT2D_CHGHI,rdkit,47.134758435189724,17.521744478881203,5,239,0.05148494821076035
d3_morse.11,d3_morse,46.60449046157301,43.50685620530457,5,240,0.05090574042300812
jazzy_self.dgtot,jazzy_self,46.597001735679804,12.794273097171454,5,241,0.050897560543072894
d3_getaway.265,d3_getaway,46.23502897247672,23.30273943993727,5,242,0.05050218036958921
d3_rdf.10,d3_rdf,46.234620943292974,18.905439409233704,5,243,0.05050173468232803
mordred.Xp-0dv,mordred,46.174342745542525,45.57774264289506,5,244,0.0504358932525117
d3_getaway.241,d3_getaway,45.95691943727434,38.87218120586839,5,245,0.05019840338011972
d3_getaway.88,d3_getaway,45.8096378415823,22.291188931746248,5,246,0.05003752878187544
mordred.ATS5s,mordred,45.43124978318811,9.944104869600691,5,247,0.04962421830279911
mordred.ATS5v,mordred,45.36960609238595,54.93445893843277,5,248,0.049556885355016365
d3_autocorr3d.64,d3_autocorr3d,45.30323258265853,12.201967212434141,5,249,0.04948438606098517
d3_getaway.240,d3_getaway,45.30046224202961,18.499259647427497,5,250,0.04948136003839501
d3_whim.42,d3_whim,44.93385017085821,53.84783516166117,5,251,0.049080912383112074
rdkit.Chi4n,rdkit,44.914990639127794,45.09215482723339,5,252,0.04906031225601575
mordred.AATSC4dv,mordred,44.57959084864706,33.105674573521114,5,253,0.048693957544204844
mordred.AATSC5d,mordred,44.473780556209384,16.5761737653733,5,254,0.04857838174394251
d3_usrcat.15,d3_usrcat,44.44421915821731,12.687589646330766,5,255,0.048546092047438545
boltz_tier0.ligand_to_pocket_distance_a,boltz_tier0,44.38087282665074,18.459615715270097,5,256,0.04847689931773503
d3_getaway.150,d3_getaway,44.23201291393489,23.354002617603175,5,257,0.04831430073547282
rdkit.NumUnspecifiedAtomStereoCenters,rdkit,44.114413619786504,22.759120697544088,5,258,0.048185847895788135
mordred.MATS3dv,mordred,44.099672342836854,21.512366698823424,5,259,0.04816974610794601
mordred.RPCG,mordred,44.02551314383745,16.51938527313899,5,260,0.04808874256307614
mordred.AATS7s,mordred,43.889805438928306,26.445422075285524,5,261,0.047940510040177874
mordred.GATS5Z,mordred,43.877205999568105,13.131667431116737,5,262,0.047926747765701876
d3_morse.209,d3_morse,43.5787698822096,26.141791319024644,5,263,0.04760076820080075
mordred.GGI4,mordred,43.21548192128539,23.049400892308967,5,264,0.04720395144656844
d3_morse.7,d3_morse,43.12221343200654,56.735365699017045,5,265,0.04710207496518539
d3_usrcat.33,d3_usrcat,43.02745141182095,19.70244133572667,5,266,0.046998567111033326
rdkit.BCUT2D_MWHI,rdkit,43.01371098309755,22.20680532950852,5,267,0.0469835585423103
d3_usrcat.12,d3_usrcat,42.91427120156586,16.995042415058503,5,268,0.046874941204018694
mordred.MINaaNH,mordred,42.91014932654798,19.784590722191684,5,269,0.046870438910406244
d3_autocorr3d.46,d3_autocorr3d,42.90885039307177,22.261658259267787,5,270,0.046869020094972125
mordred.ATSC3dv,mordred,42.86543394215405,13.834496207038075,5,271,0.04682159662657634
d3_getaway.261,d3_getaway,42.81256745234132,31.22179904950634,5,272,0.04676385095055181
d3_usrcat.57,d3_usrcat,42.52679050080478,17.068776906070273,5,273,0.046451698898899337
mordred.AETA_eta,mordred,42.29889803603292,23.31888354913643,5,274,0.04620277364424816
boltz_tier1.pae_protein_ligand_max,boltz_tier1,42.279798805899915,36.95260439185771,5,275,0.046181911696358574
mordred.GATS5d,mordred,42.035305321402845,21.13329120894703,5,276,0.045914853270579044
rdkit.VSA_EState1,rdkit,41.826222020573915,24.65510098386069,5,277,0.04568647312666224
mordred.CIC2,mordred,41.73161265477538,21.92621887348104,5,278,0.045583132015768725
d3_electroshape.5,d3_electroshape,41.7238930394873,15.618529933651685,5,279,0.045574699937054236
d3_morse.149,d3_morse,41.71143637262285,24.809747283486626,5,280,0.045561093611919956
d3_getaway.189,d3_getaway,41.6549521477893,30.920848922500195,5,281,0.04549939631067508
d3_whim.47,d3_whim,41.647701852954924,52.25581407849116,5,282,0.04549147686722288
mordred.MATS4s,mordred,41.62714451514184,13.568336301002931,5,283,0.045469022239092924
d3_morse.3,d3_morse,41.47154799234122,19.51239473665755,5,284,0.04529906530743326
mordred.Xpc-6d,mordred,41.433371641114356,19.282093636761825,5,285,0.04525736556119411
mordred.BCUTare-1h,mordred,41.37130424119532,24.211173256612373,5,286,0.04518956979907512
d3_mordred3d.FNSA2,d3_mordred3d,41.36587998773903,29.375235789671677,5,287,0.0451836449271218
mordred.Xc-5d,mordred,41.26621111398563,25.21388296013648,5,288,0.0450747773530899
d3_usr.1,d3_usr,41.17124113999307,23.412504545102582,5,289,0.04497104235253172
d3_usrcat.28,d3_usrcat,41.09934724234044,14.7513654805298,5,290,0.04489251317957744
d3_mordred3d.GeomDiameter,d3_mordred3d,41.059519093483686,12.567371947566452,5,291,0.04484900918699753
d3_morse.194,d3_morse,41.05023165568709,24.81343550486849,5,292,0.044838864587346594
d3_usrcat.50,d3_usrcat,40.79112498294562,22.69994174296799,5,293,0.044555844284070834
mordred.AATSC2Z,mordred,40.746489856764676,27.86155107830522,5,294,0.04450708966569369
d3_morse.133,d3_morse,40.55675936359912,19.602806445090128,5,295,0.04429984845052841
d3_whim.35,d3_whim,40.352011762559414,46.952097700945004,5,296,0.04407620415944116
mordred.ATS0p,mordred,40.27029646411538,44.236589788492445,5,297,0.043986947143003864
mordred.MINaaaC,mordred,40.181518079154195,24.37125338983648,5,298,0.043889975169375386
d3_morse.67,d3_morse,40.10815570419654,17.67259441695165,5,299,0.043809841989516055
d3_morse.49,d3_morse,40.03950495645404,16.947280366724225,5,300,0.0437348552852347
mordred.MAXaaCH,mordred,39.933040054515004,11.634641683031111,5,301,0.04361856445985301
d3_getaway.222,d3_getaway,39.870603542588654,15.838074509017039,5,302,0.04355036551941697
