rank,username,Submitted,model_report_link,MAE,MAE std,RAE,RAE std,R2,R2 std,Spearman ρ,Spearman ρ std,Kendall's τ,Kendall's τ std,Proprietary Data
68,jp,2026-05-11 03:50 UTC,,0.4966606466913412,0.0358024755995048,0.6234317479199112,0.0291664502098139,0.4838715641226858,0.0470108968811912,0.7969643247843111,0.0231919389977446,0.5945594486611261,0.0235747328187025,No
69,zipper,2026-04-29 00:58 UTC,,0.4968133170019763,0.033266878152786,0.6235639164577117,0.0222314142373181,0.5229049088528966,0.0307164599787269,0.8118346400195358,0.0207392606345501,0.6093810654795467,0.0218824274109941,No
70,legitimus,2026-05-13 02:10 UTC,,0.4984781728443704,0.0364623047344124,0.6256881094227523,0.0297121418590696,0.4730515333186871,0.0542374490698224,0.7738447361583983,0.0261090204379832,0.5762042037262598,0.0256116099136982,No
71,DMakarov,2026-04-08 13:52 UTC,,0.4990550316205534,0.0352792809167368,0.6263753137983503,0.0264661072571277,0.4888716651859076,0.0464305099761723,0.785569712604825,0.023658361193637,0.5859176189335912,0.0236771577479814,No
72,TangerineTrees,2026-05-02 20:30 UTC,,0.4993417085944664,0.0299786699705639,0.6273048938013221,0.0295065020239177,0.5515680703119831,0.03663355012287,0.7853992376900152,0.0253421980092817,0.5836794861264083,0.0241165361115254,No
73,adlvdl,2026-04-30 18:07 UTC,https://github.com/adlvdl/pxr_challenge/tree/main,0.5033091006365613,0.036588239938504,0.6317050408914544,0.0286098175278213,0.4624871440131622,0.0504191981340792,0.769786057928211,0.0279578594703105,0.5760885233859856,0.0267929175392709,No
74,pxr3-v7,2026-05-14 03:40 UTC,,0.504478299512499,0.0340186470469772,0.6334322045584507,0.0291856034129669,0.4966197006290569,0.0425463928353543,0.7767119139646348,0.0261680461847889,0.5777643278438336,0.0256238058250278,No
75,chemical,2026-05-07 22:51 UTC,,0.504473545081423,0.0355812243302122,0.6334639299737542,0.0327303612708564,0.4682639008192196,0.0585652902612166,0.7519392396012385,0.0303354425312079,0.557145602957154,0.0278844809747636,No
76,Queimo,2026-04-27 14:01 UTC,,0.5050835351932806,0.0341211571098772,0.634275805421159,0.0312410941842832,0.4922430234614419,0.0456277407408165,0.7703030422029724,0.0261330924332922,0.5685645980015135,0.0251471944373999,No
77,MashUp,2026-05-07 11:13 UTC,,0.5055030744699605,0.0347975452107423,0.6346671075670267,0.0295649362890443,0.479343483195157,0.0459515262207727,0.7623444787410124,0.0277426844043099,0.562822961099219,0.0261614406568179,No
78,stacking stack,2026-05-11 04:45 UTC,,0.5066306304699605,0.0345590847455183,0.636081015357749,0.0289339926270823,0.49165445358765,0.0443061337395749,0.777565166793986,0.0265004146886785,0.5774277809776592,0.0257668834110409,No
79,united_airlines,2026-05-03 06:49 UTC,,0.5064095833389551,0.0339467148545535,0.6363747675307425,0.0387002288947958,0.505928679602855,0.0551818298992927,0.7940797092014574,0.0255961520429972,0.5995821587793536,0.0250425455019346,No
80,pxr3-v6,2026-05-13 01:51 UTC,,0.5071004654811814,0.0339649111253093,0.6367468759262042,0.029400149085607,0.4938970793495886,0.0426226754534423,0.7765329448950992,0.0259149539568585,0.5769145213520481,0.0254654768196759,No
81,rasayan-labs,2026-04-30 03:28 UTC,subU_TTA5x_jeremy_GBM_blend_with_subD,0.5074876923134165,0.0350655664436368,0.6369143553778291,0.0240258157971584,0.4751512360353816,0.0409182233077416,0.8011577145171033,0.0223056210387739,0.5990655326819145,0.023012798682314,No
82,pampus,2026-05-16 09:56 UTC,,0.507936997279842,0.0350214822844268,0.6375697350902884,0.0261738181302553,0.4757807090855443,0.0411389995744456,0.7579452280032033,0.028183946837696,0.5553692367337302,0.027197797410676,No
83,"What's Up, Doc?",2026-05-16 06:29 UTC,,0.5080654856869166,0.032353464979508,0.6379471494210843,0.0260795200849968,0.5151418759012558,0.0384975381361781,0.7913566948193385,0.0243176031761357,0.5925112287632276,0.023720175470292,No
84,pxr3-v5,2026-05-13 01:31 UTC,,0.508748578177243,0.0339853904672195,0.6389034211955394,0.0311687962051582,0.4901621621668494,0.044414692501227,0.7697914681559039,0.0264564220323784,0.5686868225325898,0.0256373026987318,No
85,pxr3-v4,2026-05-12 18:13 UTC,,0.509074775141411,0.0334102080549789,0.6393379825166974,0.0307050491420428,0.4966235359411732,0.0420238450615732,0.7694779099482112,0.0268158813882249,0.5688248093695483,0.0259418747003911,No
86,leeherman99,2026-04-29 21:09 UTC,autogluon_dynamic_MAPE_zeroshot_DynStackTrue_best_quality_NUMFOLDS10_MWgt160,0.5094729467557313,0.0348307084518239,0.6397221957224473,0.0306697825854986,0.4775733724763293,0.0503248473097435,0.7775120986555286,0.0245391999651825,0.5752389525470201,0.0239526497001816,No
87,shelby,2026-04-19 00:39 UTC,,0.5101448566090085,0.0385964430273626,0.6399918332382549,0.0252682927843675,0.4352534162625835,0.0461012705188328,0.809792690523157,0.0220590175638899,0.6128665462056776,0.0227457363845948,No
88,pxr3-v3,2026-05-12 16:10 UTC,,0.5103407364089474,0.0334939739046611,0.6409106090341088,0.0304332847545027,0.4947772574939095,0.0417672993451834,0.7693665999416577,0.0267549483711608,0.5684545315543258,0.0260972827155783,No
89,gty,2026-04-20 15:02 UTC,,0.5115645474666475,0.0321848196989103,0.6424962720908827,0.0293316940828633,0.5072810550672971,0.0373731854693435,0.7519736518837979,0.0310965280970252,0.5614174220609456,0.0286396910267525,No
90,waffles,2026-04-26 20:35 UTC,,0.5117562780241107,0.0337659990098294,0.6427167983576025,0.0313875987720891,0.4862903449528105,0.0466581651063106,0.7635621759094698,0.0271176378966514,0.5742151868561475,0.0257458747703004,No
91,fieldninja,2026-05-14 22:08 UTC,,0.5128503581045927,0.0356356457748665,0.643901206848919,0.0306081121592261,0.4623468750998776,0.0662985624162109,0.745309602488333,0.0335477332576619,0.5592547042209883,0.0280383929280328,No
92,kimiai2,2026-04-20 18:36 UTC,,0.5146814038636365,0.0354764159355963,0.6460931623331252,0.0278685060537916,0.4706015474078885,0.0485485771249382,0.7595402342624041,0.0287009555133953,0.5646253881279689,0.0264767271604242,No
93,111,2026-04-26 04:26 UTC,,0.5173934260320155,0.0365964634306815,0.649269351587244,0.0244140039831934,0.456186400649794,0.0412856038370665,0.7832552424580443,0.0255308103219237,0.5829763808462156,0.0249153487799126,No
