split,fold,model,family,leakage_free_retrain,n_val,mae,r2,spearman,bias,pred_std
umap_canonical,3,mordred_lf_pred_lgbm,2d_plus_log2fc_pred,True,818,0.343338957380346,0.7537189505152899,0.8359214253281496,-0.0131313200340071,0.8822060541116554
umap_canonical,3,rdkit_full_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,818,0.3919910669153441,0.6762137597710354,0.8073017114503972,0.0080862918196306,0.8166456599960031
umap_canonical,3,mordred_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,818,0.391982799272911,0.6707655061437148,0.8089808375867377,-0.004236192197822,0.7940393769878386
umap_canonical,4,rdkit41_lgbm,2d,True,832,0.5831007514111075,0.5436436089503613,0.678082931969945,0.0549461476681283,0.8846625096656482
umap_canonical,4,rdkit_full_lgbm,2d,True,832,0.5479858659996386,0.590207647488199,0.7229155669455352,0.0404389795037965,0.8971384902814682
umap_canonical,4,mordred_lgbm,2d,True,832,0.5380748435147474,0.597861099048662,0.730945744186971,0.0404884098446102,0.9067912825968688
umap_canonical,4,morgan2048_lgbm,fingerprint,True,832,0.6016101747479246,0.5400575393885857,0.6957685210271577,0.0796106305592888,0.7833274134974305
umap_canonical,4,rdkit_full_lf_pred_lgbm,2d_plus_log2fc_pred,True,832,0.4095276502642789,0.7631211246949743,0.8548797541949942,0.0022715046257918,1.0449960356506098
umap_canonical,4,mordred_lf_pred_lgbm,2d_plus_log2fc_pred,True,832,0.4077483420353934,0.762949370366341,0.8547350786127103,0.0011497958499684,1.051725075241961
umap_canonical,4,rdkit_full_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,832,0.4450382776426025,0.7127617875279717,0.8436081117898018,0.0504339901277832,0.9724841002689404
umap_canonical,4,mordred_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,832,0.4457727564322453,0.70670970098144,0.8434994826903323,0.0525922852124449,0.954857654384066
public_adv_top513,0,rdkit41_lgbm,2d,True,513,0.5426603591382786,0.4262098318689261,0.5923431262045722,-0.1685957457098732,0.5903498005305018
public_adv_top513,0,rdkit_full_lgbm,2d,True,513,0.537026463694369,0.4391932237293316,0.6024027418709583,-0.17592109067329,0.5918807022742483
public_adv_top513,0,mordred_lgbm,2d,True,513,0.5170169765185666,0.466820550009846,0.6172633700684311,-0.1528567382141747,0.5870615298659431
public_adv_top513,0,morgan2048_lgbm,fingerprint,True,513,0.6117727667441216,0.2782148813485485,0.4395168419909939,-0.1409783788662278,0.5228117279411202
public_adv_top513,0,rdkit_full_lf_pred_lgbm,2d_plus_log2fc_pred,True,513,0.3745573510723097,0.7023487673805872,0.8203504444906947,-0.0901771863878394,0.7558734370984782
public_adv_top513,0,mordred_lf_pred_lgbm,2d_plus_log2fc_pred,True,513,0.3855452224138045,0.6882500600975695,0.814403766594865,-0.105500966082227,0.7527543948575696
