split,model,family,leakage_free_retrain,folds,n_val_mean,mae,mae_std,r2,spearman,bias,pred_std,rank_mae,rank_spearman,rank_mae_within_kind,rank_spearman_within_kind
public_hybrid_with_y_top513,current_pool_ridge_stack_oof,oof_stack_diagnostic,False,1,513.0,0.3157083622994912,0.0,0.2277799492965184,0.6752026008656955,-0.1872473485607469,0.321547479773636,2.0,3.0,2.0,1.0
public_hybrid_with_y_top513,rdkit_full_lf_pred_lgbm,2d_plus_log2fc_pred,True,1,513.0,0.3211967040120298,0.0,0.2064105796550112,0.6970651162386188,-0.2112330790425206,0.3132726891380114,3.0,1.0,1.0,1.0
public_hybrid_with_y_top513,mordred_lf_pred_lgbm,2d_plus_log2fc_pred,True,1,513.0,0.3380329543104752,0.0,0.122888344288953,0.6855204146116668,-0.239916547195723,0.283145016343833,4.0,2.0,2.0,2.0
public_hybrid_with_y_top513,mordred_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,1,513.0,0.3417867614125245,0.0,0.0297586926767113,0.6558411056603659,-0.251328005239226,0.3255966925875458,5.0,5.0,3.0,3.0
public_hybrid_with_y_top513,rdkit_full_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,1,513.0,0.3431343375633107,0.0,0.0061462477567745,0.652969330241798,-0.2520081231938715,0.3492205364086443,6.0,6.0,4.0,4.0
public_hybrid_with_y_top513,current_pool_simple_mean_oof,oof_stack_diagnostic,False,1,513.0,0.3460736191680282,0.0,0.0718825607796719,0.5786516135172269,-0.2075045504493693,0.2856042277491449,7.0,7.0,3.0,3.0
public_hybrid_with_y_top513,mordred_lgbm,2d,True,1,513.0,0.5284717698757772,0.0,-0.9025527456654534,0.3332743928763612,-0.4611000527566749,0.2663639765877751,8.0,10.0,5.0,7.0
public_hybrid_with_y_top513,rdkit_full_lgbm,2d,True,1,513.0,0.5444338327277195,0.0,-1.0223305191486172,0.3506258897329369,-0.4899438191890073,0.2839644735622764,9.0,8.0,6.0,5.0
public_hybrid_with_y_top513,rdkit41_lgbm,2d,True,1,513.0,0.5452097232421289,0.0,-0.987016213863035,0.3468443817283958,-0.4853562690071527,0.2792526310328326,10.0,9.0,7.0,6.0
public_hybrid_with_y_top513,morgan2048_lgbm,fingerprint,True,1,513.0,0.6136411005999782,0.0,-1.5909664407397592,0.193098730255158,-0.5468113057328408,0.3515956260371034,11.0,11.0,8.0,8.0
