variable,bin,model,n,value_min,value_max,mae,mean_residual,mean_pred,ensemble_mae,delta_mae_vs_ensemble
exactmw,Q2,tabpfn_2d_seed10_default,828,306.1379699707031,334.1560363769531,0.3818231375896989,0.009629513342023482,4.456717105015464,0.37517804742457694,0.006645090165121936
exactmw,Q2,tabpfn_2d_seed10_top500,828,306.1379699707031,334.1560363769531,0.37596947707991674,0.013742349009582972,4.452604269347905,0.37517804742457694,0.0007914296553397926
exactmw,Q3,ensemble,831,334.1605224609375,355.09906005859375,0.3467917442380551,-0.003827820831201609,4.653599180638662,0.3467917442380551,0.0
exactmw,Q3,tabpfn_2d_seed10_default,831,334.1605224609375,355.09906005859375,0.3572736947946744,-0.01138653369586821,4.661157893503329,0.3467917442380551,0.010481950556619324
exactmw,Q3,tabpfn_2d_seed10_top500,831,334.1605224609375,355.09906005859375,0.34812485426341583,-0.001324010715874812,4.651095370523335,0.3467917442380551,0.0013331100253607397
exactmw,Q4,ensemble,825,355.11322021484375,384.2161560058594,0.4024453468217258,-0.019838282813644127,4.5046928282681895,0.4024453468217258,0.0
exactmw,Q4,tabpfn_2d_seed10_default,825,355.11322021484375,384.2161560058594,0.41644635012077563,-0.025984512814608483,4.510839058269154,0.4024453468217258,0.014001003299049852
exactmw,Q4,tabpfn_2d_seed10_top500,825,355.11322021484375,384.2161560058594,0.40159598460341944,-0.009759065015388263,4.4946136104699335,0.4024453468217258,-0.0008493622183063376
exactmw,Q5,ensemble,828,384.2213134765625,1735.0001220703125,0.41374245796850206,-0.023481090833715294,4.670025238438628,0.41374245796850206,0.0
exactmw,Q5,tabpfn_2d_seed10_default,828,384.2213134765625,1735.0001220703125,0.4283097205029663,-0.026750865389752482,4.673295012994665,0.41374245796850206,0.01456726253446422
exactmw,Q5,tabpfn_2d_seed10_top500,828,384.2213134765625,1735.0001220703125,0.4191070096118508,-0.015475056509457897,4.662019204114371,0.41374245796850206,0.005364551643348758
family_gap,Q1,ensemble,828,-1.636091629664103,-0.1595460573832197,0.5425807506127539,-0.08789993546949594,3.795798486194134,0.5425807506127539,0.0
family_gap,Q1,tabpfn_2d_seed10_default,828,-1.636091629664103,-0.1595460573832197,0.5534023330177086,-0.08259909465117155,3.790497645375809,0.5425807506127539,0.010821582404954677
family_gap,Q1,tabpfn_2d_seed10_top500,828,-1.636091629664103,-0.1595460573832197,0.553477315488069,0.023879373292416194,3.6840191774322215,0.5425807506127539,0.010896564875315096
family_gap,Q2,ensemble,828,-0.15948088963826468,-0.045415004094442324,0.37500042371536074,-0.002357994516606541,4.13480364669052,0.37500042371536074,0.0
family_gap,Q2,tabpfn_2d_seed10_default,828,-0.15948088963826468,-0.045415004094442324,0.38356631904408556,-0.008066102168410295,4.140511754342324,0.37500042371536074,0.008565895328724815
family_gap,Q2,tabpfn_2d_seed10_top500,828,-0.15948088963826468,-0.045415004094442324,0.3827878144167472,0.04281612299490667,4.089629529179007,0.37500042371536074,0.007787390701386454
family_gap,Q3,ensemble,828,-0.04520003000895123,0.04446808497111032,0.33020798121019307,-0.03681155066011329,4.3343055120127705,0.33020798121019307,0.0
family_gap,Q3,tabpfn_2d_seed10_default,828,-0.04520003000895123,0.04446808497111032,0.33836742626872046,-0.04132303154986838,4.338816992902525,0.33020798121019307,0.008159445058527393
family_gap,Q3,tabpfn_2d_seed10_top500,828,-0.04520003000895123,0.04446808497111032,0.33387233377078884,-0.03317065549933392,4.330664616851991,0.33020798121019307,0.003664352560595774
family_gap,Q4,ensemble,828,0.04456003506978368,0.1570912202199306,0.3346349853056635,-0.015109408797189267,4.63355747643004,0.3346349853056635,0.0
family_gap,Q4,tabpfn_2d_seed10_default,828,0.04456003506978368,0.1570912202199306,0.34575161862488524,-0.018859725413115133,4.637307793045966,0.3346349853056635,0.011116633319221747
family_gap,Q4,tabpfn_2d_seed10_top500,828,0.04456003506978368,0.1570912202199306,0.33698709080184713,-0.03925811760667442,4.657706185239524,0.3346349853056635,0.002352105496183643
family_gap,Q5,ensemble,828,0.15732415517171194,1.220101237297058,0.3901141944273382,0.08111247342893024,4.766669596881296,0.3901141944273382,0.0
family_gap,Q5,tabpfn_2d_seed10_default,828,0.15732415517171194,1.220101237297058,0.406857103848234,0.07850642172784164,4.769275648582385,0.3901141944273382,0.01674290942089579
family_gap,Q5,tabpfn_2d_seed10_top500,828,0.15732415517171194,1.220101237297058,0.37666389872659933,-0.017177727975124287,4.8649597982853505,0.3901141944273382,-0.013450295700738857
fractioncsp3,Q1,ensemble,877,0.0,0.2222222238779068,0.44240322368432233,-0.016274691146401052,4.000801487041498,0.44240322368432233,0.0
fractioncsp3,Q1,tabpfn_2d_seed10_default,877,0.0,0.2222222238779068,0.458283002498892,-0.01349105239050418,3.9980178482856013,0.44240322368432233,0.015879778814569645
fractioncsp3,Q1,tabpfn_2d_seed10_top500,877,0.0,0.2222222238779068,0.4522273955568077,-0.00962451254084553,3.9941513084359426,0.44240322368432233,0.009824171872485354
fractioncsp3,Q2,ensemble,824,0.22727273404598236,0.31578946113586426,0.3859665914978405,-0.005140859056527735,4.46362818213525,0.3859665914978405,0.0
fractioncsp3,Q2,tabpfn_2d_seed10_default,824,0.22727273404598236,0.31578946113586426,0.3971463667958755,-0.007561677108104915,4.466049000186827,0.3859665914978405,0.011179775298034988
fractioncsp3,Q2,tabpfn_2d_seed10_top500,824,0.22727273404598236,0.31578946113586426,0.3875693559490431,0.0016656111820299994,4.456821711896692,0.3859665914978405,0.0016027644512026096
