slice,model,n_true,n_false,mae_true,mae_false,delta_mae_true_minus_false,mean_residual_true,mean_residual_false,ensemble_mae_true,ensemble_mae_false,ensemble_mean_residual_true,delta_true_mae_vs_ensemble,delta_false_mae_vs_ensemble
has_single_conc_lo,tabpfn_2d_seed10_default,2321,1819,0.3251308977578232,0.5082515015775158,-0.18312060381969253,0.05540125972594953,-0.10362018271865864,0.31517660653511925,0.49573218132854996,0.05627657573659744,0.00995429122270397,0.012519320248965793
has_single_conc_lo,tabpfn_2d_seed10_top500,2321,1819,0.31136998787567255,0.5057103339161728,-0.19434034604050027,0.04469211852021487,-0.06745504071176098,0.31517660653511925,0.49573218132854996,0.05627657573659744,-0.0038066186594467033,0.009978152587622857
high_family_gap_top10,ensemble,414,3726,0.6546847241654818,0.3655991051530152,0.28908561901246665,-0.005086523109269193,-0.013005145435520043,0.6546847241654818,0.3655991051530152,-0.005086523109269193,0.0,0.0
high_family_gap_top10,tabpfn_2d_seed10_default,414,3726,0.6601957662554755,0.377299315039088,0.2828964512163875,-0.00365943756656367,-0.01566929183809819,0.6546847241654818,0.3655991051530152,-0.005086523109269193,0.005511042089993645,0.011700209886072788
high_family_gap_top10,tabpfn_2d_seed10_top500,414,3726,0.6378376811253277,0.36997102503141943,0.26786665609390825,0.028876726431547192,-0.008299859557685188,0.6546847241654818,0.3655991051530152,-0.005086523109269193,-0.016847043040154164,0.00437191987840424
high_logp_top10,ensemble,414,3726,0.44722289332808807,0.3886504196905034,0.058572473637584666,-0.04212793317265092,-0.008889433206255402,0.44722289332808807,0.3886504196905034,-0.04212793317265092,0.0,0.0
high_logp_top10,tabpfn_2d_seed10_default,414,3726,0.4578377023561128,0.3997835443612394,0.0580541579948734,-0.03976683426247465,-0.011657358871885865,0.44722289332808807,0.3886504196905034,-0.04212793317265092,0.010614809028024752,0.011133124670736017
high_logp_top10,tabpfn_2d_seed10_top500,414,3726,0.4528712158767636,0.39052285450348206,0.062348361373281536,-0.0402491037937615,-0.0006192117548731166,0.44722289332808807,0.3886504196905034,-0.04212793317265092,0.005648322548675533,0.0018724348129786628
high_member_std_top10,ensemble,414,3726,0.6588089375585146,0.365140859220456,0.2936680783380585,-0.04536590384014603,-0.00852965868764484,0.6588089375585146,0.365140859220456,-0.04536590384014603,0.0,0.0
high_member_std_top10,tabpfn_2d_seed10_default,414,3726,0.6582583772733016,0.37751458048155173,0.2807437967917499,-0.05142533862072488,-0.010361969498746947,0.6588089375585146,0.365140859220456,-0.04536590384014603,-0.0005505602852129421,0.012373721261095705
high_member_std_top10,tabpfn_2d_seed10_top500,414,3726,0.6368550745185447,0.37008020354328425,0.2667748709752605,-0.009244453181391195,-0.0040641729340253705,0.6588089375585146,0.365140859220456,-0.04536590384014603,-0.021953863039969823,0.004939344322828221
high_mw_top10,ensemble,414,3726,0.46596386323441286,0.3865680897009117,0.07939577353350113,-0.012625443938075142,-0.012167487565652717,0.46596386323441286,0.3865680897009117,-0.012625443938075142,0.0,0.0
high_mw_top10,tabpfn_2d_seed10_default,414,3726,0.48021347362985023,0.39729734755304635,0.08291612607680388,-0.008454588008949668,-0.015136497344499749,0.46596386323441286,0.3865680897009117,-0.012625443938075142,0.014249610395437373,0.010729257852134633
high_mw_top10,tabpfn_2d_seed10_top500,414,3726,0.4643079635060491,0.3892521047668948,0.07505585873915427,-0.013553738302640816,-0.0035853634761087434,0.46596386323441286,0.3865680897009117,-0.012625443938075142,-0.0016558997283637744,0.002684015065983092
