comp_id,name,smiles,formula
UK6,sclareol,C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C,C20 H36 O2
ULC,"~{O}-(5,6,7,8-tetrahydronaphthalen-2-yl) ~{N}-(6-methoxypyridin-2-yl)-~{N}-methyl-carbamothioate",COc1cccc(N(C)C(=S)Oc2ccc3c(c2)CCCC3)n1,C18 H20 N2 O2 S
VA0,Rifamycin S,COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O,C37 H45 N O12
WQB,"N-[4-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)phenyl]-N-hexylbenzenesulfonamide",CCCCCCN(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)S(=O)(=O)c1ccccc1,C21 H23 F6 N O3 S
WSO,"(1P)-N-(5-tert-butyl-2-{[(2S)-pentan-2-yl]oxy}phenyl)-1-(2-methoxy-5-methylphenyl)-5-methyl-1H-1,2,3-triazole-4-carboxamide",CCCC(C)Oc1ccc(C(C)(C)C)cc1NC(=O)c1nnn(-c2cc(C)ccc2OC)c1C,C27 H36 N4 O3
WSX,"(1P)-N-(5-tert-butyl-2-{[(3S)-hexan-3-yl]oxy}phenyl)-1-(2,5-dimethoxyphenyl)-5-methyl-1H-1,2,3-triazole-4-carboxamide",CCCC(CC)Oc1ccc(C(C)(C)C)cc1NC(=O)c1nnn(-c2cc(OC)ccc2OC)c1C,C28 H38 N4 O4
WT1,"(1P)-N-(5-tert-butyl-2-{[(3S)-hexan-3-yl]oxy}phenyl)-5-methyl-1-(2,4,5-trimethoxyphenyl)-1H-1,2,3-triazole-4-carboxamide",CCCC(CC)Oc1ccc(C(C)(C)C)cc1NC(=O)c1nnn(-c2cc(OC)c(OC)cc2OC)c1C,C29 H40 N4 O5
WU2,"(1P)-N-(5-tert-butyl-2-{[(3S)-hexan-3-yl]oxy}phenyl)-1-(2,4-dimethoxy-5-methylphenyl)-5-methyl-1H-1,2,3-triazole-4-carboxamide",CCCC(CC)Oc1ccc(C(C)(C)C)cc1NC(=O)c1nnn(-c2cc(C)c(OC)cc2OC)c1C,C29 H40 N4 O4
WU6,"methyl 3-{[(1P)-1-(2,5-dimethoxyphenyl)-5-methyl-1H-1,2,3-triazole-4-carbonyl]amino}-4-{[(3S)-hexan-3-yl]oxy}benzoate",CCCC(CC)Oc1ccc(C(=O)OC)cc1NC(=O)c1nnn(-c2cc(OC)ccc2OC)c1C,C26 H32 N4 O6
X1D,"N-[4-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)phenyl]-N-[(4-phenoxyphenyl)methyl]benzenesulfonamide",O=S(=O)(c1ccccc1)N(Cc1ccc(Oc2ccccc2)cc1)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,C28 H21 F6 N O4 S
XFQ,furanodienone,CC1=CC(=O)c2c(C)coc2CC(C)=CCC1,C15 H18 O2
XGH,"2-[(2S)-4-[(4-fluorophenyl)sulfonyl]-7-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)-3,4-dihydro-2H-1,4-benzothiazin-2-yl]-N-(2-hydroxy-2-methylpropyl)acetamide",CC(C)(O)CNC(=O)CC1CN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2S1,C23 H23 F7 N2 O5 S2
Y5B,"N-[([1,1'-biphenyl]-4-yl)methyl]-N-[4-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)phenyl]benzenesulfonamide",O=S(=O)(c1ccccc1)N(Cc1ccc(-c2ccccc2)cc1)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,C28 H21 F6 N O3 S
YGO,"(1P)-N-(5-tert-butyl-2-{[(3R)-hexan-3-yl]oxy}phenyl)-1-(2,5-dimethoxyphenyl)-5-methyl-1H-1,2,3-triazole-4-carboxamide",CCCC(CC)Oc1ccc(C(C)(C)C)cc1NC(=O)c1nnn(-c2cc(OC)ccc2OC)c1C,C28 H38 N4 O4
