subset,metric,n,spearman_vs_lb_mae,pearson_vs_lb_mae,spearman_vs_lb_rae,spearman_vs_lb_spearman,abs_spearman_vs_lb_mae
all_matched_rows,slice_logreg_testlike_top50__bias,22,0.2461079063396719,-0.26572299243511244,0.2461079063396719,-0.20049204307046375,0.2461079063396719
all_matched_rows,weighted_lgbm_testlikeness__bias,22,0.18094458362089352,-0.32814022974639245,0.18094458362089352,-0.09980953668094204,0.18094458362089352
all_matched_rows,weighted_logreg_testlikeness__bias,22,0.18094458362089352,-0.38720609936585465,0.18094458362089352,-0.09980953668094204,0.18094458362089352
all_matched_rows,slice_potent46_nn_top9__spearman,22,0.18094458362089352,-0.4588695518957312,0.18094458362089352,-0.09980953668094204,0.18094458362089352
all_matched_rows,slice_potent46_nn_top19__spearman,22,0.18094458362089352,-0.5065639357435294,0.18094458362089352,-0.09980953668094204,0.18094458362089352
all_matched_rows,slice_potent46_nn_top30__spearman,22,0.18094458362089352,-0.5124490736715478,0.18094458362089352,-0.09980953668094204,0.18094458362089352
all_matched_rows,slice_test_nn_top30__bias,22,0.18094458362089352,-0.5352537894273366,0.18094458362089352,-0.09980953668094204,0.18094458362089352
all_matched_rows,slice_lgbm_testlike_top30__bias,22,0.18094458362089352,-0.5373463089703895,0.18094458362089352,-0.09980953668094204,0.18094458362089352
all_matched_rows,slice_potent46_nn_top50__spearman,22,0.18094458362089352,-0.540009692287462,0.18094458362089352,-0.09980953668094204,0.18094458362089352
all_matched_rows,slice_test_nn_top9__spearman,22,0.18094458362089352,-0.5424463606594504,0.18094458362089352,-0.09980953668094204,0.18094458362089352
all_matched_rows,slice_test_nn_top50__spearman,22,0.18094458362089352,-0.568990903357567,0.18094458362089352,-0.09980953668094204,0.18094458362089352
all_matched_rows,slice_test_nn_top19__bias,22,0.18094458362089352,-0.5751510084938946,0.18094458362089352,-0.09980953668094204,0.18094458362089352
all_matched_rows,slice_potent46_nn_top19__bias,22,0.16872646061112256,-0.46098282590666373,0.16872646061112256,-0.0765303444521509,0.16872646061112256
all_matched_rows,slice_logreg_testlike_top9__bias,22,0.16872646061112256,-0.480642893820959,0.16872646061112256,-0.0765303444521509,0.16872646061112256
all_matched_rows,slice_test_nn_top9__bias,22,0.16872646061112256,-0.48714963824246205,0.16872646061112256,-0.0765303444521509,0.16872646061112256
all_matched_rows,slice_potent46_nn_top30__bias,22,0.16872646061112256,-0.5270896242553244,0.16872646061112256,-0.0765303444521509,0.16872646061112256
all_matched_rows,slice_lgbm_testlike_top19__bias,22,0.16872646061112256,-0.5578091203327356,0.16872646061112256,-0.0765303444521509,0.16872646061112256
all_matched_rows,slice_pec50_top30__mae,22,0.11810852242778579,0.5637365284499432,0.11810852242778579,-0.18070472967599127,0.11810852242778579
all_matched_rows,slice_pec50_top19__mae,22,0.11810852242778579,0.5333803836004517,0.11810852242778579,-0.18070472967599127,0.11810852242778579
all_matched_rows,slice_pec50_top9__mae,22,0.11810852242778579,0.45771339325766425,0.11810852242778579,-0.18070472967599127,0.11810852242778579
all_matched_rows,slice_potent46_nn_top50__bias,22,0.028508953689465537,-0.581442105586174,0.028508953689465537,-0.06721866756063444,0.028508953689465537
all_matched_rows,slice_pec50_top50__mae,22,0.018036276823947584,0.5689425139435865,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_test_nn_top50__rmse,22,0.018036276823947584,0.5610709568279626,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,global_mae__mae,22,0.018036276823947584,0.5603649327166453,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_logreg_testlike_top50__rmse,22,0.018036276823947584,0.5575090282051125,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_logreg_testlike_top50__mae,22,0.018036276823947584,0.5563753982240697,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_log2fc33_pred_top19__mae,22,0.018036276823947584,0.5549609563551852,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_test_nn_top50__mae,22,0.018036276823947584,0.5546117591799515,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_test_nn_top30__rmse,22,0.018036276823947584,0.5522264728988525,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_logreg_testlike_top30__rmse,22,0.018036276823947584,0.5491361884364,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,global_mae__rmse,22,0.018036276823947584,0.5485871162637256,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_lgbm_testlike_top50__mae,22,0.018036276823947584,0.5478095185555606,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_log2fc33_pred_top30__mae,22,0.018036276823947584,0.546243684745936,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_lgbm_testlike_top50__rmse,22,0.018036276823947584,0.5450482186161846,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_lf_mean_top50__mae,22,0.018036276823947584,0.5417485020786557,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_log2fc33_pred_top50__mae,22,0.018036276823947584,0.5415695941621376,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_lgbm_testlike_top19__rmse,22,0.018036276823947584,0.5403855675420224,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_potent46_nn_top50__mae,22,0.018036276823947584,0.5395235453005662,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_potent46_nn_top50__rmse,22,0.018036276823947584,0.5393163834608801,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_lf_mean_top19__mae,22,0.018036276823947584,0.5382165576821966,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_lf_mean_top9__mae,22,0.018036276823947584,0.5380936897483576,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_lf_mean_top30__mae,22,0.018036276823947584,0.5370440579769821,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,weighted_lgbm_testlikeness__mae,22,0.018036276823947584,0.535800271849638,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,weighted_lgbm_testlikeness__rmse,22,0.018036276823947584,0.5323090841296657,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_logreg_testlike_top19__rmse,22,0.018036276823947584,0.530940944156037,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_potent46_nn_top30__mae,22,0.018036276823947584,0.5290970567881113,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_lf_mean_top50__rmse,22,0.018036276823947584,0.528559664256429,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,weighted_logreg_testlikeness__rmse,22,0.018036276823947584,0.5283671359325522,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,weighted_logreg_testlikeness__mae,22,0.018036276823947584,0.5267432708911737,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_log2fc33_pred_top50__rmse,22,0.018036276823947584,0.5261492653130356,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_log2fc33_pred_top30__rmse,22,0.018036276823947584,0.5244502227467956,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_log2fc33_pred_top19__rmse,22,0.018036276823947584,0.5198267468491831,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_potent46_nn_top30__rmse,22,0.018036276823947584,0.5189401811540707,0.018036276823947584,-0.10097349629238159,0.018036276823947584
all_matched_rows,slice_pec50_top30__rmse,22,0.018036276823947584,0.5186830459538553,0.018036276823947584,-0.10097349629238159,0.018036276823947584
