feature_set,model_type,alpha,shrink,mae,spearman,mean_pred,mean_residual,delta_mae_vs_raw,delta_spearman_vs_raw,mean_abs_shift_oof,p90_abs_shift_oof
potent_only,ridge,0.001,0.75,0.39229517860715285,0.8490390062465009,4.324604499980426,-0.003790839541569585,-0.004793848291469782,0.00394927793741684,0.0315915763370777,0.03017451344859344
potent_only,huber,0.001,0.5,0.3923137213757742,0.8480021237260198,4.341195052578539,-0.020381392139681657,-0.004775305522848439,0.0029123954169357757,0.010130503286093752,0.007313499020901067
potent_only,huber,0.01,0.5,0.3923137257870323,0.8480021237260198,4.3411950517911215,-0.020381391352264334,-0.004775301111590358,0.0029123954169357757,0.010130493617908933,0.007313507771574375
potent_only,huber,0.1,0.5,0.3923137698989416,0.8480021237260198,4.341195043916998,-0.02038138347814131,-0.00477525699968101,0.0029123954169357757,0.010130396937342584,0.007313595276564392
potent_only,huber,1.0,0.5,0.39231421095343727,0.8480014010952213,4.341194965191335,-0.020381304752477403,-0.004774815945185362,0.0029116727861372427,0.010129430270692907,0.007314470152201079
potent_only,huber,10.0,0.5,0.3923186151141562,0.8479971574784121,4.341194179768349,-0.020380519329492554,-0.004770411784466411,0.0029074291693280685,0.01011977774169309,0.007323201559612724
potent_only,ridge,0.001,0.5,0.39232998526650725,0.8483199399812955,4.327812394075138,-0.00699873363628102,-0.0047590416321153794,0.0032302116722114915,0.02106105089138513,0.020116342299062295
potent_only,ridge,0.01,0.5,0.39232999332981866,0.8483199399812955,4.327812393309326,-0.006998732870469522,-0.004759033568803972,0.0032302116722114915,0.021061010747383552,0.02011632093775765
potent_only,ridge,0.1,0.5,0.39233007396052405,0.8483199238307594,4.32781238565144,-0.0069987252125833215,-0.004758952938098582,0.003230195521675361,0.021060609319369473,0.020116107331098084
potent_only,ridge,1.0,0.5,0.39233088002673727,0.8483191693216773,4.327812309095566,-0.006998648656709096,-0.00475814687188536,0.0032294410125932593,0.021056596239041846,0.02011397190300061
potent_only,ridge,10.0,0.5,0.3923389166773125,0.8483112055852825,4.327811545828547,-0.006997885389690615,-0.004750110221310111,0.003221477276198481,0.021016585056196264,0.02009268127977404
potent_two_knot,huber,10.0,0.5,0.3923597544683029,0.84792057476431,4.341267830533619,-0.02045417009476276,-0.004729272430319731,0.0028308464552260215,0.009689139151976464,0.007448530310701587
potent_two_knot,huber,1.0,0.5,0.3923630358183757,0.8479130759265963,4.341270549698202,-0.02045688925934553,-0.004725991080246905,0.0028233476175122396,0.009699027623144129,0.0073957169339007416
potent_two_knot,huber,0.1,0.5,0.3923634348648126,0.8479139037472747,4.341270854589354,-0.02045719415049693,-0.004725592033810011,0.0028241754381906903,0.0097000797771646,0.0073898151266077565
potent_two_knot,huber,0.01,0.5,0.3923634755734773,0.8479140081761345,4.3412708854670985,-0.020457225028240874,-0.00472555132514535,0.002824279867050472,0.00970018566650165,0.007389218004560021
potent_two_knot,huber,0.001,0.5,0.3923634796524915,0.8479140081761345,4.3412708885588165,-0.020457228119960244,-0.004725547246131112,0.002824279867050472,0.009700196262254088,0.007389158222143075
potent_two_knot,ridge,10.0,0.75,0.3923782527737459,0.8489637657180604,4.324571711488708,-0.003758051049850693,-0.004710774124876749,0.003874037408976405,0.030552919750590934,0.02919012236142779
potent_two_knot,ridge,10.0,0.5,0.3923989031893192,0.8482281611346537,4.327790535080658,-0.006976874641801613,-0.00469012370930344,0.0031384328255696925,0.020368613167060623,0.019460081574285193
potent_two_knot,ridge,1.0,0.75,0.39240355950366024,0.8489246391415253,4.324579240788233,-0.0037655803493760773,-0.004685467394962395,0.0038349108324412517,0.03067917090010878,0.029121822840349296
