source,gate,gamma,MAE,delta_mae_vs_raw,Spearman_R,delta_spearman_vs_raw,train_gate_mean,test_gate_mean,test_shift_mean,id55_abs_delta_mean,id55_abs_delta_p90,id55_abs_delta_max,id55_spearman,id56_minus_id55_projection,id56_minus_id55_pearson,id56_minus_id51_projection,id56_minus_id51_pearson
seed10_top500_minus_current_raw,positive_delta_x_log2fc_33_pred_hard_q50,0.5,0.38881982174803836,-0.0026241728394509334,0.8513679774100821,0.0023372486093445888,0.2867149758454106,0.25146198830409355,0.012952808375347735,0.01295280837534773,0.053445436873786376,0.19596079696601887,0.9988707989168772,-0.052405533305701496,-0.10876626566595642,-0.004249680066771871,0.0027985955639535758
optuna_top500_minus_current_raw,positive_delta_x_lf_mean_soft_q60_to_q95,0.5,0.38885202083676146,-0.0025919737507278384,0.8511929833906513,0.0021622545899138146,0.12146393510146519,0.17622980809330654,0.011189183978199239,0.011189183978199251,0.044331874708318786,0.13545499699747499,0.999386245790384,0.0703290355263219,0.23882509876017124,0.13061257772215687,0.37682576227807674
optuna_top500_minus_current_raw,lf_mean_soft_q70_to_q95,0.5,0.38893702813795245,-0.0025069664495368515,0.851431498145485,0.002400769344747533,0.14902497605799306,0.17323501304644756,0.008063073530768508,0.010252609245833474,0.03996166558181589,0.12949073131067923,0.999295760376135,0.051965140549998706,0.1756370954699511,0.10975394698610165,0.31420292721858223
seed10_top500_minus_current_raw,positive_delta_x_lf_mean_hard_q60,0.5,0.3889439841335877,-0.00250001045390158,0.85129852706027,0.002267798259532494,0.2514492753623188,0.253411306042885,0.013875428273245121,0.013875428273245118,0.05849029016990245,0.19596079696601887,0.9988467109529663,-0.04587882993918559,-0.08848518643555041,0.016093820291016945,0.045575049787580695
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95,0.5,0.3889764803872401,-0.00246751420024921,0.8512370462813397,0.0022063174806021824,0.18363335988203974,0.16366338163423075,0.005138624075551606,0.008220337898404513,0.028294009711866155,0.0967219370548591,0.9993753128768745,0.03905378669139353,0.16420833277705177,0.07976814609256112,0.28647134451453005
optuna_top500_minus_current_raw,lf_mean_hard_q80,0.35,0.3889910890286663,-0.002452905558822993,0.8513560776780862,0.0023253488773486986,0.2,0.24171539961013644,0.008119719060599167,0.010049437259779692,0.04698869816553391,0.1213054193834946,0.9993122930746128,0.048115441681912355,0.1609004499089335,0.10439455011520136,0.29417553605172747
seed10_top500_minus_current_raw,positive_delta_x_lf_mean_hard_q50,0.35,0.3890398293794026,-0.0024041652080866727,0.8513142746786593,0.0022835458779217888,0.2966183574879227,0.29239766081871343,0.01092677798422092,0.010926777984220929,0.04371152035097073,0.1371725578762133,0.9992794054486087,-0.04126432176657575,-0.11226752760876466,0.002025099656486779,0.019091339642708677
seed10_top500_minus_current_raw,lf_mean_hard_q50,0.5,0.3890860483615113,-0.0023579462259780137,0.8519346764725384,0.0029039476718009105,0.5,0.5263157894736842,0.004622844507749917,0.0265965211614527,0.08258797116019388,0.19596079696601887,0.9967715906375862,-0.1696652523135928,-0.2608421675615534,-0.09951494362583409,-0.13579339003924543
optuna_top500_minus_current_raw,lf_mean_hard_q50,0.15,0.38908887580919993,-0.0023551187782893668,0.8514217586956839,0.0023910298949464392,0.5,0.5263157894736842,0.005494886861096905,0.008876339321239976,0.027459445845145147,0.054865365968446156,0.9996697015723486,0.05591553236016085,0.29800561490638633,0.10245136499258344,0.4724144459795815
optuna_top500_minus_current_raw,positive_delta_x_log2fc_33_pred_soft_q50_to_q95,0.5,0.3891090054334101,-0.0023349891540792034,0.8506747958883123,0.0016440670875748076,0.13147440234379873,0.15409183570353915,0.008714699404537935,0.008714699404537944,0.03303312592668775,0.09928667055711049,0.9995484617835122,0.05661652263649093,0.25480833695779176,0.09783035347014811,0.37559075793018193
optuna_top500_minus_current_raw,positive_delta_x_log2fc_33_pred_hard_q60,0.25,0.38914952556417765,-0.0022944690233116516,0.8508272048626051,0.0017964760618676134,0.23623188405797102,0.2884990253411306,0.008878366465134643,0.008878366465134646,0.036511063740291595,0.08664672813106833,0.9995023302216308,0.06498180136071785,0.2830185196106704,0.11068866202875853,0.41339398957640777
optuna_top500_minus_current_raw,lf_mean_soft_q60_to_q95,0.35,0.3891575253130779,-0.0022864692744113957,0.8512644449472901,0.0022337161465526556,0.1847888123605944,0.21218129854465353,0.006891655347620151,0.008773202221858779,0.03224094534372739,0.09481849789823293,0.9995916601246959,0.047992097475973695,0.21156149945304845,0.0969634445051984,0.36383531567830174
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95,0.35,0.3891595264313936,-0.002284468156095676,0.8511596820842235,0.002128953283486057,0.22595872019580202,0.20627987922671573,0.004701171429150296,0.00749940773720281,0.02480985292753282,0.0695006693899769,0.9996374361446744,0.039993843012337715,0.21041762740086992,0.07790395189944786,0.35204232259295176
optuna_top500_minus_current_raw,positive_delta_x_lf_slope_hard_q50,0.5,0.38916651897739696,-0.002277475610092339,0.8505269957358857,0.0014962669351482605,0.221256038647343,0.13840155945419103,0.004812888295482492,0.004812888295482496,0.020404854985437215,0.10987206167475794,0.9996742347316087,0.043764589992523334,0.2216333606011748,0.0568897903045581,0.25095294473846846
optuna_top500_minus_current_raw,log2fc_33_pred_hard_q80,0.5,0.3891732881540158,-0.0022707064334734905,0.8508379322855221,0.0018072034847845808,0.2,0.18128654970760233,0.00544771642371164,0.008372111961098806,0.033632354708737655,0.13439114385922402,0.9990821685780601,0.036985583503997055,0.12161822235343163,0.07319867579014196,0.2047763385991386
optuna_top500_minus_current_raw,positive_delta_x_lf_mean_soft_q50_to_q95,0.35,0.3891768373601094,-0.0022671572273799123,0.8509751476640086,0.0019444188632711246,0.14573590116248866,0.20459130980307577,0.009142617954619422,0.009142617954619426,0.03401945600471095,0.09891642472133455,0.9996357473206364,0.05878769517346756,0.26545565243364533,0.10827989043404831,0.41594522826057084
optuna_top500_minus_current_raw,positive_delta_x_log2fc_33_pred_hard_q70,0.35,0.3891979803624293,-0.002246014225059989,0.85045631760709,0.0014255888063524624,0.18019323671497584,0.21637426900584794,0.008375898661452701,0.008375898661452696,0.038378668340776655,0.10204490743932038,0.9994034895726672,0.047630016437860793,0.18838655170067398,0.08702353341415563,0.29121565760955026
optuna_top500_minus_current_raw,lf_slope_hard_q70,0.5,0.389224856886599,-0.0022191377008902724,0.8517441364204689,0.0027134076197313783,0.3,0.1286549707602339,-0.003082478293116831,0.004912561975056293,0.011705717203883923,0.14843175594660174,0.9993470472956063,0.009808968385867516,0.03262296409508545,0.035880115569893185,0.12418910189314682
optuna_top500_minus_current_raw,positive_delta_x_lf_mean_hard_q70,0.25,0.38923297271317703,-0.002211021874312269,0.8510052465135874,0.0019745177128499547,0.19758454106280193,0.28654970760233917,0.009289978341305655,0.009289978341305658,0.04091002107281536,0.08664672813106833,0.9995160185848866,0.06779249835105247,0.2847675528076928,0.11703580437881929,0.4213318446445095
optuna_top500_minus_current_raw,log2fc_33_pred_hard_q50,0.15,0.38924714548580497,-0.0021968491016843283,0.8513606065928493,0.002329877792111801,0.5,0.4775828460038986,0.004493032638888879,0.007779028970405367,0.02608143658834976,0.054865365968446156,0.9996931673379299,0.04906085252018938,0.27517683700318524,0.09007216472387174,0.4379559890801164
optuna_top500_minus_current_raw,lf_slope_hard_q60,0.35,0.3892838846263765,-0.0021601099611128216,0.851327084421497,0.0022963556207594715,0.4,0.21052631578947367,-0.0027271130951901134,0.005746481489728226,0.01944513806553374,0.1280191872597083,0.999539128808565,0.029158354920154554,0.11954011467604109,0.05570936567910707,0.21035604823159165
optuna_top500_minus_current_raw,log2fc_33_pred_hard_q70,0.25,0.3892901672606894,-0.0021538273267999175,0.8508944601769741,0.0018637313762366325,0.3,0.2826510721247563,0.00488707112984726,0.007078498386513746,0.03094277757766975,0.07288921959951455,0.9995577947584592,0.03409154847345943,0.1666593004185682,0.06943884516595482,0.2888983504528997
seed10_top500_minus_current_raw,positive_delta_x_log2fc_33_pred_hard_q60,0.5,0.3893192335238413,-0.0021247610636480063,0.8505980560658527,0.0015673272651152148,0.23647342995169082,0.20662768031189083,0.010632863533990029,0.010632863533990022,0.048167197155339105,0.19596079696601887,0.9992258963922453,-0.037588370400497076,-0.08459199770723373,0.004337146906759048,0.021185748762584833
optuna_top500_minus_current_raw,lf_slope_hard_q50,0.25,0.38933707443127114,-0.0021069201562181616,0.8512333646355444,0.002202635834806954,0.5,0.36257309941520466,-0.0026353214611366713,0.007448209756619175,0.027469034779126218,0.09144227661407811,0.9995664166496008,0.05506528425092992,0.24442750487866205,0.08492721120836656,0.34081848626141337
seed10_top500_minus_current_raw,lf_mean_hard_q50,0.35,0.38933734631621864,-0.0021066482712706613,0.8516263836219324,0.002595654821194948,0.5,0.5263157894736842,0.0032359911554249417,0.018617564813016907,0.05781157981213544,0.1371725578762133,0.9983075316574512,-0.11876567661951516,-0.2608421675615539,-0.06966046053808404,-0.13579339003924598
