feature,family,selected_folds,gain_mean,gain_std,gain_nonzero_folds,gain_share_pct
mordred__JGI2,mordred,4,12.68192983994013,8.394910516340648,5,0.029695829594109317
chemeleon_227,chemeleon,4,12.6338524556224,4.88679221541989,5,0.029583252263210243
mordred__piPC4,mordred,2,12.591746659183991,9.576685985819134,5,0.02948465791899448
mordred__EState_VSA6,mordred,3,12.509434753004461,8.318734988087735,5,0.029291917510371846
mordred__Xp-6dv,mordred,3,12.50557113137911,8.218849748819453,5,0.029282870507995187
chemeleon_259,chemeleon,4,12.502320821557078,6.22918625275165,5,0.029275259627961837
mordred__ETA_shape_y,mordred,4,12.487620449724636,8.511921420656822,5,0.02924083744282
chemeleon_132,chemeleon,2,12.46248369510431,14.172313549302482,5,0.029181977569663845
mordred__ATSC3s,mordred,1,12.459783916669403,15.552866274659147,5,0.029175655806229044
mordred__GATS2v,mordred,2,12.458701410913637,12.784018191035456,5,0.029173121025886966
mordred__Xp-4dv,mordred,3,12.445007894070296,9.436831865011595,5,0.029141056478309727
chemeleon_215,chemeleon,5,12.430842893942463,3.3277094103369764,5,0.02910788791206582
mordred__GATS1c,mordred,4,12.4145676766826,10.475103258511567,5,0.029069778090890664
mordred__SpDiam_A,mordred,4,12.405863614606641,11.17386081465219,5,0.029049396780834038
chemeleon_043,chemeleon,5,12.347390629021174,2.912685026462554,5,0.02891247725535801
chemeleon_167,chemeleon,5,12.33288169457228,2.7897965205034394,5,0.028878503337316806
chemeleon_189,chemeleon,4,12.314598461589776,5.362027169456494,5,0.028835691574601648
chemeleon_008,chemeleon,3,12.294946829193941,7.6835451411783895,5,0.028789675586953226
mordred__ZMIC4,mordred,4,12.27655479633322,6.627731844826275,5,0.028746609059964477
chemeleon_296,chemeleon,4,12.273906808961328,5.738792872243666,5,0.02874040856975869
chemeleon_284,chemeleon,4,12.271825498533872,6.085434367513215,5,0.028735535002362693
mordred__ATSC2i,mordred,5,12.270442848274978,4.275843697874816,5,0.028732297407848727
chemeleon_040,chemeleon,2,12.26853792507536,10.202277439158035,5,0.028727836866319186
chemeleon_234,chemeleon,2,12.193752155271795,13.127075031439073,5,0.028552719553403865
mordred__GATS5c,mordred,5,12.18207662590794,3.779688903505404,5,0.028525380297093034
mordred__IC4,mordred,2,12.152984874859976,13.947734976082202,5,0.028457259459600794
chemeleon_244,chemeleon,3,12.146532229075092,6.883872398326251,5,0.028442150034451982
chemeleon_164,chemeleon,4,12.13390179262351,4.074618755813642,5,0.02841257478105607
mordred__AATS7i,mordred,4,12.040238253764619,6.940018234732066,5,0.028193253548070285
chemeleon_034,chemeleon,3,12.025931262248923,8.945492349586965,5,0.028159752496777886
mordred__AATS3p,mordred,2,12.019120804716295,14.622108170505735,5,0.02814380522464349
chemeleon_085,chemeleon,4,12.007193702442601,4.682213091808501,5,0.028115876888724484
mordred__MDEC-23,mordred,3,12.000678398867603,5.487594907220775,5,0.028100620744970422
chemeleon_105,chemeleon,4,11.89549933514645,8.085080915728838,5,0.027854334919977557
mordred__VSA_EState5,mordred,4,11.879660658771536,5.289156233861924,5,0.027817247296834866
chemeleon_266,chemeleon,3,11.853348889017798,6.083975878636241,5,0.027755636024671407
mordred__GATS4i,mordred,3,11.821525540936273,6.637459186938065,5,0.027681118917758644
boltz_tier1__pae_pocket_ligand_std,boltz_tier1_conf,5,11.793425292451866,0.7281033150145443,5,0.02761531976880601
chemeleon_238,chemeleon,4,11.78526308638393,6.190505090123071,5,0.027596207261201523
chemeleon_290,chemeleon,3,11.747274844919593,5.615833412030379,5,0.027507254526141275
mordred__ATSC8dv,mordred,4,11.731398503698438,5.506821193022873,5,0.027470078707521262
chemeleon_220,chemeleon,5,11.695284613013063,3.2861830687142377,5,0.02738551492603781
chemeleon_291,chemeleon,3,11.676653129282204,9.781391848899283,5,0.02734188770423955
mordred__ATSC8c,mordred,4,11.63626163616791,6.686184252201445,5,0.027247307548718097
chemeleon_062,chemeleon,3,11.599967880561598,5.399489857410145,5,0.027162322598050653
mordred__IC2,mordred,4,11.572795146457064,6.74939398649822,5,0.0270986953038014
chemeleon_041,chemeleon,3,11.503674572808814,7.923647001892746,5,0.02693684353499243
chemeleon_073,chemeleon,3,11.494720918886014,6.7275942639975845,5,0.026915877784157036
mordred__SaaN,mordred,3,11.488319871320709,8.875357891624674,5,0.026900889180677744
mordred__ATSC8se,mordred,2,11.485532011412579,8.798285999512947,5,0.026894361166896804
chemeleon_159,chemeleon,2,11.476043435665634,8.211288889533225,5,0.02687214285059729
chemeleon_088,chemeleon,4,11.471883918117237,4.579850635008714,5,0.02686240298246445
mordred__PEOE_VSA2,mordred,3,11.446548094450554,7.1083478270695295,5,0.02680307697201273
boltz_tier1__pde_intra_ligand_max,boltz_tier1_conf,5,11.440050944797985,3.0337065524152385,5,0.026787863337229607
chemeleon_168,chemeleon,4,11.43733077966608,6.118391820949619,5,0.026781493836590158
chemeleon_023,chemeleon,5,11.430709774466232,2.9908608657818934,5,0.026765990183389272
mordred__SssO,mordred,2,11.391542796908471,14.043356448926103,5,0.026674277336373783
mordred__VE1_A,mordred,4,11.362093140091748,5.970682495999033,5,0.026605318431737666
chemeleon_150,chemeleon,4,11.30562910544395,7.0871574642177695,5,0.02647310303768808
mordred__C2SP2,mordred,3,11.303413660293154,10.568459233037876,5,0.02646791538229939
chemeleon_177,chemeleon,2,11.296267576696119,8.308821850924453,5,0.026451182212865312
chemeleon_056,chemeleon,4,11.264535145106857,4.667435717673972,5,0.02637687799473963
chemeleon_026,chemeleon,3,11.260427886607067,6.023832948229918,5,0.026367260495664326
chemeleon_245,chemeleon,4,11.257155173851789,5.524797110426931,5,0.026359597157235726
chemeleon_038,chemeleon,4,11.240704271297727,3.3110089476775078,5,0.026321075953832113
mordred__MAXsCH3,mordred,2,11.21581246628557,10.097245041289987,5,0.026262789651253553
boltz_tier1__plddt_pocket_p10,boltz_tier1_conf,2,11.20858661593993,8.851630026241134,5,0.026245869701116246
mordred__SIC2,mordred,3,11.20806658024885,9.267322879368033,5,0.026244651992813162
chemeleon_190,chemeleon,4,11.19979052298586,4.142342489524551,5,0.026225272892842204
chemeleon_267,chemeleon,4,11.122042420235449,4.5109349692073435,5,0.026043219022517973
chemeleon_123,chemeleon,2,11.119703262645999,6.869599263950524,5,0.026037741683812683
mordred__ATSC1pe,mordred,4,11.107943166090262,4.748474956230742,5,0.026010204406147767
mordred__AATS3d,mordred,2,11.105768593909307,15.360319084693673,5,0.02600511245833377
rdkit__MaxAbsPartialCharge,rdkit_full,3,11.103827776414619,6.7621667642246335,5,0.02600056786722477
chemeleon_253,chemeleon,3,11.074532928366533,6.841746850978307,5,0.02593197146063675
mordred__GATS5i,mordred,3,11.023351520406141,7.204879939337451,5,0.025812125791376563
chemeleon_283,chemeleon,5,11.021414473948244,1.9271938411249023,5,0.025807590030474586
chemeleon_195,chemeleon,3,10.999918929252454,6.037612045734093,5,0.025757256363566225
chemeleon_216,chemeleon,4,10.988778365157486,2.9636131745910816,5,0.025731169774449128
chemeleon_029,chemeleon,4,10.981645753238263,4.786624434002655,5,0.025714468150107448
mordred__Xp-4d,mordred,1,10.92132991350518,14.82989735490619,5,0.0255732334231262
mordred__AATSC1se,mordred,3,10.901877447403603,8.732275030111655,5,0.02552768380048767
chemeleon_121,chemeleon,4,10.899251721886685,7.225077022844516,5,0.025521535438330224
chemeleon_182,chemeleon,3,10.880804256934061,7.604139699210895,5,0.02547833911233013
mordred__ATSC7p,mordred,5,10.850340851722285,2.7222775377587527,5,0.025407006428626408
mordred__ATSC3dv,mordred,3,10.848881646633526,8.004086646395018,5,0.025403589574393214
mordred__AATSC2d,mordred,2,10.82871304038199,10.813918824116602,5,0.02535636304799263
chemeleon_176,chemeleon,3,10.80862153049893,5.860573888849842,5,0.025309317049370506
chemeleon_093,chemeleon,4,10.803187043925572,6.199611948364106,5,0.025296591731595472
mordred__Mi,mordred,2,10.74992603548817,11.171650121269638,5,0.025171876498935344
mordred__ZMIC2,mordred,4,10.732424492853898,4.358798394433509,5,0.02513089513140999
chemeleon_257,chemeleon,4,10.71372881232819,5.735246117162284,5,0.025087117587294518
mordred__SRW08,mordred,1,10.701719567186956,17.195293242673785,5,0.025058996906785404
chemeleon_230,chemeleon,4,10.697166522177577,5.365675667651767,5,0.025048335560252245
chemeleon_236,chemeleon,4,10.67738959477283,4.36648089699792,5,0.02500202618356283
mordred__BCUTc-1l,mordred,5,10.675305101472622,4.185150174324034,5,0.02499714516319651
mordred__ATSC4se,mordred,2,10.666669156867282,13.450373868596563,5,0.02497692335605666
mordred__SsssN,mordred,3,10.645254015457613,5.7434425537443135,5,0.024926777960358883
mordred__BCUTp-1l,mordred,3,10.635389492232935,8.260354398953067,5,0.024903679330702012
mordred__Xch-7d,mordred,4,10.60429251410351,3.766065707251442,5,0.02483086308151296
chemeleon_148,chemeleon,5,10.586120490215398,1.403312016009669,5,0.0247883117244583
chemeleon_285,chemeleon,3,10.575714000294102,5.869014438548652,5,0.024763944033162427
mordred__AATS5Z,mordred,1,10.572244930520537,16.316955630301344,5,0.024755820907885275
boltz_tier1__plddt_protein_std,boltz_tier1_conf,3,10.549033617882378,8.030346091895487,5,0.024701469622752978
mordred__AATS4d,mordred,2,10.528699358948506,12.066771527000789,5,0.024653855206347598
mordred__CIC2,mordred,2,10.491818305520429,7.507731396545596,5,0.02456749504731232
mordred__JGI8,mordred,3,10.480183653960557,6.701413011205878,5,0.024540251509895743
boltz_tier1__pde_pocket_ligand_max,boltz_tier1_conf,3,10.46619985651996,4.113341163367231,5,0.024507507245330684
chemeleon_152,chemeleon,4,10.425503332095468,4.689631736544295,5,0.024412212832758226
mordred__JGT10,mordred,3,10.415600269394053,5.645352188747193,5,0.02438902395960149
boltz_tier0__ptm,boltz_tier0,4,10.399637613164668,4.5647773376257925,5,0.024351646026965063
chemeleon_166,chemeleon,3,10.39523899045671,5.788754904290905,5,0.024341346273533775
chemeleon_223,chemeleon,4,10.330479935940094,4.425266950229873,5,0.024189707376940563
chemeleon_202,chemeleon,3,10.304158912077764,6.5243455214798525,5,0.024128074435485817
chemeleon_095,chemeleon,3,10.297587070395457,4.493296794858404,5,0.0241126859028902
chemeleon_242,chemeleon,3,10.28075318435658,3.5715172195226534,5,0.024073267910713424
chemeleon_287,chemeleon,3,10.261083138554023,5.506405883247422,5,0.024027208806489283
chemeleon_280,chemeleon,3,10.258270229048502,3.256289830450328,5,0.024020622136921334
chemeleon_068,chemeleon,2,10.248141949703859,9.86404876875272,5,0.0239969058996218
mordred__MID_N,mordred,3,10.240129602990782,7.450425576311183,5,0.023978144300587315
chemeleon_018,chemeleon,4,10.238813736642623,3.9414827160157677,5,0.023975063086344943
boltz_tier1__plddt_res407,boltz_tier1_conf,3,10.220642855518236,5.859367936477877,5,0.02393251440516984
mordred__Xpc-6dv,mordred,4,10.203866706696862,3.941834792347371,5,0.023893231609654293
chemeleon_037,chemeleon,5,10.193483728122374,1.6932177456753448,5,0.023868918972199362
mordred__MW,mordred,1,10.192458256542158,15.56443939864392,5,0.023866517742285303
chemeleon_016,chemeleon,4,10.17877086039589,5.177304505155268,5,0.023834467526846752
chemeleon_258,chemeleon,3,10.175181467381117,7.918108518553797,5,0.023826062654350354
chemeleon_104,chemeleon,4,10.154750009068811,4.722213930728464,5,0.023778220637239476
mordred__MATS8dv,mordred,2,10.143350307854416,9.910381584180627,5,0.023751527256266784
mordred__VSA_EState2,mordred,5,10.132925674422586,2.021976154809241,5,0.023727117080380323
chemeleon_030,chemeleon,3,10.126985545584466,6.590382645597141,5,0.023713207757748028
boltz_tier1__plddt_res323,boltz_tier1_conf,4,10.115228758887678,4.542181789180535,5,0.02368567823040255
mordred__GATS7Z,mordred,3,10.056072868382762,5.554050224344536,5,0.023547159624315535
chemeleon_260,chemeleon,4,10.046725182609952,3.6968828197983408,5,0.023525271214009526
chemeleon_199,chemeleon,4,9.999630605653511,3.86531573525251,5,0.023414995211086004
chemeleon_179,chemeleon,4,9.988589788637181,2.709899552598837,5,0.023389142188333576
mordred__MATS6d,mordred,3,9.969822680451035,5.742742390302409,5,0.023345197390207125
mordred__AETA_eta_L,mordred,2,9.946507030109933,9.874097458054479,5,0.023290601789368467
mordred__TIC1,mordred,3,9.945066708279773,6.359106714458567,5,0.023287229151909585
chemeleon_192,chemeleon,3,9.939823503348453,3.2729458718547946,5,0.023274951736553043
mordred__GATS7dv,mordred,3,9.912814984247234,6.1879027632787205,5,0.02321170896585949
chemeleon_107,chemeleon,3,9.893758530461492,6.9790662773595855,5,0.023167086640122663
mordred__MATS8pe,mordred,1,9.876965102502435,12.551673590396621,5,0.023127763384019912
chemeleon_299,chemeleon,3,9.873635617756008,6.618032332705326,5,0.023119967109090627
mordred__GATS7i,mordred,4,9.835262227398925,3.675291189202474,5,0.023030112514768285
mordred__GATS3are,mordred,3,9.835123986817052,9.31664099746959,5,0.023029788812554658
