global_feature_idx,feature,family,mean_abs_shap,mean_shap,max_abs_shap,lgbm_gain
834,mordred_534,mordred,0.1364628004502228,-0.10861284750151316,0.6468845248568984,13.21401377976872
175,chemeleon_175,chemeleon,0.13584475968842488,-0.09205020942172752,0.81623040865142,174.56806412985316
1816,pose_jazzy_1,pose_jazzy,0.13534644108251892,0.07221828106687296,1.1224097011937773,13.748621230450226
115,chemeleon_115,chemeleon,0.13502934835673572,0.08104700658761106,0.9780527111313156,12.8347884772229
147,chemeleon_147,chemeleon,0.13501228533626145,0.01523528299029655,0.7679230730367045,31.75952402682742
457,mordred_157,mordred,0.1349099184076533,0.05694929555146,0.6835785261070083,22.050029277801514
48,chemeleon_48,chemeleon,0.13423735173145465,0.019228649837508167,0.6988375963140323,15.840044450655114
447,mordred_147,mordred,0.13397415060629203,-0.03607193231626432,0.9242601509469284,17.04486983024981
1243,mordred_943,mordred,0.13377417577021475,0.00861231406885953,0.583046487910928,20.220530570775736
932,mordred_632,mordred,0.13319324873889538,0.11079691665111585,1.1205933281073097,33.03982588989311
262,chemeleon_262,chemeleon,0.1327354446666669,-0.058486231010179045,0.40228678550513236,17.257052825327264
136,chemeleon_136,chemeleon,0.13271040623494804,0.10173791833119054,0.7278169386464448,22.010831982042873
263,chemeleon_263,chemeleon,0.13248264115670455,0.04528305525035083,0.5929479597932307,34.74295286042616
753,mordred_453,mordred,0.1324467534460044,0.06866089661941874,0.9403484514031331,31.225654217239935
876,mordred_576,mordred,0.13196320369363013,-0.108349929661379,0.7043007848812852,13.50824982195627
2052,boltz_tier0_14,boltz_tier0,0.13180408500215576,0.03804302100191783,0.6071513317736871,35.43263672129251
24,chemeleon_24,chemeleon,0.1310628187684106,0.03597392963205021,0.5306892289313252,9.277881819056347
195,chemeleon_195,chemeleon,0.13099241929131297,-0.002403140037482416,0.6561203771200363,9.127290327218361
291,chemeleon_291,chemeleon,0.1309912364957599,0.004912290440070423,0.7001104792589637,13.865075000183424
86,chemeleon_86,chemeleon,0.13092544821999055,0.06165700342972747,0.7514405403869816,38.15696287441824
277,chemeleon_277,chemeleon,0.12997192489102882,0.007966024233644448,0.7681806276032703,13.226118898397544
2003,rdkit_182,rdkit,0.12990921844488476,-0.036210976335060686,0.46173083111104973,26.20912597363349
