global_feature_idx,feature,family,lgbm_gain
2077,boltz_tier1_20,boltz_tier1,17.67435645670048
734,mordred_434,mordred,17.63489401145489
1711,mordred_1411,mordred,17.614884306647582
65,chemeleon_65,chemeleon,17.597882284026127
901,mordred_601,mordred,17.49548254691763
267,chemeleon_267,chemeleon,17.49300339911133
806,mordred_506,mordred,17.444441145838937
535,mordred_235,mordred,17.393347123637795
1180,mordred_880,mordred,17.366876831190893
853,mordred_553,mordred,17.271946861874312
262,chemeleon_262,chemeleon,17.257052825327264
725,mordred_425,mordred,17.203361223859247
178,chemeleon_178,chemeleon,17.16163089175825
1232,mordred_932,mordred,17.10829411863233
447,mordred_147,mordred,17.04486983024981
285,chemeleon_285,chemeleon,16.971211399912136
286,chemeleon_286,chemeleon,16.952812379633542
767,mordred_467,mordred,16.947423631267156
1184,mordred_884,mordred,16.91928007383831
266,chemeleon_266,chemeleon,16.7804684539733
1245,mordred_945,mordred,16.740316355862888
371,mordred_71,mordred,16.636391892650863
849,mordred_549,mordred,16.63593008677708
210,chemeleon_210,chemeleon,16.577439823828172
2044,boltz_tier0_6,boltz_tier0,16.558370492130052
845,mordred_545,mordred,16.494520686217584
238,chemeleon_238,chemeleon,16.483788950528833
163,chemeleon_163,chemeleon,16.452755627658917
293,chemeleon_293,chemeleon,16.422813673096243
1584,mordred_1284,mordred,16.393303780874703
0,chemeleon_0,chemeleon,16.370079571497627
1734,mordred_1434,mordred,16.324295750644524
754,mordred_454,mordred,16.284277870319784
35,chemeleon_35,chemeleon,16.264288830876467
150,chemeleon_150,chemeleon,16.2471685167111
917,mordred_617,mordred,16.18440990781528
839,mordred_539,mordred,16.12359807800385
534,mordred_234,mordred,16.07109119737288
885,mordred_585,mordred,16.0706889568537
2004,rdkit_183,rdkit,16.067406235350063
1982,rdkit_161,rdkit,15.970235314685851
685,mordred_385,mordred,15.938776041992242
296,chemeleon_296,chemeleon,15.912427062256029
48,chemeleon_48,chemeleon,15.840044450655114
96,chemeleon_96,chemeleon,15.80334141923231
38,chemeleon_38,chemeleon,15.727934099500999
204,chemeleon_204,chemeleon,15.721541819599224
1331,mordred_1031,mordred,15.675692461285507
124,chemeleon_124,chemeleon,15.65009159251349
94,chemeleon_94,chemeleon,15.630430544144474
873,mordred_573,mordred,15.629902148502879
602,mordred_302,mordred,15.533472630893812
209,chemeleon_209,chemeleon,15.487731433240697
386,mordred_86,mordred,15.448675274848938
1332,mordred_1032,mordred,15.423382893728558
775,mordred_475,mordred,15.379105876578251
109,chemeleon_109,chemeleon,15.283743826090358
