compound,qha,template_pdb,template_ccd,mcs_atoms,mcs_coverage,source,template_rmsd,rocs_inplace_shape,rocs_inplace_color,rocs_inplace_combo,rocs_best_shape,rocs_best_color,rocs_best_combo,skipped,error
x00358-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_3,4.559719797533424,0.26731327176094055,0.003116257255896926,0.2704295290168375,0.3939400017261505,0.1432042121887207,0.5371442139148712,,
x00358-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_4,4.692622931267935,0.268564909696579,0.006721955724060535,0.2752868654206395,0.39701157808303833,0.14337198436260223,0.5403835624456406,,
x00358-1,13,6S41,KUB,8.0,0.6153846153846154,gnina_refined,4.638100325616164,0.2889642119407654,0.003739847568795085,0.29270405950956047,0.38681983947753906,0.14419807493686676,0.5310179144144058,,
x00358-1,13,6S41,KUB,8.0,0.6153846153846154,template_transferred,0.047128997832761456,0.40111610293388367,0.18164794147014618,0.5827640444040298,0.3801177144050598,0.1610735058784485,0.5411912202835083,,
x00370-1,18,6HTY,GRH,10.0,0.5555555555555556,boltz_model_0,4.362446054350301,0.21517859399318695,0.01322372630238533,0.22840232029557228,0.4097360372543335,0.23322193324565887,0.6429579704999924,,
x00370-1,18,6HTY,GRH,10.0,0.5555555555555556,boltz_model_1,4.262314162749964,0.18242479860782623,0.009447152726352215,0.19187195133417845,0.6249008178710938,0.12192434072494507,0.7468251585960388,,
x00370-1,18,6HTY,GRH,10.0,0.5555555555555556,boltz_model_2,4.334638449220165,0.18069246411323547,0.008214229717850685,0.18890669383108616,0.3957420289516449,0.24129261076450348,0.6370346397161484,,
x00370-1,18,6HTY,GRH,10.0,0.5555555555555556,boltz_model_3,4.511751628986193,0.1829218715429306,0.0071669877506792545,0.19008885929360986,0.5285918712615967,0.23797278106212616,0.7665646523237228,,
x00370-1,18,6HTY,GRH,10.0,0.5555555555555556,boltz_model_4,4.750450766807165,0.17872026562690735,0.02326112426817417,0.20198138989508152,0.5793178677558899,0.12613186240196228,0.7054497301578522,,
x00370-1,18,6HTY,GRH,10.0,0.5555555555555556,gnina_refined,4.029467573205856,0.16600759327411652,0.024730686098337173,0.1907382793724537,0.6325018405914307,0.13330839574337006,0.7658102363348007,,
x00370-1,18,6HTY,GRH,10.0,0.5555555555555556,template_transferred,0.07385783269686153,0.3575649559497833,0.2133583277463913,0.5709232836961746,0.3567664921283722,0.19546397030353546,0.5522304624319077,,
x00406-1,16,,,,,,,,,,,,,mcs_below_threshold,
x00409-1,15,,,,,,,,,,,,,mcs_below_threshold,
x00433-1,15,6TFI,N6H,8.0,0.5333333333333333,boltz_model_0,7.8686402379462335,0.222726970911026,0.0418580025434494,0.2645849734544754,0.41557416319847107,0.37747642397880554,0.7930505871772766,,
x00433-1,15,6TFI,N6H,8.0,0.5333333333333333,boltz_model_1,7.888044847436531,0.2300533801317215,0.02708245813846588,0.2571358382701874,0.4805753529071808,0.370813250541687,0.8513886034488678,,
x00433-1,15,6TFI,N6H,8.0,0.5333333333333333,boltz_model_2,7.824097811738157,0.22781892120838165,0.044208280742168427,0.2720272019505501,0.3951422870159149,0.3746646046638489,0.7698068916797638,,
x00433-1,15,6TFI,N6H,8.0,0.5333333333333333,boltz_model_3,7.821512784524645,0.2332141399383545,0.047768253833055496,0.28098239377141,0.5031808614730835,0.26835599541664124,0.7715368568897247,,
x00433-1,15,6TFI,N6H,8.0,0.5333333333333333,boltz_model_4,8.067919561034682,0.23849812150001526,0.03616249933838844,0.2746606208384037,0.33533036708831787,0.25014519691467285,0.5854755640029907,,
x00433-1,15,6TFI,N6H,8.0,0.5333333333333333,gnina_refined,7.495109037962772,0.21842482686042786,0.049853645265102386,0.26827847212553024,0.41568273305892944,0.3774702847003937,0.7931530177593231,,
x00433-1,15,6TFI,N6H,8.0,0.5333333333333333,template_transferred,0.06359272663892884,0.5081106424331665,0.345381498336792,0.8534921407699585,0.5447884798049927,0.3956771194934845,0.9404655992984772,,
x00462-1,15,5X0R,4WH,9.0,0.6,boltz_model_0,11.215829099384857,0.08242536336183548,1.586978328305122e-06,0.08242695034016378,0.43705305457115173,0.19731277227401733,0.6343658268451691,,
