variable,bin,n,value_min,value_max,mae,mean_residual,mean_pec50,mean_pred,mean_member_std
fractioncsp3,Q3,798,0.3181818127632141,0.4000000059604645,0.38272570775779696,-0.050689694295037384,4.445488721804511,4.496178416099549,0.20219451135168678
fractioncsp3,Q4,847,0.40909090638160706,0.529411792755127,0.38510278553266974,0.015935319898556108,4.491883116883117,4.47594779698456,0.20681744745362227
fractioncsp3,Q5,794,0.5333333611488342,1.0,0.38149663851367316,-0.008695344076051298,4.241586901763224,4.2502822458392755,0.20705662127466012
num_heavy_atoms,Q1,1194,4.0,22.0,0.4065783576515295,-0.02010584931142031,3.708433835845897,3.7285396851573163,0.19239679578317992
num_heavy_atoms,Q2,956,23.0,24.0,0.37982093897036595,-0.004589631797195362,4.539963389121339,4.544553020918534,0.19167856041700695
num_heavy_atoms,Q3,509,25.0,25.0,0.3806033147053745,-0.014371578236762238,4.570255402750491,4.584626980987252,0.2030633328892801
num_heavy_atoms,Q4,719,26.0,27.0,0.3555189207568357,-0.008583083514694992,4.571043115438108,4.579626198952804,0.20317976777239605
num_heavy_atoms,Q5,762,28.0,123.0,0.45412073944816406,-0.017920837156013315,4.602694953040509,4.6206157901965215,0.24659719260634452
num_heteroatoms,Q1,1217,1.0,5.0,0.3786930616838058,-0.025194047233954416,4.107140509449466,4.13233455668342,0.18708655783023842
num_heteroatoms,Q2,917,6.0,6.0,0.3862571465562555,0.011841354988863162,4.510447110141767,4.498605755152903,0.20524257567896162
num_heteroatoms,Q3,865,7.0,7.0,0.37600837343930865,-0.01378099890224603,4.503705202312139,4.517486201214385,0.2063201315951801
num_heteroatoms,Q4,534,8.0,8.0,0.413924679893532,-0.030753270862648622,4.361507490636704,4.392260761499353,0.21063254859913388
num_heteroatoms,Q5,607,9.0,28.0,0.46556555158298457,-0.012175744165374437,4.166307338083801,4.178483082249175,0.23637981976940717
num_rotatable_bonds,Q1,1342,0.0,3.0,0.4250871960595681,-0.03524616100868032,4.064865871833084,4.100112032841765,0.19968082200704848
num_rotatable_bonds,Q2,950,4.0,4.0,0.3740150024465962,0.00939321721361573,4.502736842105263,4.493343624891648,0.20195093692627408
num_rotatable_bonds,Q3,778,5.0,5.0,0.3833853087010616,0.014894925558378498,4.460885031127079,4.445990105568701,0.20261545871610523
num_rotatable_bonds,Q4,550,6.0,6.0,0.3788675399233573,-0.019875859388711555,4.430590909090909,4.45046676847962,0.19732608772691163
num_rotatable_bonds,Q5,520,7.0,23.0,0.4067622784554202,-0.034261265496783724,4.3233173076923075,4.357578573189092,0.2390957688739531
num_rings,Q1,1052,0.0,2.0,0.39855442232791605,-0.01096831867168331,3.674718207430482,3.685686526102166,0.1895508901361229
num_rings,Q2,1696,3.0,3.0,0.372796905843886,-0.011272933739355905,4.483573113207547,4.494846046946903,0.19823145603730946
num_rings,Q3,1137,4.0,4.0,0.41490717870626764,-0.027060075590172247,4.588056288478452,4.615116364068625,0.21563604037252662
num_rings,Q4,255,5.0,14.0,0.47316197871009036,0.023093146871254314,4.712176470588235,4.6890833237169804,0.2726775074226094
member_std,Q1,828,0.026430031141425017,0.10914947629416873,0.3084183828326172,-0.016613059841352404,4.157192028985507,4.173805088826859,0.08413666435221628
member_std,Q2,828,0.10929877670293386,0.14933399976168713,0.3138342108326901,0.012908792156539487,4.675434782608696,4.662525990452155,0.12893587592946176
member_std,Q3,828,0.14934321432521822,0.19738916584889235,0.33775954523937973,-0.005264129176114415,4.555899758454106,4.5611638876302205,0.17121937747398552
member_std,Q4,828,0.1974481278780735,0.29113918565762464,0.4325795070012738,-0.016505565303757425,4.30623617659042,4.322741741894177,0.23856647095295672
member_std,Q5,828,0.29125726508310384,1.0653115316695174,0.5928534885871524,-0.04159864696383511,3.9093055555555556,3.950904202519391,0.40409695930926176
member_range,Q1,828,0.08010292053222656,0.3518803119659424,0.30695254652315423,-0.004735717208645537,4.205356280193237,4.210091997401882,0.08557497798416237
member_range,Q2,828,0.3520240783691406,0.4805464744567871,0.32103435016638415,0.004801080341489323,4.615398550724637,4.610597470383149,0.13019087555945125
member_range,Q3,828,0.4806075096130371,0.6389975547790527,0.3292782035793598,-0.006631446018277444,4.570271739130435,4.576903185148712,0.1710097438078853
member_range,Q4,828,0.6392030715942383,0.9315266609191895,0.44104704069560785,-0.022511338144839837,4.2776069495372795,4.300118287682119,0.23904709542293118
member_range,Q5,828,0.9332942962646484,2.7649688720703125,0.5871329935286071,-0.037995188098246396,3.9354347826086955,3.973429970706942,0.40113265524345193
family_gap,Q1,828,-1.636091629664103,-0.1595460573832197,0.5454106445348786,-0.11702831313092991,3.707898550724638,3.824926863855567,0.29250961012500637
family_gap,Q2,828,-0.15948088963826468,-0.045415004094442324,0.37506178343705887,-0.01171092772924394,4.132445652173913,4.144156579903156,0.15646044617693716
