variant,scale,full_mae,full_delta_mae,full_spearman,full_delta_spearman,test_shift_mean,test_abs_shift_mean,test_abs_shift_p90,test_abs_shift_max,test_n_abs_gt_005,test_n_abs_gt_010,id57_spearman,umap_canonical_mae,umap_canonical_delta_mae,public_adv_top513_mae,public_adv_top513_delta_mae,public_testnn_top513_mae,public_testnn_top513_delta_mae,public_log2fc_top513_mae,public_log2fc_top513_delta_mae,public_hybrid_nolabel_top513_mae,public_hybrid_nolabel_top513_delta_mae,public_hybrid_with_y_top513_mae,public_hybrid_with_y_top513_delta_mae,public_chembl_ext_nn_ge025_mae,public_chembl_ext_nn_ge025_delta_mae,public_stress_mean_delta_mae,id56_minus_id55_projection,id56_minus_id55_pearson,id56_minus_id51_projection,id56_minus_id51_pearson
lf_mean_highq50_x_pred_highq60_centered,0.12,0.3895657263590122,-0.0007611569379281646,0.8501687817469493,-0.0003521506041170852,9.69551491290585e-17,0.030015470062943354,0.062198235956924114,0.09476363640091634,73,0,0.9994785977996226,0.3894358781623643,-0.0007616103779467531,0.3648559352732139,-0.004065580522524426,0.3582443558775075,-0.005529338354358204,0.2778471370069044,0.0001682425272044874,0.3259244927319627,-0.0033528129745953317,0.30222407197096063,-0.006086249759565232,0.39379254747659687,-0.0016013068840916578,-0.003411174327988394,0.08958937230154611,0.17455300129846893,0.1537819132126077,0.2672368998498962
lf_mean_clipped_z,0.03,0.38875567154155843,-0.0015712117553819405,0.8506938765207644,0.0001729441696980416,0.003309584594802478,0.0186869325152096,0.03000000000000025,0.03000000000000025,0,0,0.9998339619314176,0.38862776799942667,-0.0015697205408843895,0.3663233808047162,-0.0025981349910221274,0.36004087308281163,-0.0037328211490540997,0.2769699334646275,-0.0007089610150723957,0.3272707398846234,-0.002006565821934647,0.3023522134141961,-0.005958108316329758,0.39380172803159563,-0.001592126329092891,-0.0027661196037509863,0.07405036474507865,0.25689903860881447,0.1277859973200077,0.39010858582971575
lf_mean_high_q70,0.08,0.38976392436180235,-0.0005629589351380249,0.8499391134271889,-0.0005818189238775417,0.013858801043715804,0.013858801043715804,0.05837439522009671,0.08000000000000007,59,0,0.999428821933238,0.38963234315984385,-0.0005651453804672024,0.36695582677901106,-0.001965689016727279,0.36004393524432704,-0.0037297589875386894,0.28003458515461144,0.002355690674911537,0.3286148513646331,-0.0006624543419249673,0.30272422726404075,-0.005586094466485114,0.3949638240503012,-0.0004300303103872971,-0.001669722741358635,0.04575174102238979,0.1575118063162736,0.08023549328312299,0.22650876947573045
lf_max_clipped_z,0.03,0.38895291344301797,-0.0013739698539224077,0.8503733959343597,-0.00014753641670672835,0.002796932705392625,0.0174457134978552,0.03000000000000025,0.03000000000000025,0,0,0.9998139626993879,0.38882495180294163,-0.001372536737369423,0.3669989688051671,-0.001922546990571261,0.3606286401636904,-0.0031450540681753347,0.2769697983506414,-0.0007090961290585063,0.3277647849462049,-0.001512520760353131,0.3027927299557091,-0.005517591774816755,0.3939994040023726,-0.001394450358315924,-0.002366876680215152,0.06581675416128244,0.24092191102845298,0.11166070451539263,0.3599714775036936
lf_mean_high_q60,0.05,0.3895243466713039,-0.0008025366256364519,0.8503563646442934,-0.00016456770677297783,0.010609064927232667,0.010609064927232667,0.0389045318504488,0.04999999999999982,0,0,0.999740543296471,0.3893935944485901,-0.0008038940917209358,0.3667131489555743,-0.0022083668401640666,0.3607126347284007,-0.0030610595034650245,0.27750393256838823,-0.00017496191131166627,0.327967085189292,-0.0013102205172660364,0.3028829152218625,-0.005427406508663357,0.3947133282184169,-0.000680526142271598,-0.002143756903856958,0.03646567699663573,0.19075271306014902,0.06331300556637358,0.27256961180556327
lf_mean_highq50_x_pred_highq60,0.05,0.3895269588378322,-0.0007999244591081478,0.850392490434288,-0.0001284419167784101,0.01051515149961801,0.01051515149961801,0.03643108314833672,0.04999999999999982,0,0,0.9998708494038275,0.3893972379095631,-0.0008002506307479562,0.3658579443888885,-0.0030635714068498188,0.3605491639533858,-0.003224530278479909,0.2763489605536846,-0.0013299339260153253,0.32684511819141754,-0.002432187515140516,0.3028933536191496,-0.0054169681113762636,0.3942996631215612,-0.0010941912391273512,-0.0027602304128315305,0.03148827438053903,0.1745530012984688,0.05956707086711665,0.26723689984989574
lf_max_high_q50,0.05,0.3897579323264536,-0.000568950970486759,0.8500590057067062,-0.0004619266443601777,0.010520630884053066,0.010520630884053066,0.032578775669498405,0.04999999999999982,0,0,0.9997459653104879,0.3896274217263044,-0.0005700668140066756,0.3674270975460254,-0.0014944182497129144,0.361320582425987,-0.002453111805878705,0.27827922976317626,0.0006003352834763609,0.32877551912202585,-0.0005017865845322045,0.303134508362828,-0.005175813367697846,0.3951396710688643,-0.00025418329182425037,-0.0015464963360282598,0.03156896834034579,0.18445747698985296,0.05097866033002686,0.24401182704852223
lf_max_high_q60,0.08,0.390128121665349,-0.00019876163159138205,0.8494944759741277,-0.0010264563769386559,0.01341291528812083,0.01341291528812083,0.04706413067205766,0.08000000000000007,44,0,0.9994196667292422,0.3899966812272259,-0.00020080731308513844,0.36817543761501,-0.0007460781807283601,0.3610996266040702,-0.00267406762779554,0.28175354261847085,0.004074648138770953,0.3301369317477971,0.0008596260412390699,0.30332976301627435,-0.004980558714251515,0.3957178136858901,0.00032395932520157267,-0.0005237451695939699,0.0394340579014883,0.15266122080418434,0.06194618882519818,0.1966048761456323
lf_mean_highq50_x_pred_highq60_centered,0.08,0.3895883226297391,-0.0007385606672012934,0.8503015838011596,-0.00021934854990679487,-1.0734320082145762e-16,0.02001031337529574,0.04146549063794911,0.0631757576006109,32,0,0.9997248994527501,0.3894586065726603,-0.0007388819676507619,0.3657374889007312,-0.0031840268950071304,0.35978682717826477,-0.003986867053600962,0.2765441880059846,-0.0011347064737152746,0.32663665200337777,-0.0026406537031802846,0.30340936479237435,-0.004900956938151513,0.3941057836396336,-0.0012880707210549125,-0.0028558802974516795,0.05972624820103176,0.17455300129847084,0.1025212754750729,0.2672368998498974
lf_max_tilt_highq50_lowq50,0.05,0.38903160960954297,-0.0012952736873974025,0.85008458257526,-0.00043634977580642165,0.0006228336048517292,0.020418428163254405,0.04110214915987616,0.04999999999999982,0,0,0.9996595686281204,0.3889038679140878,-0.0012936206262232353,0.3676929583333296,-0.0012285574624087414,0.36030596919136,-0.0034677250405057425,0.27827922976317626,0.0006003352834763609,0.32868710521289224,-0.0005902004936658156,0.30345421970387054,-0.004856102026655318,0.3941145423905809,-0.0012793119701076106,-0.0018035936183111445,0.07604567988279046,0.221515585376361,0.12694617535146532,0.32901154526723553
