source,gate,gamma,MAE,delta_mae_vs_raw,Spearman_R,train_gate_mean,test_gate_mean,id55_abs_delta_mean,id55_abs_delta_p90,id55_abs_delta_max,id55_spearman,id56_minus_id55_projection,id56_minus_id55_pearson,id56_minus_id51_projection,id56_minus_id51_pearson
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MEAN_num_rings_high_soft_q20,0.25,0.389334408513456,-0.002109586074033276,0.8509800092290832,0.28243664773490074,0.27311523335105725,0.007457672860127908,0.01792389620117465,0.045760534029126276,0.9998463170125379,0.05100824791165383,0.3520780872712484,0.08810173963998447,0.5382036535393099
optuna_top500_minus_current_raw,lf_mean_soft_q50_to_q95_MEAN_positive_delta_AND_num_rings_high_soft_q20,0.25,0.38935012269429026,-0.0020938718931990397,0.8510732441607181,0.20412908559020643,0.21152383338358044,0.0059743620127949,0.019378036021302593,0.04438547750822419,0.9998801823787746,0.03574068144017716,0.29739517968899903,0.06724795593362093,0.47731344950637816
seed10_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MAX_positive_delta_AND_num_rings_high_soft_q20,0.35,0.3893617834921345,-0.00208221109535478,0.8515546632339251,0.3345142007477684,0.33349217433315576,0.01197431943946541,0.03434355427407781,0.11048554612621331,0.9992915827587778,-0.09797122750783968,-0.3404391881949903,-0.06589978711731308,-0.20341691631142997
seed10_top500_minus_current_raw,lf_mean_soft_q50_to_q95_MEAN_positive_delta_AND_num_rings_high_soft_q20,0.5,0.3893865821216644,-0.002057412465824915,0.8514124403436336,0.20887948816669594,0.20275190355901904,0.01050366771196642,0.030658373768539703,0.10516220863711112,0.9995465063030471,-0.07633365036362383,-0.2903767719038376,-0.044293505378123564,-0.1479060845995722
seed10_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MAX_positive_delta_AND_num_rings_high_soft_q20,0.35,0.38939208479505033,-0.002051909792438966,0.8514971417885434,0.3078199439696435,0.29702239715541817,0.010695627351803044,0.03160967500236254,0.11048554612621331,0.9993799349216103,-0.08876545663468385,-0.32742464133583726,-0.05903051126615587,-0.19317602190985161
optuna_top500_minus_current_raw,positive_delta_AND_family_gap_high_soft_q20,0.15,0.3894057453602977,-0.002038249227191591,0.8506238688506161,0.25708674752605754,0.2851578331626878,0.005796380862602311,0.019520925971032634,0.051614425798543806,0.9998560055293878,0.04406896228351197,0.3497112715678238,0.07863331748025197,0.5350507238305364
optuna_top500_minus_current_raw,lf_mean_soft_q50_to_q95,0.25,0.389435763176619,-0.002008231410870309,0.8510238975079534,0.22613256731567852,0.24630952511673845,0.007239278543630487,0.02551337133751144,0.07143947788488703,0.9997287215282047,0.040782366985085125,0.23320219472323325,0.0809120988270496,0.39489042130903396
seed10_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MAX_positive_delta_AND_family_gap_high_soft_q20,0.25,0.3894415724857747,-0.002002422101714585,0.8510777198040791,0.3488985287859253,0.36136790934005714,0.00999108759968903,0.03091674907985436,0.09773116838194351,0.9994477545395591,-0.0618817616797077,-0.23849021512052604,-0.020971924786462346,-0.06794668706409958
seed10_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MAX_positive_delta_AND_family_gap_high_soft_q20,0.25,0.38945532951509887,-0.0019886650723904276,0.8510108060185885,0.32390106115001016,0.3293922889360321,0.009260986080809748,0.02995065251152536,0.09773116838194351,0.9994873974617153,-0.054962515759282404,-0.21648023419343193,-0.014229024781389253,-0.044415132747189306
seed10_top500_minus_current_raw,positive_delta_AND_family_gap_high_soft_q20,0.25,0.38946118635195237,-0.001982808235536926,0.8508656134590198,0.22169552423832029,0.21568288578233427,0.006631614497207246,0.02400700099151596,0.09773116838194351,0.9997007226033632,-0.0320890605206734,-0.14545304691577576,0.0026335217062960254,0.025014216147330487
seed10_top500_minus_current_raw,lf_mean_soft_q50_to_q95_MEAN_positive_delta_AND_family_gap_high_soft_q20,0.35,0.38948222748015293,-0.001961767107336365,0.8510349886984452,0.2239140457769994,0.23099620544953636,0.008924622417477976,0.028281924272139145,0.11048194163082581,0.9996001931303617,-0.04701674869707286,-0.1905225133384508,-0.008867565937751053,-0.024534120041420516
seed10_top500_minus_current_raw,lf_mean_soft_q50_to_q95_MAX_positive_delta_AND_family_gap_high_soft_q20,0.25,0.38949777664842283,-0.0019462179390664636,0.8509632556267707,0.3397520020266091,0.3485348933868363,0.009544332174271704,0.03091674907985436,0.09773116838194351,0.9995117520820536,-0.05908396419489195,-0.23473822037667014,-0.019515095233167877,-0.06428744352128535
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MEAN_positive_delta_AND_num_rings_high_soft_q20,0.25,0.3895061708654413,-0.0019378237220479821,0.8508723165234544,0.20404216203026815,0.21185387508180342,0.005587359167539165,0.017387524596570537,0.03743608165294621,0.9998863154765969,0.03315386988955094,0.29923186131563495,0.061085024769390275,0.47219918583348236
optuna_top500_minus_current_raw,lf_mean_soft_q50_to_q95_MAX_positive_delta_AND_num_rings_high_soft_q20,0.15,0.38952430051545517,-0.0019196940720341282,0.8508226878704892,0.3193149084902687,0.324639598457701,0.005501877515181275,0.017254193453046265,0.042863686730932216,0.999882315630191,0.033008015311968716,0.2946565382251999,0.0625911572864027,0.47754869334771993
seed10_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MEAN_positive_delta_AND_num_rings_high_soft_q20,0.5,0.38954251835802906,-0.0019014762294602416,0.8511739624559925,0.2087925646067577,0.20308194525724202,0.010427213446193927,0.03000640685306362,0.09720641451783063,0.9994847308974448,-0.07986282042211067,-0.3103881120015663,-0.05092155951542808,-0.17511143718660985
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MAX_positive_delta_AND_num_rings_high_soft_q20,0.15,0.3895512742252457,-0.0018927203622435829,0.850889958320701,0.32847221230559664,0.3278364498217493,0.005198647967048616,0.01574289759757264,0.034755691835631985,0.9998805379206774,0.030607562846566478,0.2917312995025637,0.05724731289589324,0.46845373036505056
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_AND_family_gap_high_soft_q20,0.5,0.3895789249386162,-0.0018650696488731189,0.8505213099015597,0.10430811720105043,0.12129866399587617,0.006947855945631315,0.023862264413162762,0.09099502629108969,0.9996812566841881,0.04443205577326301,0.23513741117855527,0.08062799712129477,0.3648656869810388
seed10_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MEAN_positive_delta_AND_family_gap_high_soft_q20,0.35,0.389587723414988,-0.0018562711725013115,0.8508021738145294,0.22382712221706116,0.23132624714775935,0.008871104431437222,0.027114931612605985,0.10413688070554894,0.9995808160966622,-0.049487167738013475,-0.2093486550840899,-0.013507203833864032,-0.045149689159484786
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95,0.35,0.3895972198771434,-0.0018467747103458887,0.850698612517534,0.18363335988203974,0.19405372856046413,0.006903141413863519,0.0246523347096959,0.07777866021105329,0.999620547904294,0.03417658599228832,0.17710768572559402,0.06871912770908267,0.30449888187310936
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MAX_positive_delta_AND_num_rings_high_soft_q20,0.15,0.3896219899569389,-0.0018220046305503779,0.8508264179678929,0.3027034169511171,0.29436036459629256,0.00462713545065088,0.013931910804368997,0.03333371151902309,0.999900181610804,0.02654546195460455,0.27554608674704845,0.05007867054230928,0.4446270625114273
optuna_top500_minus_current_raw,lf_mean_soft_q50_to_q95_AND_family_gap_high_soft_q20,0.35,0.3896258908901786,-0.0018181036973107245,0.8508309268424621,0.11197542651977795,0.13088389038308987,0.005966752605655381,0.0208376077959505,0.09101002193888608,0.9998087184563225,0.036186056560851755,0.22298892745098842,0.07089072952911468,0.3711395787312287
seed10_top500_minus_current_raw,lf_mean_soft_q50_to_q95_MEAN_family_gap_high_soft_q20,0.35,0.38962795545249174,-0.0018160391349975602,0.851051042585118,0.2889272845509673,0.3047888605959628,0.011677758438969866,0.03386301406729615,0.11048194163082581,0.99947699786106,-0.09893196008148254,-0.3595635878802464,-0.05822347190149287,-0.18765687853457722
seed10_top500_minus_current_raw,family_gap_high_soft_q20,0.25,0.38966792532927647,-0.0017760692582128312,0.8509182768061959,0.35172200178625607,0.3632681960751871,0.010564665956481365,0.031521603159885815,0.10502136273491658,0.9995454396773389,-0.10625364821268743,-0.4024646047799635,-0.06787491538476398,-0.2286210363339637
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MEAN_positive_delta_AND_num_rings_high_soft_q20,0.25,0.38966821908061916,-0.0017757755068701364,0.8506821817568301,0.182879481873387,0.18539593510544322,0.004820130388788062,0.016061727298187733,0.03722568890574429,0.9999013371219879,0.02755542151630897,0.2765607217582737,0.05133445213048283,0.4397560162341312
seed10_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MEAN_positive_delta_AND_num_rings_high_soft_q20,0.5,0.38968419542993976,-0.0017597991575495353,0.8509860025155018,0.18762988444987658,0.17662400528088182,0.009101505707992476,0.02813294316136226,0.09127201067153656,0.9995698831831527,-0.07089604249205307,-0.2993880498648487,-0.045041844378379596,-0.1681268785817091
