name,oof_mae,oof_spearman,as1_mae,as1_bias,as1_spearman
random_chemeleon+desc+morgan,0.5031,0.7368,0.580375438051514,-0.017359052962675606,0.6975339346744571
scaffold_mordred+morgan_r2,0.5062,0.7347,0.5357992793052491,-0.03170789432651575,0.731564204969017
random_mordred+morgan_r2,0.5028,0.7393,0.5385107904840637,-0.03661675059798068,0.7292373957172313
optuna_desc+morgan,0.5047,0.7378,0.5667794332287722,0.030681590007400446,0.7122757713959748
optuna_chemeleon+desc+morgan,0.4988,0.7437,0.5799933481345303,-0.007448708117418857,0.7025795529102504
optuna_mordred+morgan,0.5004,0.74,0.577718820060467,-0.09067764901587896,0.7262544114360011
chemprop_scaffold,0.5602,0.6912,0.5036827004662616,0.18600427625678748,0.7393216426422724
chemeleon_finetune,0.5932,0.6699,0.5736127345646794,0.21870003549477798,0.6489803260895308
single_rdkit_desc,0.5645,0.657,0.6669614709475131,-0.1364292038691353,0.5947398900768663
single_morgan_r2_2048,0.5766,0.6866,0.6120329961198626,0.26143397276731073,0.6041258255773927
single_morgan_r3_2048,0.591,0.6694,0.6199080748534446,0.21632495079862904,0.6033636843941247
single_maccs,0.6197,0.6176,0.6214851311461779,0.11083170752741472,0.5796215926316916
single_avalon_2048,0.5734,0.6782,0.5765846748419422,0.12967972948280485,0.6489854482143254
single_mordred,0.5103,0.7284,0.5463571115140375,-0.04306557343929375,0.7308124380945149
single_chemeleon,0.5437,0.7074,0.5768634291998167,0.017227943292124764,0.674924614951695
single_chemberta_77m_mlm,0.5856,0.6552,0.5908235929862089,0.028256228185767476,0.6712017842680748
single_chemberta_5m_mtr,0.554,0.6798,0.6054623050213944,-0.02762290843070447,0.6319668822690019
single_bert_base_smiles,0.6808,0.5614,0.741874531332219,-0.01033061661684186,0.2865724420407379
ens_v2_simple_avg,0.5173,0.7569,0.535959452663705,0.07925087845413656,0.7599972656714963
ens_v2_vanilla_opt,0.4947,0.7612,0.5067786831936768,0.05453847619659578,0.7788092185783791
ens_v2_l2_a0.05,0.4935,0.7632,0.5010489424663981,0.07044248132159343,0.7819781988082763
ens_v2_l2_a0.1,0.4967,0.7637,0.5095751662752477,0.07308832028290413,0.7805958224213074
ens_v2_l2_a0.3,0.4997,0.7626,0.5110731985196629,0.07640468467384522,0.7809659628690645
ens_v2_l2_a0.5,0.5036,0.7617,0.5163146449789353,0.07901032134545936,0.7777625251200068
ens_v2_l2_a1.0,0.5091,0.7602,0.5243899771473427,0.07891872591286488,0.7704927295990419
ens_v2_fold_opt,0.4927,0.7619,0.5001075501505962,0.05976737014309789,0.7863554152745461
ens_v2_fold_l2_a0.1,0.4961,0.7631,0.5057291814822733,0.07407391291910617,0.7820600817301526
ens_v2_fold_l2_a0.3,0.4999,0.7626,0.5111427243798609,0.07742797335301423,0.7810726700251747
ens_v2_top3_avg,0.5122,0.738,0.5533736348012592,-0.017820179525958036,0.7347791782884154
ens_v2_top5_avg,0.4992,0.754,0.5293552822752401,-0.0007770932380439949,0.766538266136667
ens_v2_top8_avg,0.5039,0.7573,0.523315722648757,0.05193555803070776,0.7756643215607986
catboost_mordred,0.5192,0.7163,0.5684730413329433,-0.005272028388490507,0.7145877602066663
xgboost_mordred,0.5128,0.7266,0.5775501292490118,-0.034730986956521784,0.7000481664712251
lgbm_maccs_scaffold_default,0.6216,0.6147,0.6175624238135666,0.1208338744586384,0.5813755954094794
lgbm_atompair_2048_scaffold,0.5765,0.6735,0.6169720894006008,0.00710845429875546,0.6248988968370438
lgbm_topo_torsion_2048_scaffold,0.6167,0.6342,0.6451640906894278,0.058040736053560735,0.5016969405321896
lgbm_rdkit_fp_2048_scaffold,0.6177,0.6348,0.6392108913411257,0.09138965799487714,0.5385827953494285
lgbm_feat_morgan_r2_2048_scaffold,0.5842,0.6662,0.5916343649290697,0.02398310213261516,0.6311343726696964
lgbm_count_morgan_r2_2048_scaffold,0.5373,0.7162,0.5490398717141032,0.13538926532355344,0.7058929779277408
lgbm_count_morgan_r3_2048_scaffold,0.547,0.7024,0.5602198174876535,0.18094551528417255,0.6625698645212467
lgbm_count_atompair_2048_scaffold,0.5537,0.6931,0.5618907837938999,0.032770934389295715,0.6947528228682763
lgbm_count_rdkit_fp_2048_scaffold,0.5843,0.6671,0.6091315818403154,0.04231475139776055,0.6273198158897775
ens_v3_simple_avg,0.5039,0.7621,0.5259483034667072,0.06850102544556688,0.7803853721967567
ens_v3_top5_avg,0.4986,0.7523,0.5371273977844674,0.013909723966274747,0.7523714091192055
ens_v3_top8_avg,0.5002,0.7539,0.5313724332798071,0.0319552701342671,0.7645619606828763
ens_v3_top10_avg,0.4953,0.7604,0.5230847349202924,0.030521723346179065,0.7776602640954011
ens_v3_l2_a0.3,0.4944,0.7658,0.5137199371343125,0.06098972376165253,0.7838863302456635
ens_v3_l2_a0.1,0.4898,0.7658,0.5062549005371554,0.05735467023308123,0.7880934821818825
ens_v3_l2_a0.5,0.4972,0.765,0.5175354162138268,0.06214778027182074,0.7816477030331018
ens_v3_vanilla,0.4883,0.7634,0.5000032038707893,0.05295436996300649,0.789278376227856
ens_v4_vanilla,0.4976,0.7619,0.5147986463614733,0.059216732430166605,0.7764453586617717
ens_v4_l2_a0.1,0.4958,0.7646,0.5101113092744978,0.05682719233281587,0.7882872594132909
ens_v4_l2_a0.3,0.4993,0.7646,0.5128653811255036,0.07243627559568341,0.78447877726865
ens_v4_top5_avg,0.5057,0.7514,0.5195203162149457,0.06465361696997077,0.7696950195049266
ens_v4_top8_avg,0.4977,0.7599,0.5173835578119744,0.04315253110085007,0.7807362460746607
ens_v4_top10_avg,0.5014,0.7603,0.5197627821810303,0.07363339510569188,0.7775650427790113
ens_v4_simple_avg,0.5208,0.7559,0.5398137749394578,0.0782755634658508,0.7616012076117775
lgbm_mordred_umap,0.5243,0.712,0.5685029751607561,-0.056058354462321054,0.7142598579474576
lgbm_chemeleon_umap,0.5531,0.6951,0.5650569067304754,0.019885971513762517,0.7038266927972883
lgbm_chemberta_5m_mtr_umap,0.5602,0.6663,0.5727466749896379,0.016378747929829515,0.6639375437200379
lgbm_rdkit_desc_umap,0.571,0.6475,0.6836121995388592,-0.1737101202780273,0.5978437728557827
lgbm_avalon_2048_umap,0.5878,0.6566,0.5637807918757777,0.2061500944917529,0.6826878722845352
lgbm_morgan_r2_2048_umap,0.5918,0.6613,0.611592976531308,0.19096346968395006,0.6038761011449558
lgbm_count_morgan_r2_2048_umap,0.5603,0.6852,0.5684195015239233,0.02534459443213228,0.6682312730192218
lgbm_count_morgan_r3_2048_umap,0.568,0.6758,0.5672687529775572,0.09497608053136906,0.672483628080168
lgbm_count_atompair_2048_umap,0.5658,0.6711,0.6040331916803008,0.016436529504548138,0.6199510925777534
lgbm_atompair_2048_umap,0.5971,0.6453,0.6319466252655118,-0.016911065405363072,0.6131270204759401
lgbm_feat_morgan_r2_2048_umap,0.6096,0.6316,0.6082963757735281,-0.022286475442405012,0.6055122251642633
ens_v5_vanilla,0.4951,0.7577,0.4966100811814278,0.05510723786039337,0.7845047130357601
ens_v5_l2_a0.1,0.4985,0.7614,0.49987553714910893,0.061977322149715734,0.789516985285269
ens_v5_l2_a0.3,0.5042,0.7608,0.5089890161156152,0.061095739328260505,0.7871468266823634
ens_v5_top5_avg,0.5023,0.754,0.5035135628979136,0.038311047134038406,0.7829622759146257
ens_v5_top8_avg,0.5086,0.751,0.5255243561723719,0.016157215678510084,0.7789911394591087
lgbm_mordred_umap_gap1.0,0.5487,0.6907,0.5997577311221087,-0.07719534574923856,0.670729258365645
lgbm_mordred_umap_gap0.5,0.5466,0.6907,0.5749661343918192,-0.06282052105132965,0.6789601608383228
lgbm_chemeleon_umap_gap1.0,0.5851,0.6604,0.600405735413473,-0.047615355305578644,0.6421921948148966
residual_physprop+mordred_umap,0.5282,0.7056,0.5837536013111762,-0.05179584396750679,0.6970966756273201
lgbm_count_morgan_r2_2048_umap_gap1.0,0.5769,0.6673,0.5651746359821832,0.03173782182816175,0.672061245508984
lgbm_rdkit_desc_umap_gap1.0,0.5807,0.6389,0.6632878610374324,-0.13413143291307714,0.6085815911923564
lgbm_chemberta_5m_mtr_umap_gap1.0,0.588,0.6391,0.6739745024505156,-0.007739975076945226,0.49272955341705943
chemprop_optuna_umap,0.5208,0.7252,0.4838819950842575,0.1000329069657759,0.7928667748630196
ens_v6_vanilla,0.486,0.7649,0.4916363479048901,0.059741465185983396,0.7966948940884723
ens_v6_l2_a0.1,0.485,0.7658,0.4900769523526222,0.05707700339157122,0.8004144536030214
ens_v6_l2_a0.3,0.4927,0.7649,0.5035216817499473,0.046186593711230024,0.7937771202885845
ens_v6_top5_avg,0.503,0.7405,0.5340259140573593,-0.029567431652923738,0.7482850437555276
ens_v6_top8_avg,0.4945,0.7552,0.508058489603236,0.009303979679469937,0.7745579758380727
ens_v6_top10_avg,0.4968,0.7563,0.514241870587442,0.011621296137244245,0.779239752312407
lgbm_molformer_xl_umap,0.5878,0.6648,0.6299247117063111,-0.005579968926079372,0.6215025373848742
